4	www.climaton.com									
(Timestamp)	(Location)	(Conditions)	(Temperature) (°F °C)	Feels Like (°F °C)	(Wind Speed) (mph)	Wind	Dew Point (°F °C)	Humidity (%)	Pressure (inches)	Visibility (miles)
Fri Jan 29 08:46:34 2010	Seattle, Washington 98101  	clear sky	46 8	45 7	3	SE	34 1	61	30	10
Fri Jan 29 08:46:36 2010	Philadelphia, Pennsylvania 19019  	clear sky	18 -8	16-Apr	15-24	NW	-2 -19	41	30.29	10
Fri Jan 29 09:30:08 2010	San Jose, California 95101  	mostly cloudy	48 9	48 9	0		45 7	87	30.06	10
Fri Jan 29 09:30:09 2010	Charlotte, North Carolina 28201  	clear sky	45 7	40 4	9	NE	25 -4	45	30.16	10
Fri Jan 29 09:30:09 2010	San Diego, California 92101  	clear sky	55 13	55 13	0		50 10	82	30.07	5
Fri Jan 29 09:30:10 2010	Denver, Colorado 80214  	mostly cloudy	25 -4	21 -6	3	SE	21 -6	86	30.08	8
Fri Jan 29 09:30:10 2010	Memphis, Tennessee 37501  	mostly cloudy	34 1	24 -4	16-28	NE	21 -6	59	30.31	10
Fri Jan 29 09:30:10 2010	Los Angeles, California 90001  	clear sky	57 14	57 14	0		48 9	72	30.06	10
Fri Jan 29 09:30:11 2010	New York, New York 10001  	clear sky	19 -7	16-Apr	18-26	W	0 -18	41	30.19	10
Fri Jan 29 09:30:11 2010	El Paso, Texas 79901  	light snow	30 -1	20 -7	12	N	27 -3	86	30.1	4
Fri Jan 29 09:30:11 2010	Baltimore, Maryland 21201  	normal	23 -5	23 -5			0 -18	35	30.33	
Fri Jan 29 09:30:12 2010	Las Vegas, Nevada 89101  	clear sky	46 8	45 7	3	SE	36 2	66	30.08	10
Fri Jan 29 09:30:12 2010	Washington, Washington D. C. 20001  	clear sky	25 -4	13 -11	14	NW	15-May	42	30.34	10
Fri Jan 29 09:30:12 2010	Austin, Texas 73301  	heavy rain	57 14	54 12	14-22	NW	55 13	94	29.93	2.5
Fri Jan 29 09:30:13 2010	Nashville, Tennessee 37201  	mostly cloudy	28 -2	20 -7	8	N	16 -9	59	30.36	10
Fri Jan 29 09:30:13 2010	Oklahoma City, Oklahoma 73101  	mostly cloudy	27 -3	15 -9	16	N	25 -4	93	30.16	6
Fri Jan 29 09:30:13 2010	San Francisco, California 94101  	mostly cloudy	52 11	52 11	0		48 9	87	30.04	6
Fri Jan 29 09:30:14 2010	Portland, Oregon 97201  	clear sky	19 -7	16-Mar	21-36	W	16-Mar	49	29.98	10
Fri Jan 29 09:30:14 2010	Fort Worth, Texas 76101  	moderate rain	46 8	42 6	8	NE	43 6	87	30	8
Fri Jan 29 09:30:14 2010	Phoenix, Arizona 85001  	mostly cloudy	55 13	53 12	7	E	48 9	77	30.03	10
Fri Jan 29 09:30:15 2010	Indianapolis, Indiana 46201  	clear sky	12-Oct	16-Apr	3	N	17-Jan	66	30.45	10
Fri Jan 29 09:30:15 2010	San Antonio, Texas 78201  	light rain	57 14	54 12	29-Dec	N	54 12	88	29.9	5
Fri Jan 29 09:30:15 2010	Chicago, Illinois 60601  	clear sky	14-Jul	-2 -19	5	NW	-6 -21	55	30.52	10
Fri Jan 29 09:30:16 2010	Columbus, Ohio 43085  	clear sky	12-Oct	-2 -19	8	N	17-Jan	66	30.42	10
Fri Jan 29 09:30:16 2010	Jacksonville, Florida 32099  	clear sky	48 9	48 9	0		41 5	76	30.18	10
Fri Jan 29 09:30:17 2010	Seattle, Washington 98101  	clear sky	46 8	45 7	3	SE	34 1	61	30	10
Fri Jan 29 09:30:17 2010	Dallas, Texas 75201  	light rain	43 6	39 4	6	NE	41 5	93	30.02	6
Fri Jan 29 09:30:17 2010	Houston, Texas 77001  	light rain	64 18	63 17	21-Dec	SE	63 17	94	29.86	9
Fri Jan 29 09:30:18 2010	Milwaukee, Wisconsin 53201  	clear sky	15-May	-6 -21	6	NW	-11 -24	46	30.51	10
Fri Jan 29 09:30:18 2010	Detroit, Michigan 48201  	clear sky	13-Sep	0 -18	5	W	-2 -19	61	30.45	10
Fri Jan 29 09:30:18 2010	Philadelphia, Pennsylvania 19019  	clear sky	18 -8	16-Apr	15-24	NW	-2 -19	41	30.29	10
Fri Jan 29 12:02:09 2010	Charlotte, North Carolina 28201  	clear sky	39 4	35 2	6	NE	23 -5	52	30.19	10
Fri Jan 29 12:02:09 2010	San Jose, California 95101  	clear sky	46 8	46 8	0		45 7	93	30.03	7
Fri Jan 29 12:02:10 2010	Denver, Colorado 80214  	mostly cloudy	25 -4	19 -7	5	S	21 -6	86	30.05	6
Fri Jan 29 12:02:10 2010	San Diego, California 92101  	mostly cloudy	54 12	54 12	0		48 9	82	30.06	6
Fri Jan 29 12:02:11 2010	Memphis, Tennessee 37501  	mostly cloudy	32 0	21 -6	18-26	NE	21 -6	64	30.23	10
Fri Jan 29 12:02:11 2010	El Paso, Texas 79901  	light snow	30 -1	20 -7	13	N	25 -4	80	30.11	6
Fri Jan 29 12:02:11 2010	Los Angeles, California 90001  	clear sky	54 12	54 12	0		45 7	71	30.05	10
Fri Jan 29 12:02:12 2010	New York, New York 10001  	clear sky	18 -8	13-Aug	22-Aug	W	-2 -19	41	30.27	10
Fri Jan 29 12:02:12 2010	Baltimore, Maryland 21201  	normal	21 -6	21 -6			0 -18	38	30.37	
Fri Jan 29 12:02:13 2010	Washington, Washington D. C. 20001  	mostly cloudy	21 -6	13-Aug	14-24	N	17-Jan	41	30.39	10
Fri Jan 29 12:02:13 2010	Las Vegas, Nevada 89101  	clear sky	45 7	44 7	3	E	34 1	66	30.07	10
Fri Jan 29 12:02:13 2010	Austin, Texas 73301  	mostly cloudy	48 9	42 6	14-22	NW	46 8	93	29.94	10
Fri Jan 29 12:02:14 2010	Nashville, Tennessee 37201  	mostly cloudy	28 -2	20 -7	8	N	16 -9	59	30.34	10
Fri Jan 29 12:02:14 2010	Oklahoma City, Oklahoma 73101  	light snow	25 -4	11-Dec	17	N	21 -6	86	30.14	3
Fri Jan 29 12:02:14 2010	San Francisco, California 94101  	mostly cloudy	46 8	45 7	3	SW	45 7	93	30.04	6
Fri Jan 29 12:02:15 2010	Portland, Oregon 97201  	clear sky	18 -8	0 -18	25-51	W	0 -18	44	30.01	10
Fri Jan 29 12:02:15 2010	Fort Worth, Texas 76101  	light rain	39 4	31 -1	15-23	NW	37 3	93	29.99	10
Fri Jan 29 12:02:15 2010	Phoenix, Arizona 85001  	mostly cloudy	54 12	52 11	7	E	48 9	82	30.04	10
Fri Jan 29 12:02:16 2010	San Antonio, Texas 78201  	mostly cloudy	48 9	42 6	14-25	N	46 8	93	29.9	8
Fri Jan 29 12:02:16 2010	Chicago, Illinois 60601  	mostly cloudy	14-Jul	-5 -21	7	N	-8 -22	51	30.5	10
Fri Jan 29 12:02:17 2010	Indianapolis, Indiana 46201  	mostly cloudy	12-Oct	17-Jan	5	N	16-Mar	72	30.43	10
Fri Jan 29 12:02:17 2010	Jacksonville, Florida 32099  	mostly cloudy	48 9	47 8	3	NW	43 6	81	30.19	10
Fri Jan 29 12:02:18 2010	Columbus, Ohio 43085  	clear sky	13-Sep	-1 -18	6	N	0 -18	66	30.44	10
Fri Jan 29 12:02:18 2010	Dallas, Texas 75201  	light rain	41 5	36 2	8	NE	39 4	93	30	6
Fri Jan 29 12:02:18 2010	Houston, Texas 77001  	mostly cloudy	66 19	65 18	14-20	S	64 18	94	29.79	8
Fri Jan 29 12:02:19 2010	Detroit, Michigan 48201  	clear sky	14-Jul	-4 -20	6	W	0 -18	72	30.43	10
Fri Jan 29 12:02:19 2010	Milwaukee, Wisconsin 53201  	clear sky	16-Mar	-10 -23	8	NW	-9 -23	55	30.49	10
Fri Jan 29 12:02:19 2010	Seattle, Washington 98101  	clear sky	45 7	45 7	0		34 1	66	29.97	10
Fri Jan 29 12:02:20 2010	Philadelphia, Pennsylvania 19019  	clear sky	18 -8	15-May	23-Dec	NW	-2 -19	41	30.32	10
Fri Jan 29 12:46:48 2010	Charlotte, North Carolina 28201  	clear sky	39 4	33 1	8	NE	19 -7	44	30.2	10
Fri Jan 29 12:46:48 2010	San Jose, California 95101  	clear sky	46 8	46 8	0		43 6	87	30.02	8
Fri Jan 29 12:46:49 2010	Memphis, Tennessee 37501  	mostly cloudy	32 0	21 -6	18-24	NE	21 -6	64	30.2	10
Fri Jan 29 12:46:49 2010	Denver, Colorado 80214  	mostly cloudy	25 -4	25 -4	0		21 -6	86	30.04	5
Fri Jan 29 12:46:49 2010	San Diego, California 92101  	mostly cloudy	54 12	54 12	0		46 8	77	30.05	8
Fri Jan 29 12:46:50 2010	New York, New York 10001  	clear sky	18 -8	14-Jun	17-Oct	W	0 -18	44	30.26	10
Fri Jan 29 12:46:50 2010	El Paso, Texas 79901  	mostly cloudy	30 -1	21 -6	10	N	27 -3	86	30.12	7
Fri Jan 29 12:46:50 2010	Los Angeles, California 90001  	clear sky	52 11	52 11	0		45 7	76	30.04	10
Fri Jan 29 12:46:51 2010	Washington, Washington D. C. 20001  	mostly cloudy	19 -7	15-May	14	N	0 -18	41	30.4	10
Fri Jan 29 12:46:51 2010	Baltimore, Maryland 21201  	normal	19 -7	19 -7			0 -18	41	30.38	
Fri Jan 29 12:46:51 2010	Las Vegas, Nevada 89101  	mostly cloudy	43 6	43 6	0		34 1	70	30.06	10
Fri Jan 29 12:46:53 2010	Oklahoma City, Oklahoma 73101  	mostly cloudy	25 -4	11-Dec	16-24	N	21 -6	86	30.13	3
Fri Jan 29 12:46:53 2010	Austin, Texas 73301  	moderate rain	45 7	37 3	20-25	N	43 6	93	29.94	4
Fri Jan 29 12:46:53 2010	San Francisco, California 94101  	mostly cloudy	48 9	48 9	0		46 8	93	30.03	7
Fri Jan 29 12:46:54 2010	Nashville, Tennessee 37201  	mostly cloudy	28 -2	18 -8	12	N	16 -9	59	30.33	10
Fri Jan 29 12:46:54 2010	Fort Worth, Texas 76101  	moderate rain	37 3	29 -2	23-Dec	NW	36 2	93	30.01	8
Fri Jan 29 12:46:55 2010	Portland, Oregon 97201  	clear sky	18 -8	0 -18	24-35	W	-2 -19	41	30.02	10
Fri Jan 29 12:46:55 2010	Phoenix, Arizona 85001  	mostly cloudy	54 12	53 12	5	E	48 9	82	30.03	10
Fri Jan 29 12:46:55 2010	Chicago, Illinois 60601  	mostly cloudy	14-Jul	-5 -21	7	NW	-8 -22	51	30.51	10
Fri Jan 29 12:46:56 2010	Indianapolis, Indiana 46201  	mostly cloudy	11-Dec	17-Feb	6	NE	16-Mar	66	30.44	10
Fri Jan 29 12:46:56 2010	San Antonio, Texas 78201  	light rain	46 8	39 4	18-23	N	43 6	87	29.94	5
Fri Jan 29 12:46:57 2010	Columbus, Ohio 43085  	clear sky	13-Sep	-1 -18	6	N	0 -18	66	30.44	10
Fri Jan 29 12:46:57 2010	Jacksonville, Florida 32099  	mostly cloudy	48 9	48 9	0		43 6	81	30.18	10
Fri Jan 29 12:46:58 2010	Dallas, Texas 75201  	light rain	41 5	35 2	9	NE	39 4	93	30.01	6
Fri Jan 29 12:46:58 2010	Houston, Texas 77001  	light rain	66 19	65 18	15-24	S	64 18	94	29.78	8
Fri Jan 29 12:46:59 2010	Detroit, Michigan 48201  	clear sky	14-Jul	-4 -20	6	W	0 -18	72	30.45	10
Fri Jan 29 12:46:59 2010	Milwaukee, Wisconsin 53201  	clear sky	16-Mar	-9 -23	7	NW	-9 -23	55	30.5	10
Fri Jan 29 12:46:59 2010	Seattle, Washington 98101  	mostly cloudy	45 7	45 7	0		36 2	70	29.96	10
Fri Jan 29 12:47:00 2010	Philadelphia, Pennsylvania 19019  	clear sky	18 -8	13-Sep	23-Jul	W	0 -18	44	30.33	10
Fri Jan 29 13:34:32 2010	Charlotte, North Carolina 28201  	clear sky	39 4	33 1	8	NE	19 -7	44	30.2	10
Fri Jan 29 13:34:32 2010	San Diego, California 92101  	mostly cloudy	54 12	54 12	0		46 8	77	30.05	8
Fri Jan 29 13:34:32 2010	San Jose, California 95101  	clear sky	46 8	46 8	0		43 6	87	30.02	8
Fri Jan 29 13:34:33 2010	Memphis, Tennessee 37501  	mostly cloudy	32 0	21 -6	18-24	NE	21 -6	64	30.2	10
Fri Jan 29 13:34:33 2010	Denver, Colorado 80214  	mostly cloudy	25 -4	25 -4	0		21 -6	86	30.04	5
Fri Jan 29 13:34:33 2010	Los Angeles, California 90001  	clear sky	52 11	52 11	0		45 7	76	30.04	10
Fri Jan 29 13:34:34 2010	New York, New York 10001  	clear sky	18 -8	14-Jun	17-Oct	W	0 -18	44	30.26	10
Fri Jan 29 13:34:34 2010	El Paso, Texas 79901  	mostly cloudy	30 -1	21 -6	10	N	27 -3	86	30.12	7
Fri Jan 29 13:34:35 2010	Washington, Washington D. C. 20001  	mostly cloudy	19 -7	15-May	14	N	0 -18	41	30.4	10
Fri Jan 29 13:34:35 2010	Baltimore, Maryland 21201  	normal	19 -7	19 -7			0 -18	41	30.38	
Fri Jan 29 13:34:35 2010	Las Vegas, Nevada 89101  	mostly cloudy	43 6	43 6	0		34 1	70	30.06	10
Fri Jan 29 13:34:36 2010	Oklahoma City, Oklahoma 73101  	mostly cloudy	25 -4	11-Dec	16-24	N	21 -6	86	30.13	3
Fri Jan 29 13:34:36 2010	Austin, Texas 73301  	moderate rain	45 7	37 3	20-25	N	43 6	93	29.94	4
Fri Jan 29 13:34:36 2010	San Francisco, California 94101  	mostly cloudy	48 9	48 9	0		46 8	93	30.03	7
Fri Jan 29 13:34:37 2010	Nashville, Tennessee 37201  	mostly cloudy	28 -2	18 -8	12	N	16 -9	59	30.33	10
Fri Jan 29 13:34:37 2010	Fort Worth, Texas 76101  	moderate rain	37 3	29 -2	23-Dec	NW	36 2	93	30.01	8
Fri Jan 29 13:34:37 2010	Phoenix, Arizona 85001  	mostly cloudy	54 12	53 12	5	E	48 9	82	30.03	10
Fri Jan 29 13:34:38 2010	Portland, Oregon 97201  	clear sky	18 -8	0 -18	24-35	W	-2 -19	41	30.02	10
Fri Jan 29 13:34:38 2010	San Antonio, Texas 78201  	light rain	46 8	39 4	18-23	N	43 6	87	29.94	5
Fri Jan 29 13:34:38 2010	Chicago, Illinois 60601  	mostly cloudy	14-Jul	-5 -21	7	NW	-8 -22	51	30.51	10
Fri Jan 29 13:34:39 2010	Indianapolis, Indiana 46201  	mostly cloudy	11-Dec	17-Feb	6	NE	16-Mar	66	30.44	10
Fri Jan 29 13:34:39 2010	Jacksonville, Florida 32099  	mostly cloudy	48 9	48 9	0		43 6	81	30.18	10
Fri Jan 29 13:34:40 2010	Columbus, Ohio 43085  	clear sky	13-Sep	-1 -18	6	N	0 -18	66	30.44	10
Fri Jan 29 13:34:40 2010	Dallas, Texas 75201  	light rain	41 5	35 2	9	NE	39 4	93	30.01	6
Fri Jan 29 13:34:41 2010	Houston, Texas 77001  	light rain	66 19	65 18	15-24	S	64 18	94	29.78	8
Fri Jan 29 13:34:41 2010	Milwaukee, Wisconsin 53201  	clear sky	16-Mar	-9 -23	7	NW	-9 -23	55	30.5	10
Fri Jan 29 13:34:41 2010	Seattle, Washington 98101  	mostly cloudy	45 7	45 7	0		36 2	70	29.96	10
Fri Jan 29 13:34:42 2010	Detroit, Michigan 48201  	clear sky	14-Jul	-4 -20	6	W	0 -18	72	30.45	10
Fri Jan 29 13:34:42 2010	Philadelphia, Pennsylvania 19019  	clear sky	18 -8	13-Sep	23-Jul	W	0 -18	44	30.33	10
Fri Jan 29 14:22:21 2010	Charlotte, North Carolina 28201  	clear sky	37 3	32 0	6	NE	19 -7	48	30.23	10
Fri Jan 29 14:22:21 2010	San Jose, California 95101  	clear sky	46 8	46 8	0		43 6	87	30.02	9
Fri Jan 29 14:22:22 2010	Denver, Colorado 80214  	clear sky	21 -6	14 -10	5	S	19 -7	93	30.04	4
Fri Jan 29 14:22:22 2010	Memphis, Tennessee 37501  	mostly cloudy	32 0	22 -6	13	NE	21 -6	64	30.23	10
Fri Jan 29 14:22:22 2010	San Diego, California 92101  	mostly cloudy	54 12	54 12	0		46 8	77	30.05	9
Fri Jan 29 14:22:23 2010	El Paso, Texas 79901  	mostly cloudy	30 -1	22 -6	9	N	27 -3	86	30.12	10
Fri Jan 29 14:22:23 2010	Los Angeles, California 90001  	clear sky	52 11	52 11	0		43 6	71	30.04	10
Fri Jan 29 14:22:24 2010	New York, New York 10001  	clear sky	16 -9	17-Jan	16-16	W	-2 -19	44	30.27	10
Fri Jan 29 14:22:24 2010	Las Vegas, Nevada 89101  	mostly cloudy	43 6	42 6	3	SW	34 1	70	30.06	10
Fri Jan 29 14:22:24 2010	Baltimore, Maryland 21201  	normal	19 -7	19 -7			0 -18	41	30.4	
Fri Jan 29 14:22:25 2010	Washington, Washington D. C. 20001  	mostly cloudy	19 -7	16-Apr	16-21	NW	0 -18	41	30.43	10
Fri Jan 29 14:22:25 2010	Austin, Texas 73301  	light rain	45 7	38 3	17-25	NW	43 6	93	29.96	8
Fri Jan 29 14:22:25 2010	San Francisco, California 94101  	mostly cloudy	48 9	48 9	0		46 8	93	30.03	7
Fri Jan 29 14:22:26 2010	Nashville, Tennessee 37201  	mostly cloudy	28 -2	19 -7	10	NE	16 -9	59	30.31	10
Fri Jan 29 14:22:26 2010	Oklahoma City, Oklahoma 73101  	mostly cloudy	25 -4	11-Dec	16-22	N	21 -6	86	30.12	4
Fri Jan 29 14:22:26 2010	Fort Worth, Texas 76101  	light rain	37 3	28 -2	16-24	NW	34 1	87	30.01	10
Fri Jan 29 14:22:27 2010	Phoenix, Arizona 85001  	mostly cloudy	54 12	52 11	8	E	48 9	82	30.02	10
Fri Jan 29 14:22:27 2010	Portland, Oregon 97201  	clear sky	18 -8	0 -18	26-41	W	-6 -21	34	30.02	10
Fri Jan 29 14:22:27 2010	Chicago, Illinois 60601  	mostly cloudy	14-Jul	-6 -21	8	NW	-8 -22	51	30.51	10
Fri Jan 29 14:22:28 2010	Indianapolis, Indiana 46201  	mostly cloudy	11-Dec	17-Jan	7	NE	16-Mar	66	30.45	10
Fri Jan 29 14:22:28 2010	San Antonio, Texas 78201  	light rain	45 7	39 4	14-25	N	43 6	93	29.98	10
Fri Jan 29 14:22:29 2010	Columbus, Ohio 43085  	clear sky	13-Sep	0 -18	5	N	0 -18	66	30.46	10
Fri Jan 29 14:22:29 2010	Dallas, Texas 75201  	light rain	39 4	35 2	5	NE	37 3	93	30.03	6
Fri Jan 29 14:22:29 2010	Jacksonville, Florida 32099  	mostly cloudy	50 10	50 10	0		46 8	87	30.18	10
Fri Jan 29 14:22:30 2010	Houston, Texas 77001  	heavy Tstorm	63 17	61 16	14-32	NW	61 16	94	29.78	1.2
Fri Jan 29 14:22:30 2010	Milwaukee, Wisconsin 53201  	clear sky	16-Mar	-9 -23	7	W	-9 -23	55	30.52	10
Fri Jan 29 14:22:30 2010	Seattle, Washington 98101  	clear sky	45 7	45 7	0		36 2	70	29.96	10
Fri Jan 29 14:22:31 2010	Detroit, Michigan 48201  	clear sky	13-Sep	0 -18	5	NW	0 -18	66	30.44	10
Fri Jan 29 14:22:31 2010	Philadelphia, Pennsylvania 19019  	clear sky	16 -9	16-Apr	10	NW	0 -18	48	30.34	10
Fri Jan 29 15:07:18 2010	Charlotte, North Carolina 28201  	clear sky	37 3	32 0	6	NE	18 -8	44	30.25	10
Fri Jan 29 15:07:18 2010	San Jose, California 95101  	clear sky	45 7	45 7	0		43 6	93	30.02	9
Fri Jan 29 15:07:19 2010	Denver, Colorado 80214  	clear sky	19 -7	11-Dec	5	SW	16 -9	86	30.03	4
Fri Jan 29 15:07:19 2010	Memphis, Tennessee 37501  	mostly cloudy	32 0	22 -6	15	NE	21 -6	64	30.24	9
Fri Jan 29 15:07:19 2010	San Diego, California 92101  	mostly cloudy	52 11	52 11	0		46 8	82	30.05	9
Fri Jan 29 15:07:20 2010	El Paso, Texas 79901  	mostly cloudy	30 -1	21 -6	10	NE	25 -4	80	30.12	10
Fri Jan 29 15:07:20 2010	Los Angeles, California 90001  	clear sky	50 10	50 10	0		43 6	76	30.04	10
Fri Jan 29 15:07:21 2010	New York, New York 10001  	clear sky	16 -9	17-Jan	15-28	NW	-2 -19	44	30.3	10
Fri Jan 29 15:07:21 2010	Baltimore, Maryland 21201  	normal	19 -7	19 -7			0 -18	41	30.41	
Fri Jan 29 15:07:21 2010	Las Vegas, Nevada 89101  	mostly cloudy	43 6	43 6	0		34 1	70	30.06	10
Fri Jan 29 15:07:22 2010	Washington, Washington D. C. 20001  	mostly cloudy	19 -7	16-Apr	17-21	NW	0 -18	41	30.44	10
Fri Jan 29 15:07:22 2010	Austin, Texas 73301  	scattered Tstorm	43 6	35 2	16-25	NW	41 5	93	30.01	6
Fri Jan 29 15:07:22 2010	San Francisco, California 94101  	mostly cloudy	48 9	47 8	3	S	46 8	93	30.03	7
Fri Jan 29 15:07:23 2010	Nashville, Tennessee 37201  	mostly cloudy	28 -2	19 -7	10	NE	16 -9	59	30.3	10
Fri Jan 29 15:07:23 2010	Oklahoma City, Oklahoma 73101  	light snow	25 -4	11-Dec	17-24	N	21 -6	86	30.12	2.5
Fri Jan 29 15:07:23 2010	Fort Worth, Texas 76101  	light rain	36 2	26 -3	18-24	NW	34 1	93	30.03	10
Fri Jan 29 15:07:24 2010	Portland, Oregon 97201  	clear sky	18 -8	-2 -19	32-44	W	-4 -20	37	30.02	10
Fri Jan 29 15:07:24 2010	Phoenix, Arizona 85001  	clear sky	52 11	51 11	5	E	48 9	87	30.03	10
Fri Jan 29 15:07:24 2010	Chicago, Illinois 60601  	mostly cloudy	15-May	-5 -21	5	NW	-6 -21	60	30.51	10
Fri Jan 29 15:07:25 2010	Indianapolis, Indiana 46201  	mostly cloudy	11-Dec	0 -18	8	N	16-Mar	66	30.46	10
Fri Jan 29 15:07:25 2010	San Antonio, Texas 78201  	heavy rain	41 5	33 1	14-28	N	37 3	87	30.04	4
Fri Jan 29 15:07:26 2010	Columbus, Ohio 43085  	clear sky	13-Sep	-2 -19	7	N	0 -18	66	30.46	10
Fri Jan 29 15:07:26 2010	Dallas, Texas 75201  	light rain	37 3	31 -1	8	N	36 2	93	30.03	6
Fri Jan 29 15:07:26 2010	Jacksonville, Florida 32099  	mostly cloudy	52 11	52 11	3	NE	46 8	82	30.18	9
Fri Jan 29 15:07:27 2010	Houston, Texas 77001  	moderate rain	59 15	57 14	20-Dec	NW	55 13	88	29.83	7
Fri Jan 29 15:07:27 2010	Milwaukee, Wisconsin 53201  	clear sky	16-Mar	-9 -23	7	NW	-8 -22	60	30.51	10
Fri Jan 29 15:07:27 2010	Seattle, Washington 98101  	mostly cloudy	45 7	45 7	0		37 3	76	29.96	10
Fri Jan 29 15:07:28 2010	Detroit, Michigan 48201  	clear sky	13-Sep	0 -18	5	W	0 -18	66	30.47	10
Fri Jan 29 15:07:28 2010	Philadelphia, Pennsylvania 19019  	clear sky	18 -8	14-Jul	9	W	17-Jan	48	30.37	10
Fri Jan 29 15:52:55 2010	Charlotte, North Carolina 28201  	clear sky	37 3	29 -2	17-Dec	E	19 -7	48	30.27	10
Fri Jan 29 15:52:55 2010	San Jose, California 95101  	mostly cloudy	45 7	45 7	0		43 6	93	30.02	9
Fri Jan 29 15:52:56 2010	Memphis, Tennessee 37501  	mostly cloudy	30 -1	19 -7	15	E	25 -4	80	30.24	8
Fri Jan 29 15:52:56 2010	Denver, Colorado 80214  	clear sky	19 -7	19 -7	0		16 -9	86	30.03	6
Fri Jan 29 15:52:56 2010	San Diego, California 92101  	clear sky	52 11	52 11	0		45 7	76	30.05	9
Fri Jan 29 15:52:57 2010	New York, New York 10001  	clear sky	16 -9	0 -18	17-24	W	-2 -19	44	30.31	10
Fri Jan 29 15:52:57 2010	El Paso, Texas 79901  	mostly cloudy	30 -1	23 -5	7	N	25 -4	80	30.14	10
Fri Jan 29 15:52:57 2010	Los Angeles, California 90001  	clear sky	50 10	50 10	0		43 6	76	30.03	10
Fri Jan 29 15:52:58 2010	Washington, Washington D. C. 20001  	mostly cloudy	21 -6	14-Jul	16-23	NW	17-Jan	41	30.45	10
