14	search.yahoo.com				
Fri Jan 29 09:19:44 2010	San Jose, CA	48	Partly Cloudy	59	44
Fri Jan 29 09:19:45 2010	Charlotte, NC	41	Fair	61	31
Fri Jan 29 09:19:45 2010	San Diego, CA	50	Partly Cloudy	63	46
Fri Jan 29 09:19:46 2010	Denver, CO	21	Mostly Cloudy	33	22
Fri Jan 29 09:19:46 2010	Memphis, TN	33	Cloudy	42	29
Fri Jan 29 09:19:47 2010	El Paso, TX	30	Light Snow	41	29
Fri Jan 29 09:19:47 2010	Los Angeles, CA	57	Fair	66	46
Fri Jan 29 09:19:48 2010	New York, NY	18	Fair	38	17
Fri Jan 29 09:19:48 2010	Baltimore, MD	21	Fair	47	20
Fri Jan 29 09:19:49 2010	Washington, DC	22	Partly Cloudy	52	23
Fri Jan 29 09:19:49 2010	Las Vegas, NV	49	Fair	59	36
Fri Jan 29 09:19:50 2010	Austin, TX	55	Rain	63	40
Fri Jan 29 09:19:51 2010	Oklahoma City, OK	27	Light Snow	29	19
Fri Jan 29 09:19:51 2010	San Francisco, CA	49	Mostly Cloudy	56	49
Fri Jan 29 09:19:52 2010	Nashville, TN	29	Mostly Cloudy	42	26
Fri Jan 29 09:19:52 2010	Fort Worth, TX	43	Light Rain	57	30
Fri Jan 29 09:19:53 2010	Portland, OR	47	Cloudy	53	42
Fri Jan 29 09:19:53 2010	Phoenix, AZ	53	Partly Cloudy	64	48
Fri Jan 29 09:19:54 2010	Chicago, IL	7	Partly Cloudy	15	7
Fri Jan 29 09:19:54 2010	San Antonio, TX	61	Cloudy	70	47
Fri Jan 29 09:19:55 2010	Indianapolis, IN	10	Partly Cloudy	20	6
Fri Jan 29 09:19:56 2010	Boston, MA	16	Fair/Windy	35	13
Fri Jan 29 09:19:56 2010	Jacksonville, FL	49	Partly Cloudy	64	44
Fri Jan 29 09:19:57 2010	Columbus, OH	11	Fair	21	6
Fri Jan 29 09:19:57 2010	Dallas, TX	43	Light Rain	56	36
Fri Jan 29 09:19:58 2010	Seattle, WA	46	Fair	53	45
Fri Jan 29 09:19:58 2010	Houston, TX	64	Cloudy	68	60
Fri Jan 29 09:19:59 2010	Milwaukee, WI	4	Partly Cloudy	11	4
Fri Jan 29 09:20:00 2010	Detroit, MI	8	Fair	20	6
Fri Jan 29 09:20:00 2010	Philadelphia, PA	19	Fair	46	20
Fri Jan 29 11:51:41 2010	San Jose, CA	46	Fair	59	46
Fri Jan 29 11:51:42 2010	Charlotte, NC	41	Fair	47	28
Fri Jan 29 11:51:43 2010	Denver, CO	24	Cloudy	44	29
Fri Jan 29 11:51:43 2010	San Diego, CA	49	Fair	65	46
Fri Jan 29 11:51:44 2010	Memphis, TN	32	Cloudy	32	26
Fri Jan 29 11:51:45 2010	El Paso, TX	30	Light Snow	51	30
Fri Jan 29 11:51:45 2010	Los Angeles, CA	54	Fair	66	47
Fri Jan 29 11:51:46 2010	New York, NY	17	Fair	27	14
Fri Jan 29 11:51:47 2010	Baltimore, MD	21	Fair	32	22
Fri Jan 29 11:51:47 2010	Las Vegas, NV	47	Fair	60	39
Fri Jan 29 11:51:48 2010	Washington, DC	21	Cloudy	34	25
Fri Jan 29 11:51:49 2010	Austin, TX	46	Light Rain	46	31
Fri Jan 29 11:51:49 2010	San Francisco, CA	46	Cloudy	55	50
Fri Jan 29 11:51:50 2010	Oklahoma City, OK	25	Light Snow	25	18
Fri Jan 29 11:51:51 2010	Nashville, TN	28	Cloudy	30	25
Fri Jan 29 11:51:51 2010	Fort Worth, TX	39	Light Rain	40	27
Fri Jan 29 11:51:52 2010	Portland, OR	47	Cloudy	51	42
Fri Jan 29 11:51:52 2010	Phoenix, AZ	53	Mostly Cloudy	69	48
Fri Jan 29 11:51:53 2010	Chicago, IL	7	Mostly Cloudy	19	13
Fri Jan 29 11:51:54 2010	Indianapolis, IN	11	Cloudy	22	10
Fri Jan 29 11:51:54 2010	San Antonio, TX	52	Light Rain with Thunder	54	32
Fri Jan 29 11:51:55 2010	Boston, MA	14	Fair/Windy	21	7
Fri Jan 29 11:51:56 2010	Columbus, OH	11	Fair	20	9
Fri Jan 29 11:51:56 2010	Jacksonville, FL	49	Mostly Cloudy	67	57
Fri Jan 29 11:51:57 2010	Dallas, TX	41	Light Rain	43	30
Fri Jan 29 11:51:57 2010	Houston, TX	66	Cloudy	60	36
Fri Jan 29 11:51:58 2010	Seattle, WA	44	Fair	55	44
Fri Jan 29 11:51:59 2010	Milwaukee, WI	4	Partly Cloudy	15	5
Fri Jan 29 11:51:59 2010	Detroit, MI	7	Fair	20	8
Fri Jan 29 11:52:00 2010	Philadelphia, PA	18	Fair	30	19
Fri Jan 29 12:36:22 2010	Charlotte, NC	40	Fair	47	28
Fri Jan 29 12:36:22 2010	San Jose, CA	46	Fair	59	46
Fri Jan 29 12:36:23 2010	Denver, CO	25	Cloudy	44	29
Fri Jan 29 12:36:23 2010	San Diego, CA	49	Fair	65	46
Fri Jan 29 12:36:24 2010	Memphis, TN	32	Cloudy	32	26
Fri Jan 29 12:36:25 2010	El Paso, TX	30	Cloudy	51	30
Fri Jan 29 12:36:25 2010	Los Angeles, CA	52	Fair	66	46
Fri Jan 29 12:36:26 2010	New York, NY	17	Fair	27	14
Fri Jan 29 12:36:26 2010	Baltimore, MD	19	Partly Cloudy	32	22
Fri Jan 29 12:36:27 2010	Washington, DC	20	Mostly Cloudy	34	25
Fri Jan 29 12:36:27 2010	Las Vegas, NV	44	Fair	60	39
Fri Jan 29 12:36:28 2010	Austin, TX	44	Rain	46	31
Fri Jan 29 12:36:29 2010	Oklahoma City, OK	24	Light Freezing Rain	25	18
Fri Jan 29 12:36:29 2010	San Francisco, CA	49	Mostly Cloudy	55	50
Fri Jan 29 12:36:30 2010	Nashville, TN	28	Cloudy	30	25
Fri Jan 29 12:36:30 2010	Fort Worth, TX	38	Rain	40	27
Fri Jan 29 12:36:31 2010	Portland, OR	49	Cloudy	50	42
Fri Jan 29 12:36:31 2010	Phoenix, AZ	53	Mostly Cloudy	69	48
Fri Jan 29 12:36:32 2010	Chicago, IL	6	Mostly Cloudy	19	13
Fri Jan 29 12:36:33 2010	Indianapolis, IN	12	Cloudy	22	10
Fri Jan 29 12:36:33 2010	San Antonio, TX	49	Rain	54	32
Fri Jan 29 12:36:34 2010	Boston, MA	14	Fair	21	7
Fri Jan 29 12:36:34 2010	Jacksonville, FL	49	Cloudy	67	57
Fri Jan 29 12:36:35 2010	Columbus, OH	11	Fair	20	9
Fri Jan 29 12:36:35 2010	Dallas, TX	41	Light Rain	43	30
Fri Jan 29 12:36:36 2010	Seattle, WA	45	Mostly Cloudy	55	44
Fri Jan 29 12:36:36 2010	Houston, TX	66	Cloudy	60	36
Fri Jan 29 12:36:37 2010	Milwaukee, WI	3	Fair	15	5
Fri Jan 29 12:36:37 2010	Detroit, MI	7	Fair	20	8
Fri Jan 29 12:36:38 2010	Philadelphia, PA	18	Fair	30	19
Fri Jan 29 13:22:52 2010	Charlotte, NC	38	Partly Cloudy	46	28
Fri Jan 29 13:22:52 2010	San Jose, CA	46	Fair	59	46
Fri Jan 29 13:22:53 2010	Denver, CO	22	Partly Cloudy	44	29
Fri Jan 29 13:22:53 2010	San Diego, CA	49	Fair	65	46
Fri Jan 29 13:22:54 2010	Memphis, TN	32	Cloudy	31	26
Fri Jan 29 13:22:55 2010	El Paso, TX	30	Cloudy	51	30
Fri Jan 29 13:22:55 2010	Los Angeles, CA	52	Fair	66	46
Fri Jan 29 13:22:56 2010	New York, NY	16	Fair	27	14
Fri Jan 29 13:22:57 2010	Baltimore, MD	19	Partly Cloudy	32	22
Fri Jan 29 13:22:57 2010	Las Vegas, NV	44	Fair	60	39
Fri Jan 29 13:22:58 2010	Washington, DC	20	Mostly Cloudy	34	25
Fri Jan 29 13:22:58 2010	Austin, TX	43	Light Rain with Thunder	46	31
Fri Jan 29 13:22:59 2010	San Francisco, CA	48	Cloudy	55	50
Fri Jan 29 13:23:00 2010	Oklahoma City, OK	24	Light Freezing Rain	25	18
Fri Jan 29 13:23:00 2010	Nashville, TN	28	Cloudy	30	25
Fri Jan 29 13:23:01 2010	Fort Worth, TX	37	Light Rain	40	27
Fri Jan 29 13:23:02 2010	Portland, OR	48	Cloudy	50	42
Fri Jan 29 13:23:02 2010	Phoenix, AZ	53	Mostly Cloudy	69	48
Fri Jan 29 13:23:03 2010	Chicago, IL	6	Cloudy	19	13
Fri Jan 29 13:23:04 2010	Indianapolis, IN	13	Cloudy	22	10
Fri Jan 29 13:23:04 2010	San Antonio, TX	47	Light Rain	54	32
Fri Jan 29 13:23:05 2010	Boston, MA	13	Fair/Windy	21	7
Fri Jan 29 13:23:06 2010	Columbus, OH	11	Fair	20	9
Fri Jan 29 13:23:06 2010	Jacksonville, FL	50	Cloudy	67	57
Fri Jan 29 13:23:07 2010	Dallas, TX	39	Light Rain	43	30
Fri Jan 29 13:23:07 2010	Houston, TX	64	Cloudy	62	36
Fri Jan 29 13:23:08 2010	Seattle, WA	44	Fair	55	44
Fri Jan 29 13:23:09 2010	Milwaukee, WI	3	Partly Cloudy	15	5
Fri Jan 29 13:23:09 2010	Detroit, MI	8	Fair	20	5
Fri Jan 29 13:23:10 2010	Philadelphia, PA	17	Partly Cloudy	30	19
Fri Jan 29 14:11:30 2010	Charlotte, NC	38	Mostly Cloudy	46	28
Fri Jan 29 14:11:30 2010	San Jose, CA	45	Fair	59	46
Fri Jan 29 14:11:31 2010	Denver, CO	22	Partly Cloudy	44	29
Fri Jan 29 14:11:31 2010	San Diego, CA	49	Fair	65	46
Fri Jan 29 14:11:32 2010	Memphis, TN	32	Light Rain/Freezing Rain	31	26
Fri Jan 29 14:11:32 2010	Los Angeles, CA	50	Fair	66	46
Fri Jan 29 14:11:33 2010	New York, NY	16	Fair	27	14
Fri Jan 29 14:11:33 2010	El Paso, TX	30	Cloudy	51	30
Fri Jan 29 14:11:34 2010	Baltimore, MD	19	Partly Cloudy	32	22
Fri Jan 29 14:11:34 2010	Las Vegas, NV	44	Fair	60	39
Fri Jan 29 14:11:35 2010	Washington, DC	20	Mostly Cloudy	35	25
Fri Jan 29 14:11:35 2010	Austin, TX	43	Light Rain with Thunder	46	31
Fri Jan 29 14:11:36 2010	Oklahoma City, OK	24	Light Freezing Rain	25	18
Fri Jan 29 14:11:36 2010	San Francisco, CA	48	Cloudy	55	50
Fri Jan 29 14:11:37 2010	Nashville, TN	28	Cloudy	30	25
Fri Jan 29 14:11:37 2010	Fort Worth, TX	37	Light Rain	40	27
Fri Jan 29 14:11:38 2010	Phoenix, AZ	51	Partly Cloudy	69	48
Fri Jan 29 14:11:39 2010	Chicago, IL	6	Cloudy	19	13
Fri Jan 29 14:11:39 2010	Portland, OR	48	Cloudy	51	42
Fri Jan 29 14:11:40 2010	Indianapolis, IN	13	Cloudy	22	10
Fri Jan 29 14:11:40 2010	San Antonio, TX	47	Light Rain	55	32
Fri Jan 29 14:11:41 2010	Boston, MA	13	Fair/Windy	21	7
Fri Jan 29 14:11:41 2010	Jacksonville, FL	50	Cloudy	67	57
Fri Jan 29 14:11:42 2010	Columbus, OH	11	Fair	20	9
Fri Jan 29 14:11:42 2010	Dallas, TX	39	Light Rain	43	30
Fri Jan 29 14:11:43 2010	Seattle, WA	44	Fair	55	44
Fri Jan 29 14:11:43 2010	Houston, TX	61	Cloudy	62	36
Fri Jan 29 14:11:44 2010	Milwaukee, WI	3	Partly Cloudy	15	5
Fri Jan 29 14:11:44 2010	Detroit, MI	8	Fair	20	5
Fri Jan 29 14:11:45 2010	Philadelphia, PA	17	Partly Cloudy	30	19
Fri Jan 29 14:56:04 2010	San Jose, CA	45	Fair	59	46
Fri Jan 29 14:56:05 2010	Charlotte, NC	38	Mostly Cloudy	46	28
Fri Jan 29 14:56:05 2010	San Diego, CA	48	Partly Cloudy	65	46
Fri Jan 29 14:56:06 2010	Denver, CO	23	Partly Cloudy	44	29
Fri Jan 29 14:56:07 2010	Memphis, TN	32	Light Freezing Rain	31	26
Fri Jan 29 14:56:07 2010	Los Angeles, CA	50	Fair	66	46
Fri Jan 29 14:56:08 2010	El Paso, TX	30	Cloudy	51	30
Fri Jan 29 14:56:09 2010	New York, NY	16	Fair	27	14
Fri Jan 29 14:56:09 2010	Baltimore, MD	19	Mostly Cloudy	32	22
Fri Jan 29 14:56:10 2010	Washington, DC	20	Mostly Cloudy	35	25
Fri Jan 29 14:56:10 2010	Las Vegas, NV	42	Fair	60	39
Fri Jan 29 14:56:11 2010	Austin, TX	41	Light Rain	46	31
Fri Jan 29 14:56:12 2010	Oklahoma City, OK	25	Light Snow	25	18
Fri Jan 29 14:56:12 2010	San Francisco, CA	48	Cloudy	55	50
Fri Jan 29 14:56:13 2010	Nashville, TN	28	Cloudy	30	25
Fri Jan 29 14:56:14 2010	Fort Worth, TX	36	Light Rain	40	27
Fri Jan 29 14:56:14 2010	Phoenix, AZ	51	Partly Cloudy	69	48
Fri Jan 29 14:56:15 2010	Chicago, IL	5	Mostly Cloudy	19	13
Fri Jan 29 14:56:15 2010	Portland, OR	47	Cloudy	51	42
Fri Jan 29 14:56:16 2010	San Antonio, TX	46	Light Rain	55	32
Fri Jan 29 14:56:17 2010	Indianapolis, IN	13	Cloudy	22	10
Fri Jan 29 14:56:18 2010	Boston, MA	13	Fair	21	7
Fri Jan 29 14:56:18 2010	Jacksonville, FL	52	Cloudy	67	57
Fri Jan 29 14:56:19 2010	Columbus, OH	11	Fair	20	9
Fri Jan 29 14:56:19 2010	Dallas, TX	37	Light Rain	43	30
Fri Jan 29 14:56:20 2010	Houston, TX	57	Cloudy	62	36
Fri Jan 29 14:56:21 2010	Milwaukee, WI	3	Partly Cloudy	15	5
Fri Jan 29 14:56:21 2010	Seattle, WA	45	Mostly Cloudy	55	44
Fri Jan 29 14:56:22 2010	Detroit, MI	8	Fair	20	5
Fri Jan 29 14:56:23 2010	Philadelphia, PA	18	Partly Cloudy	30	19
Fri Jan 29 15:42:07 2010	San Jose, CA	44	Mostly Cloudy	59	46
Fri Jan 29 15:42:08 2010	Charlotte, NC	39	Mostly Cloudy	46	28
Fri Jan 29 15:42:08 2010	San Diego, CA	49	Partly Cloudy	65	46
Fri Jan 29 15:42:09 2010	Memphis, TN	30	Sleet and Freezing Rain	31	26
Fri Jan 29 15:42:09 2010	Denver, CO	25	Partly Cloudy	44	29
Fri Jan 29 15:42:10 2010	El Paso, TX	30	Cloudy	51	30
Fri Jan 29 15:42:10 2010	Los Angeles, CA	50	Fair	66	46
Fri Jan 29 15:42:11 2010	New York, NY	16	Fair	27	14
Fri Jan 29 15:42:12 2010	Baltimore, MD	21	Mostly Cloudy	32	22
Fri Jan 29 15:42:12 2010	Las Vegas, NV	42	Fair	60	39
Fri Jan 29 15:42:13 2010	Washington, DC	21	Cloudy	35	25
Fri Jan 29 15:42:13 2010	Austin, TX	39	Light Rain	46	31
Fri Jan 29 15:42:13 2010	San Francisco, CA	48	Cloudy	55	50
Fri Jan 29 15:42:14 2010	Oklahoma City, OK	23	Light Snow	25	18
Fri Jan 29 15:42:14 2010	Nashville, TN	28	Light Snow	30	25
Fri Jan 29 15:42:15 2010	Fort Worth, TX	36	Light Rain	40	27
Fri Jan 29 15:42:15 2010	Phoenix, AZ	51	Partly Cloudy	69	48
Fri Jan 29 15:42:16 2010	Chicago, IL	6	Mostly Cloudy	19	13
Fri Jan 29 15:42:16 2010	Portland, OR	47	Mostly Cloudy	51	42
Fri Jan 29 15:42:17 2010	Indianapolis, IN	13	Cloudy	22	10
Fri Jan 29 15:42:17 2010	San Antonio, TX	44	Light Rain	55	32
Fri Jan 29 15:42:18 2010	Boston, MA	14	Fair/Windy	21	7
Fri Jan 29 15:42:18 2010	Jacksonville, FL	54	Cloudy	67	57
Fri Jan 29 15:42:19 2010	Columbus, OH	12	Fair	20	9
Fri Jan 29 15:42:19 2010	Dallas, TX	37	Light Rain	43	30
Fri Jan 29 15:42:20 2010	Seattle, WA	44	Partly Cloudy	55	44
Fri Jan 29 15:42:20 2010	Houston, TX	55	Cloudy	62	36
Fri Jan 29 15:42:21 2010	Milwaukee, WI	4	Partly Cloudy	15	5
Fri Jan 29 15:42:21 2010	Detroit, MI	10	Fair	20	5
Fri Jan 29 15:42:22 2010	Philadelphia, PA	18	Mostly Cloudy	30	19
Fri Jan 29 16:29:10 2010	San Jose, CA	46	Cloudy	59	46
Fri Jan 29 16:29:11 2010	Charlotte, NC	40	Mostly Cloudy	46	28
Fri Jan 29 16:29:12 2010	Denver, CO	23	Partly Cloudy	44	29
Fri Jan 29 16:29:12 2010	San Diego, CA	47	Mostly Cloudy	65	46
Fri Jan 29 16:29:13 2010	Memphis, TN	30	Sleet	31	26
Fri Jan 29 16:29:14 2010	El Paso, TX	31	Mostly Cloudy	51	30
Fri Jan 29 16:29:14 2010	Los Angeles, CA	52	Fair	66	46
Fri Jan 29 16:29:15 2010	New York, NY	18	Fair	27	14
Fri Jan 29 16:29:16 2010	Baltimore, MD	21	Mostly Cloudy	32	22
Fri Jan 29 16:29:17 2010	Washington, DC	22	Cloudy	35	25
Fri Jan 29 16:29:17 2010	Las Vegas, NV	40	Fair	60	39
Fri Jan 29 16:29:18 2010	Austin, TX	39	Rain	46	31
Fri Jan 29 16:29:19 2010	San Francisco, CA	48	Cloudy	55	50
Fri Jan 29 16:29:20 2010	Oklahoma City, OK	23	Light Snow	25	18
Fri Jan 29 16:29:20 2010	Nashville, TN	26	Light Snow and Sleet	30	25
Fri Jan 29 16:29:21 2010	Fort Worth, TX	35	Rain	37	27
Fri Jan 29 16:29:22 2010	Portland, OR	49	Cloudy	50	42
Fri Jan 29 16:29:22 2010	Phoenix, AZ	51	Partly Cloudy	69	48
Fri Jan 29 16:29:23 2010	Chicago, IL	9	Mostly Cloudy	19	13
Fri Jan 29 16:29:24 2010	San Antonio, TX	44	Cloudy	55	32
Fri Jan 29 16:29:25 2010	Boston, MA	15	Fair/Windy	20	7
Fri Jan 29 16:29:25 2010	Indianapolis, IN	14	Cloudy	22	10
Fri Jan 29 16:29:26 2010	Jacksonville, FL	55	Cloudy	67	57
Fri Jan 29 16:29:27 2010	Columbus, OH	12	Fair	20	9
Fri Jan 29 16:29:27 2010	Dallas, TX	38	Light Rain	40	30
Fri Jan 29 16:29:28 2010	Houston, TX	54	Cloudy	62	36
Fri Jan 29 16:29:29 2010	Milwaukee, WI	7	Partly Cloudy	15	5
Fri Jan 29 16:29:29 2010	Seattle, WA	45	Mostly Cloudy	55	44
Fri Jan 29 16:29:30 2010	Detroit, MI	13	Fair	20	5
Fri Jan 29 16:29:31 2010	Philadelphia, PA	19	Mostly Cloudy	30	19
Fri Jan 29 17:13:50 2010	San Jose, CA	46	Cloudy	59	46
Fri Jan 29 17:13:51 2010	Charlotte, NC	41	Mostly Cloudy	46	28
Fri Jan 29 17:13:51 2010	San Diego, CA	47	Mostly Cloudy	65	46
Fri Jan 29 17:13:52 2010	Memphis, TN	30	Snow and Sleet	31	26
Fri Jan 29 17:13:52 2010	Denver, CO	23	Partly Cloudy	44	29
Fri Jan 29 17:13:53 2010	El Paso, TX	32	Mostly Cloudy	51	30
Fri Jan 29 17:13:53 2010	Los Angeles, CA	54	Fair	66	46
Fri Jan 29 17:13:54 2010	New York, NY	19	Fair	27	14
Fri Jan 29 17:13:54 2010	Baltimore, MD	21	Mostly Cloudy	32	22
Fri Jan 29 17:13:55 2010	Las Vegas, NV	40	Fair	60	39
Fri Jan 29 17:13:56 2010	Washington, DC	21	Cloudy	35	25
Fri Jan 29 17:13:56 2010	Austin, TX	39	Cloudy	46	31
Fri Jan 29 17:13:57 2010	Oklahoma City, OK	23	Light Snow	25	18
Fri Jan 29 17:13:57 2010	San Francisco, CA	48	Cloudy	55	50
Fri Jan 29 17:13:58 2010	Nashville, TN	25	Light Snow	30	25
Fri Jan 29 17:13:58 2010	Fort Worth, TX	33	Rain	37	27
Fri Jan 29 17:13:59 2010	Portland, OR	47	Cloudy	50	42
Fri Jan 29 17:13:59 2010	Phoenix, AZ	54	Partly Cloudy	69	48
Fri Jan 29 17:14:00 2010	Chicago, IL	11	Mostly Cloudy	19	13
Fri Jan 29 17:14:00 2010	San Antonio, TX	45	Mostly Cloudy	55	32
Fri Jan 29 17:14:01 2010	Boston, MA	17	Fair/Windy	20	7
Fri Jan 29 17:14:01 2010	Indianapolis, IN	14	Cloudy	22	10
Fri Jan 29 17:14:02 2010	Columbus, OH	13	Fair	20	9
Fri Jan 29 17:14:02 2010	Jacksonville, FL	59	Cloudy	67	57
Fri Jan 29 17:14:03 2010	Dallas, TX	38	Light Rain	40	30
Fri Jan 29 17:14:03 2010	Houston, TX	50	Cloudy	62	36
Fri Jan 29 17:14:04 2010	Seattle, WA	46	Cloudy	55	44
Fri Jan 29 17:14:05 2010	Milwaukee, WI	10	Partly Cloudy	16	5
Fri Jan 29 17:14:05 2010	Detroit, MI	15	Fair	20	5
Fri Jan 29 17:14:06 2010	Philadelphia, PA	19	Mostly Cloudy	30	19
Fri Jan 29 18:02:17 2010	Charlotte, NC	41	Mostly Cloudy	46	28
Fri Jan 29 18:02:17 2010	San Jose, CA	46	Cloudy	58	46
Fri Jan 29 18:02:18 2010	Denver, CO	23	Partly Cloudy	44	29
Fri Jan 29 18:02:18 2010	San Diego, CA	49	Mostly Cloudy	65	46
Fri Jan 29 18:02:19 2010	Memphis, TN	30	Snow and Sleet	31	26
Fri Jan 29 18:02:20 2010	El Paso, TX	32	Mostly Cloudy	51	30
Fri Jan 29 18:02:20 2010	Los Angeles, CA	57	Fair	66	46
Fri Jan 29 18:02:21 2010	New York, NY	19	Fair	27	14
Fri Jan 29 18:02:22 2010	Baltimore, MD	23	Cloudy	28	18
Fri Jan 29 18:02:22 2010	Las Vegas, NV	42	Fair	60	39
Fri Jan 29 18:02:23 2010	Washington, DC	23	Cloudy	31	18
Fri Jan 29 18:02:23 2010	Austin, TX	39	Light Rain	47	31
Fri Jan 29 18:02:24 2010	San Francisco, CA	50	Cloudy	55	50
Fri Jan 29 18:02:25 2010	Oklahoma City, OK	23	Light Snow	24	18
Fri Jan 29 18:02:25 2010	Nashville, TN	25	Light Snow	28	25
Fri Jan 29 18:02:26 2010	Fort Worth, TX	32	Wintry Mix	36	27
Fri Jan 29 18:02:27 2010	Portland, OR	47	Cloudy	50	42
Fri Jan 29 18:02:27 2010	Phoenix, AZ	56	Partly Cloudy	69	48
Fri Jan 29 18:02:28 2010	Chicago, IL	11	Mostly Cloudy	18	13
Fri Jan 29 18:02:29 2010	Indianapolis, IN	17	Cloudy	22	10
Fri Jan 29 18:02:29 2010	San Antonio, TX	45	Mostly Cloudy	55	32
Fri Jan 29 18:02:30 2010	Boston, MA	19	Fair/Windy	20	7
Fri Jan 29 18:02:31 2010	Columbus, OH	14	Fair	18	9
Fri Jan 29 18:02:31 2010	Jacksonville, FL	63	Cloudy	65	57
Fri Jan 29 18:02:32 2010	Dallas, TX	37	Light Rain	40	30
Fri Jan 29 18:02:32 2010	Houston, TX	50	Cloudy	62	36
Fri Jan 29 18:02:33 2010	Seattle, WA	46	Cloudy	55	44
Fri Jan 29 18:02:34 2010	Milwaukee, WI	10	Partly Cloudy	16	5
Fri Jan 29 18:02:34 2010	Detroit, MI	16	Fair	19	5
Fri Jan 29 18:02:35 2010	Philadelphia, PA	20	Cloudy	31	18
Fri Jan 29 18:47:13 2010	Charlotte, NC	44	Mostly Cloudy	42	28
Fri Jan 29 18:47:13 2010	San Jose, CA	48	Cloudy	58	46
Fri Jan 29 18:47:14 2010	Denver, CO	30	Partly Cloudy	44	29
Fri Jan 29 18:47:14 2010	San Diego, CA	55	Mostly Cloudy	65	46
Fri Jan 29 18:47:15 2010	Memphis, TN	30	Light Freezing Rain	30	26
Fri Jan 29 18:47:15 2010	Los Angeles, CA	57	Fair	65	46
Fri Jan 29 18:47:16 2010	New York, NY	20	Fair	25	14
Fri Jan 29 18:47:16 2010	El Paso, TX	35	Partly Cloudy	51	30
Fri Jan 29 18:47:17 2010	Baltimore, MD	25	Mostly Cloudy	28	18
Fri Jan 29 18:47:17 2010	Las Vegas, NV	46	Fair	60	39
Fri Jan 29 18:47:18 2010	Washington, DC	23	Cloudy	28	18
Fri Jan 29 18:47:18 2010	Austin, TX	43	Cloudy	47	31
Fri Jan 29 18:47:19 2010	Oklahoma City, OK	25	Light Snow	24	18
Fri Jan 29 18:47:19 2010	San Francisco, CA	51	Cloudy	55	50
Fri Jan 29 18:47:20 2010	Nashville, TN	25	Light Snow	28	25
Fri Jan 29 18:47:20 2010	Fort Worth, TX	34	Light Freezing Rain	36	27
Fri Jan 29 18:47:21 2010	Portland, OR	48	Cloudy	50	42
Fri Jan 29 18:47:21 2010	Phoenix, AZ	56	Partly Cloudy	68	48
Fri Jan 29 18:47:22 2010	Chicago, IL	14	Mostly Cloudy	18	13
Fri Jan 29 18:47:23 2010	Indianapolis, IN	17	Cloudy	19	10
Fri Jan 29 18:47:23 2010	San Antonio, TX	46	Partly Cloudy	54	32
Fri Jan 29 18:47:24 2010	Boston, MA	19	Fair/Windy	20	7
Fri Jan 29 18:47:24 2010	Jacksonville, FL	63	Cloudy	66	57
Fri Jan 29 18:47:25 2010	Columbus, OH	15	Fair	18	9
Fri Jan 29 18:47:25 2010	Dallas, TX	37	Light Rain	38	30
