8	weather.msn.com											
(Timestamp)	(Location)	(Conditions)	(Temperature) (°F)	Feels like (°F)	Barometer (in)	Dewpoint (°)	Humidity (%)	Visibility (miles)	Precip last hr (in)	Precip last 24 hrs (in)	(Wind Speed)	Wind (mph)
Fri Jan 29 08:45:14 2010	Jacksonville, FL (32202) 	Clear	41	41	30.2	39	93	9	NA	NA	0	
Fri Jan 29 08:45:15 2010	Dallas, TX (75201) 	Weather WarningsRain	43	43	30	41	93	6	0.08	NA	6	NE
Fri Jan 29 08:45:15 2010	Houston, TX (77003) 	Short term forecastCloudy	64	64	29.8	64	100	5	NA	NA	18	SE
Fri Jan 29 08:45:16 2010	Seattle, WA (98104) 	Clear	46	46	30	34	61	10	NA	NA	3	SE
Fri Jan 29 08:45:17 2010	Milwaukee, WI (53202) 	Mostly Sunny	5	-6	30.5	-11	47	10	NA	NA	6	NW
Fri Jan 29 08:45:18 2010	Detroit, MI (48226) 	Clear	9	0	30.5	-2	61	10	NA	NA	5	WNW
Fri Jan 29 08:45:19 2010	Philadelphia, PA (19107) 	Clear	19	9	30.3	-2	38	10	NA	NA	9	WNW
Fri Jan 29 09:28:49 2010	San Jose, CA (95112) 	Mostly Cloudy	46	46	30	45	93	10	NA	NA	5	S
Fri Jan 29 09:28:50 2010	Charlotte, NC (28202) 	Winter storm warningClear	41	41	30.2	25	52	10	NA	NA	5	NE
Fri Jan 29 09:28:50 2010	San Diego, CA (92102) 	Fog	54	54	30.1	48	82	5	NA	NA	5	NW
Fri Jan 29 09:28:51 2010	Denver, CO (80203) 	Mostly Cloudy	27	23	30.1	27	100	7	NA	0.02	3	NNE
Fri Jan 29 09:28:52 2010	Memphis, TN (38103) 	Weather WarningsCloudy	32	21	30.3	21	64	10	NA	NA	14	ENE
Fri Jan 29 09:28:52 2010	Los Angeles, CA (90012) 	Clear	57	57	30	48	72	10	NA	NA	0	
Fri Jan 29 09:28:53 2010	El Paso, TX (79901) 	Weather WarningsSnow	30	21	30.1	28	93	4	0	0.14	10	N
Fri Jan 29 09:28:57 2010	New York, NY (10038) 	Special weather statementClear	18	3	30.2	0	45	10	NA	NA	14	W
Fri Jan 29 09:28:58 2010	Baltimore, MD (21201) 	Partly Cloudy	19	9	30.3	0	42	10	NA	NA	10	NW
Fri Jan 29 09:28:59 2010	Washington, DC (20001) 	Partly Cloudy	21	7	30.4	3	45	10	NA	NA	17	NNW
Fri Jan 29 09:28:59 2010	Las Vegas, NV (89106) 	Clear	46	46	30.1	32	57	10	NA	0.31	6	SSE
Fri Jan 29 09:29:00 2010	San Francisco, CA (94109) 	Mostly Cloudy	48	48	30	45	87	10	NA	NA	7	ESE
Fri Jan 29 09:29:00 2010	Austin, TX (78701) 	Weather WarningsRain	55	55	29.9	54	94	5	0.48	NA	6	NNE
Fri Jan 29 09:29:01 2010	Oklahoma City, OK (73102) 	Weather WarningsDrizzle	28	16	30.1	25	86	7	0.03	NA	16	N
Fri Jan 29 09:29:01 2010	Nashville, TN (37203) 	Weather WarningsMostly Cloudy	28	19	30.4	16	59	10	NA	NA	10	NNE
Fri Jan 29 09:29:02 2010	Fort Worth, TX (76102) 	Weather WarningsRain	43	43	30	39	87	7	0.01	NA	9	NW
Fri Jan 29 09:29:03 2010	Portland, OR (97205) 	Cloudy	46	46	30	36	66	10	NA	NA	9	E
Fri Jan 29 09:29:03 2010	Phoenix, AZ (85004) 	Partly Cloudy	54	54	30	48	82	10	NA	NA	8	ESE
Fri Jan 29 09:29:04 2010	San Antonio, TX (78207) 	Weather WarningsRain	55	55	29.9	55	100	10	0.04	0.01	16	N
Fri Jan 29 09:29:04 2010	Chicago, IL (60610) 	Partly Cloudy	7	-8	30.5	-8	51	10	NA	NA	10	NNW
Fri Jan 29 09:29:05 2010	Indianapolis, IN (46204) 	Partly Cloudy	10	5	30.5	1	67	10	NA	NA	3	N
Fri Jan 29 09:29:06 2010	Jacksonville, FL (32202) 	Clear	41	41	30.2	39	93	9	NA	NA	0	
Fri Jan 29 09:29:07 2010	Columbus, OH (43215) 	Partly Cloudy	10	0	30.4	1	67	10	NA	NA	7	N
Fri Jan 29 09:29:07 2010	Dallas, TX (75201) 	Weather WarningsRain	43	43	30	39	87	6	0.1	NA	7	NNE
Fri Jan 29 09:29:08 2010	Seattle, WA (98104) 	Clear	46	46	30	34	61	10	NA	NA	0	
Fri Jan 29 09:29:08 2010	Houston, TX (77003) 	Short term forecastCloudy	64	64	29.8	64	100	5	NA	NA	16	SSE
Fri Jan 29 09:29:09 2010	Milwaukee, WI (53202) 	Mostly Sunny	3	-9	30.5	-9	55	10	NA	NA	7	NW
Fri Jan 29 09:29:10 2010	Philadelphia, PA (19107) 	Clear	19	3	30.3	-6	32	10	NA	NA	18	NW
Fri Jan 29 09:29:10 2010	Detroit, MI (48226) 	Clear	9	-2	30.5	-2	61	10	NA	NA	6	WNW
Fri Jan 29 12:00:46 2010	San Jose, CA (95112) 	Clear	46	46	30	45	93	7	NA	NA	0	
Fri Jan 29 12:00:47 2010	Charlotte, NC (28202) 	Winter storm warningMostly Cloudy	41	41	30.2	19	42	10	NA	NA	8	NE
Fri Jan 29 12:00:48 2010	Denver, CO (80203) 	Short term forecastMostly Cloudy	27	27	30.1	27	100	7	NA	0.02	0	
Fri Jan 29 12:00:48 2010	San Diego, CA (92102) 	Haze	54	54	30.1	48	82	6	NA	NA	0	
Fri Jan 29 12:00:49 2010	Memphis, TN (38103) 	Weather WarningsCloudy	32	NA	30.2	21	64	10	NA	NA	NA	
Fri Jan 29 12:00:50 2010	El Paso, TX (79901) 	Winter Weather AdvisorySnow	30	19	30.1	25	80	6	0	0.14	13	N
Fri Jan 29 12:00:50 2010	Los Angeles, CA (90012) 	Clear	54	54	30	45	71	10	NA	NA	0	
Fri Jan 29 12:00:51 2010	New York, NY (10038) 	Special weather statementClear	18	7	NA	-2	41	10	NA	NA	8	WNW
Fri Jan 29 12:00:52 2010	Baltimore, MD (21201) 	Mostly Cloudy	19	12	30.4	0	42	10	NA	NA	6	NW
Fri Jan 29 12:00:52 2010	Las Vegas, NV (89106) 	Clear	45	45	30.1	30	57	10	NA	0.31	10	NNW
Fri Jan 29 12:00:53 2010	Washington, DC (20001) 	Cloudy	21	9	30.4	1	42	10	NA	NA	14	NNW
Fri Jan 29 12:00:53 2010	Austin, TX (78701) 	Short term forecastRain	46	46	30	45	93	6	NA	NA	13	NNW
Fri Jan 29 12:00:54 2010	San Francisco, CA (94109) 	Mostly Cloudy	46	46	30	43	87	7	NA	NA	3	NE
Fri Jan 29 12:00:55 2010	Oklahoma City, OK (73102) 	Weather WarningsFog	27	18	30.1	21	80	3	0	NA	10	NNE
Fri Jan 29 12:00:55 2010	Nashville, TN (37203) 	Winter storm warningCloudy	28	21	30.3	16	59	10	NA	NA	8	N
Fri Jan 29 12:00:56 2010	Fort Worth, TX (76102) 	Short term forecastRain	39	30	30	37	93	10	0.06	NA	15	NW
Fri Jan 29 12:00:57 2010	Portland, OR (97205) 	Cloudy	46	46	29.9	36	66	10	NA	NA	6	NE
Fri Jan 29 12:00:57 2010	Phoenix, AZ (85004) 	Mostly Cloudy	54	54	30	48	82	10	NA	NA	7	E
Fri Jan 29 12:00:58 2010	Chicago, IL (60610) 	Mostly Cloudy	7	-4	30.5	-8	51	10	NA	NA	7	NNW
Fri Jan 29 12:00:59 2010	Indianapolis, IN (46204) 	Cloudy	10	1	30.4	3	72	10	NA	NA	5	
Fri Jan 29 12:00:59 2010	San Antonio, TX (78207) 	Short term forecastRain	48	48	29.9	46	93	8	NA	0.01	17	N
Fri Jan 29 12:01:00 2010	Jacksonville, FL (32202) 	Short term forecastClear	41	41	NA	39	93	10	NA	NA	3	NNW
Fri Jan 29 12:01:01 2010	Columbus, OH (43215) 	Partly Cloudy	10	1	30.5	0	61	10	NA	NA	6	NNW
Fri Jan 29 12:01:02 2010	Dallas, TX (75201) 	Weather WarningsRain	41	41	30	39	93	6	0.01	NA	8	ENE
Fri Jan 29 12:01:02 2010	Houston, TX (77003) 	Weather WarningsCloudy	66	66	29.8	66	100	4	NA	NA	17	S
Fri Jan 29 12:01:03 2010	Seattle, WA (98104) 	Clear	45	45	30	34	65	10	NA	NA	0	
Fri Jan 29 12:01:04 2010	Milwaukee, WI (53202) 	Mostly Sunny	3	-9	30.5	-9	55	10	NA	NA	8	NW
Fri Jan 29 12:01:05 2010	Philadelphia, PA (19107) 	Clear	18	3	30.3	-2	41	10	NA	NA	15	NW
Fri Jan 29 12:01:05 2010	Detroit, MI (48226) 	Clear	7	-4	30.4	0	72	10	NA	NA	6	W
Fri Jan 29 12:45:30 2010	San Jose, CA (95112) 	Clear	46	46	30	43	87	8	NA	NA	0	
Fri Jan 29 12:45:31 2010	Charlotte, NC (28202) 	Winter storm warningCloudy	39	34	30.2	18	41	10	NA	NA	8	NE
Fri Jan 29 12:45:31 2010	San Diego, CA (92102) 	Mostly Cloudy	54	54	30	46	76	8	NA	NA	0	
Fri Jan 29 12:45:32 2010	Denver, CO (80203) 	Short term forecastMostly Cloudy	25	25	30	25	100	7	NA	0.02	2	WSW
Fri Jan 29 12:45:33 2010	Memphis, TN (38103) 	Weather WarningsCloudy	32	NA	30.2	21	64	10	NA	NA	NA	
Fri Jan 29 12:45:34 2010	El Paso, TX (79901) 	Winter Weather AdvisoryCloudy	30	21	30.1	27	86	7	0	0.14	10	N
Fri Jan 29 12:45:34 2010	Los Angeles, CA (90012) 	Clear	52	52	30	45	76	10	NA	NA	0	
Fri Jan 29 12:45:35 2010	New York, NY (10038) 	Special weather statementClear	18	5	30.3	0	45	10	NA	NA	10	W
Fri Jan 29 12:45:37 2010	Baltimore, MD (21201) 	Mostly Cloudy	18	7	30.4	0	45	10	NA	NA	8	NNW
Fri Jan 29 12:45:37 2010	Las Vegas, NV (89106) 	Clear	43	43	30.1	32	65	10	NA	0.31	7	NW
Fri Jan 29 12:45:38 2010	Washington, DC (20001) 	Mostly Cloudy	19	7	30.4	0	42	10	NA	NA	14	NNW
Fri Jan 29 12:45:38 2010	Austin, TX (78701) 	Short term forecastRain	43	43	29.9	41	93	10	0.01	NA	9	NNW
Fri Jan 29 12:45:39 2010	Oklahoma City, OK (73102) 	Weather WarningsFog	25	12	30.1	21	86	4	0.05	NA	15	NNE
Fri Jan 29 12:45:39 2010	San Francisco, CA (94109) 	Cloudy	48	48	30	45	87	7	NA	NA	0	
Fri Jan 29 12:45:40 2010	Nashville, TN (37203) 	Winter storm warningCloudy	28	19	30.3	16	59	10	NA	NA	11	N
Fri Jan 29 12:45:40 2010	Fort Worth, TX (76102) 	Rain	37	30	30	36	93	8	0.05	NA	11	NW
Fri Jan 29 12:45:41 2010	Phoenix, AZ (85004) 	Mostly Cloudy	54	54	30	48	82	10	NA	NA	5	E
Fri Jan 29 12:45:42 2010	Portland, OR (97205) 	Cloudy	48	48	30	36	61	10	NA	NA	11	ESE
Fri Jan 29 12:45:43 2010	San Antonio, TX (78207) 	Short term forecastRain	46	46	29.9	46	100	10	NA	0.01	11	NNW
Fri Jan 29 12:45:43 2010	Chicago, IL (60610) 	Mostly Cloudy	7	-4	NA	-8	51	10	NA	NA	7	NW
Fri Jan 29 12:45:44 2010	Indianapolis, IN (46204) 	Cloudy	12	3	30.4	3	67	10	NA	NA	6	NNE
Fri Jan 29 12:45:45 2010	Columbus, OH (43215) 	Cloudy	10	1	30.4	0	61	10	NA	NA	6	NNW
Fri Jan 29 12:45:45 2010	Jacksonville, FL (32202) 	Short term forecastMostly Sunny	45	45	NA	43	93	10	NA	NA	0	
Fri Jan 29 12:45:46 2010	Dallas, TX (75201) 	Flood warningRain	41	41	30	39	93	6	0.03	NA	9	NE
Fri Jan 29 12:45:47 2010	Seattle, WA (98104) 	Mostly Cloudy	45	45	30	36	70	10	NA	NA	0	
Fri Jan 29 12:45:47 2010	Houston, TX (77003) 	Weather WarningsCloudy	66	66	29.8	66	100	4	NA	NA	10	S
Fri Jan 29 12:45:48 2010	Milwaukee, WI (53202) 	Clear	3	-9	30.5	-9	55	10	NA	NA	7	WNW
Fri Jan 29 12:45:49 2010	Detroit, MI (48226) 	Clear	7	-4	30.5	0	72	10	NA	NA	6	W
Fri Jan 29 12:45:50 2010	Philadelphia, PA (19107) 	Clear	18	3	30.3	-2	41	10	NA	NA	14	WNW
Fri Jan 29 13:33:15 2010	San Jose, CA (95112) 	Clear	46	46	30	43	87	9	NA	NA	0	
Fri Jan 29 13:33:16 2010	Charlotte, NC (28202) 	Winter storm warningPartly Cloudy	37	32	30.2	16	41	10	NA	NA	7	ENE
Fri Jan 29 13:33:16 2010	San Diego, CA (92102) 	Mostly Cloudy	54	54	30	46	76	9	NA	NA	0	
Fri Jan 29 13:33:17 2010	Denver, CO (80203) 	Short term forecastMostly Cloudy	23	19	30	23	100	7	NA	NA	3	SSW
Fri Jan 29 13:33:18 2010	Memphis, TN (38103) 	Weather WarningsCloudy	32	23	30.2	21	64	10	NA	NA	13	ENE
Fri Jan 29 13:33:19 2010	El Paso, TX (79901) 	Cloudy	30	21	30.1	27	86	10	NA	0.16	9	N
Fri Jan 29 13:33:19 2010	Los Angeles, CA (90012) 	Clear	52	52	30	43	71	10	NA	NA	0	
Fri Jan 29 13:33:20 2010	New York, NY (10038) 	Special weather statementClear	16	0	30.3	-2	45	10	NA	0.09	16	WNW
Fri Jan 29 13:33:21 2010	Baltimore, MD (21201) 	Mostly Cloudy	18	7	30.4	1	49	10	NA	NA	9	NW
Fri Jan 29 13:33:21 2010	Las Vegas, NV (89106) 	Clear	43	43	30.1	30	61	10	NA	NA	3	W
Fri Jan 29 13:33:22 2010	Washington, DC (20001) 	Mostly Cloudy	19	5	30.4	0	42	10	NA	NA	16	NNW
Fri Jan 29 13:33:22 2010	Austin, TX (78701) 	Short term forecastT-storms	43	43	30	41	93	2	0.04	0.65	10	NW
Fri Jan 29 13:33:23 2010	San Francisco, CA (94109) 	Mostly Cloudy	46	46	30	43	87	7	NA	NA	5	N
Fri Jan 29 13:33:24 2010	Oklahoma City, OK (73102) 	Weather WarningsFog	25	14	30.1	21	86	5	0	1.27	10	N
Fri Jan 29 13:33:24 2010	Nashville, TN (37203) 	Weather WarningsCloudy	28	19	30.3	16	59	10	NA	NA	10	NNE
Fri Jan 29 13:33:25 2010	Fort Worth, TX (76102) 	Rain	37	28	30	34	87	10	0.05	2.3	16	NW
Fri Jan 29 13:33:25 2010	Phoenix, AZ (85004) 	Mostly Cloudy	54	54	30	48	82	10	NA	0.03	8	E
Fri Jan 29 13:33:26 2010	Portland, OR (97205) 	Cloudy	48	48	30	36	61	10	NA	NA	14	E
Fri Jan 29 13:33:27 2010	Chicago, IL (60610) 	Cloudy	7	-6	30.5	-8	51	10	NA	NA	8	NW
Fri Jan 29 13:33:28 2010	Indianapolis, IN (46204) 	Cloudy	12	1	30.5	3	67	10	NA	NA	7	NNE
Fri Jan 29 13:33:28 2010	San Antonio, TX (78207) 	Short term forecastCloudy	46	46	30	45	93	10	NA	0.88	17	NNW
Fri Jan 29 13:33:29 2010	Jacksonville, FL (32202) 	Short term forecastMostly Cloudy	46	46	30.2	45	93	10	NA	NA	0	
Fri Jan 29 13:33:30 2010	Columbus, OH (43215) 	Cloudy	10	1	30.5	0	61	10	NA	NA	6	N
Fri Jan 29 13:33:30 2010	Dallas, TX (75201) 	Flood warningRain	39	36	30	37	93	6	0.04	2.48	6	NNE
Fri Jan 29 13:33:31 2010	Houston, TX (77003) 	Weather WarningsCloudy	64	64	29.8	64	100	0	NA	NA	14	NW
Fri Jan 29 13:33:32 2010	Seattle, WA (98104) 	Mostly Cloudy	45	45	30	36	70	10	NA	NA	0	
Fri Jan 29 13:33:32 2010	Milwaukee, WI (53202) 	Mostly Sunny	3	-9	30.5	-9	55	10	NA	NA	7	WNW
Fri Jan 29 13:33:33 2010	Detroit, MI (48226) 	Clear	9	0	30.4	0	66	10	NA	NA	5	WNW
Fri Jan 29 13:33:34 2010	Philadelphia, PA (19107) 	Mostly Sunny	18	5	30.4	-2	41	10	NA	NA	11	NW
Fri Jan 29 14:21:04 2010	Charlotte, NC (28202) 	Winter storm warningMostly Cloudy	37	32	30.3	18	44	10	NA	NA	6	NNE
Fri Jan 29 14:21:04 2010	San Jose, CA (95112) 	Clear	45	45	30	43	93	9	NA	NA	0	
Fri Jan 29 14:21:05 2010	San Diego, CA (92102) 	Mostly Cloudy	52	52	30	46	82	9	NA	NA	0	
Fri Jan 29 14:21:06 2010	Denver, CO (80203) 	Short term forecastMostly Sunny	21	14	30	21	100	7	NA	NA	5	SW
Fri Jan 29 14:21:06 2010	Memphis, TN (38103) 	Weather WarningsRain	32	21	30.2	21	64	9	0	NA	15	NE
Fri Jan 29 14:21:07 2010	Los Angeles, CA (90012) 	Clear	50	50	30	43	76	10	NA	NA	0	
Fri Jan 29 14:21:08 2010	El Paso, TX (79901) 	Cloudy	30	21	30.1	25	80	10	NA	0.16	10	NNE
Fri Jan 29 14:21:09 2010	New York, NY (10038) 	Special weather statementClear	16	1	30.3	-2	45	10	NA	0.09	15	WNW
Fri Jan 29 14:21:09 2010	Baltimore, MD (21201) 	Mostly Cloudy	18	7	30.4	3	53	10	NA	NA	9	WNW
Fri Jan 29 14:21:10 2010	Washington, DC (20001) 	Mostly Cloudy	19	5	30.4	0	42	10	NA	NA	17	NNW
Fri Jan 29 14:21:10 2010	Las Vegas, NV (89106) 	Clear	43	43	30.1	30	61	10	NA	NA	8	NW
Fri Jan 29 14:21:11 2010	Austin, TX (78701) 	Short term forecastRain	41	41	30	39	93	2	0.05	0.65	11	NNW
Fri Jan 29 14:21:12 2010	Oklahoma City, OK (73102) 	Weather WarningsFog	25	NA	30.1	21	86	3	0	1.27	NA	
Fri Jan 29 14:21:12 2010	San Francisco, CA (94109) 	Fog	46	46	30	45	93	6	NA	NA	0	
Fri Jan 29 14:21:13 2010	Nashville, TN (37203) 	Weather WarningsCloudy	28	19	30.3	16	59	10	NA	NA	10	NNE
Fri Jan 29 14:21:13 2010	Fort Worth, TX (76102) 	Rain	36	25	30	34	93	10	0.05	2.3	18	NW
Fri Jan 29 14:21:15 2010	Portland, OR (97205) 	Cloudy	46	46	30	36	66	10	NA	NA	11	ESE
Fri Jan 29 14:21:15 2010	Phoenix, AZ (85004) 	Partly Cloudy	52	52	30	48	87	10	NA	0.03	5	E
Fri Jan 29 14:21:16 2010	Chicago, IL (60610) 	Mostly Cloudy	5	-4	30.5	-6	61	10	NA	NA	5	NW
Fri Jan 29 14:21:17 2010	Indianapolis, IN (46204) 	Cloudy	12	1	30.5	3	67	10	NA	NA	8	NNE
Fri Jan 29 14:21:17 2010	San Antonio, TX (78207) 	Short term forecastRain	45	45	30	43	93	9	0.03	0.88	18	NNW
Fri Jan 29 14:21:18 2010	Jacksonville, FL (32202) 	Short term forecastCloudy	48	48	30.2	46	93	10	NA	NA	0	
Fri Jan 29 14:21:19 2010	Columbus, OH (43215) 	Cloudy	10	-2	30.5	-2	56	10	NA	NA	8	NNE
Fri Jan 29 14:21:19 2010	Dallas, TX (75201) 	Flood warningRain	39	34	30	37	93	6	0.05	2.48	8	N
Fri Jan 29 14:21:21 2010	Houston, TX (77003) 	Cloudy	59	59	29.8	57	94	7	NA	NA	15	NNW
Fri Jan 29 14:21:22 2010	Seattle, WA (98104) 	Mostly Cloudy	45	45	30	37	76	10	NA	NA	0	
Fri Jan 29 14:21:23 2010	Milwaukee, WI (53202) 	Partly Cloudy	3	-9	30.5	-8	60	10	NA	NA	7	WNW
Fri Jan 29 14:21:24 2010	Philadelphia, PA (19107) 	Partly Cloudy	18	5	30.4	0	45	10	NA	NA	11	NW
Fri Jan 29 14:21:24 2010	Detroit, MI (48226) 	Clear	9	0	30.5	0	66	10	NA	NA	5	WNW
Fri Jan 29 15:05:57 2010	San Jose, CA (95112) 	Clear	45	45	30	43	93	9	NA	NA	0	
Fri Jan 29 15:05:58 2010	Charlotte, NC (28202) 	Winter storm warningMostly Cloudy	37	32	30.3	18	44	10	NA	NA	6	NNE
Fri Jan 29 15:05:58 2010	San Diego, CA (92102) 	Mostly Cloudy	52	52	30	46	82	9	NA	NA	0	
Fri Jan 29 15:05:59 2010	Denver, CO (80203) 	Short term forecastMostly Sunny	21	14	30	21	100	7	NA	NA	5	SW
Fri Jan 29 15:06:00 2010	Memphis, TN (38103) 	Weather WarningsRain	32	21	30.2	21	64	9	NA	NA	15	NE
Fri Jan 29 15:06:00 2010	Los Angeles, CA (90012) 	Clear	50	50	30	43	76	10	NA	NA	0	
Fri Jan 29 15:06:01 2010	El Paso, TX (79901) 	Cloudy	30	21	30.1	25	80	10	NA	0.16	10	NNE
Fri Jan 29 15:06:02 2010	New York, NY (10038) 	Clear	16	NA	30.3	-2	45	10	NA	0.09	NA	
Fri Jan 29 15:06:02 2010	Baltimore, MD (21201) 	Mostly Cloudy	18	7	30.4	3	53	10	NA	NA	9	WNW
Fri Jan 29 15:06:03 2010	Las Vegas, NV (89106) 	Clear	43	43	30.1	30	61	10	NA	NA	8	NW
Fri Jan 29 15:06:04 2010	Washington, DC (20001) 	Mostly Cloudy	19	5	30.4	0	42	10	NA	NA	17	NNW
Fri Jan 29 15:06:04 2010	Austin, TX (78701) 	Flood AdvisoryRain	41	41	30	39	93	4	0.07	0.65	10	NW
Fri Jan 29 15:06:05 2010	San Francisco, CA (94109) 	Fog	46	46	30	45	93	6	NA	NA	0	
Fri Jan 29 15:06:06 2010	Oklahoma City, OK (73102) 	Weather WarningsFog	25	16	30.1	21	86	2	0.01	1.27	9	NNE
Fri Jan 29 15:06:07 2010	Nashville, TN (37203) 	Weather WarningsCloudy	28	19	30.3	16	59	10	NA	NA	10	NNE
Fri Jan 29 15:06:07 2010	Fort Worth, TX (76102) 	Short term forecastRain	36	NA	30	34	93	10	0.05	2.3	NA	
Fri Jan 29 15:06:08 2010	Phoenix, AZ (85004) 	Partly Cloudy	52	52	30	48	87	10	NA	0.03	5	E
Fri Jan 29 15:06:09 2010	Portland, OR (97205) 	Cloudy	46	46	30	36	66	10	NA	NA	11	ESE
Fri Jan 29 15:06:09 2010	Chicago, IL (60610) 	Mostly Cloudy	5	-4	30.5	-6	61	10	NA	NA	5	NW
Fri Jan 29 15:06:10 2010	Indianapolis, IN (46204) 	Cloudy	12	1	30.5	3	67	10	NA	NA	8	NNE
Fri Jan 29 15:06:10 2010	San Antonio, TX (78207) 	Rain	43	43	30	41	93	9	NA	0.88	16	NNW
Fri Jan 29 15:06:11 2010	Jacksonville, FL (32202) 	Short term forecastCloudy	48	48	NA	46	93	10	NA	NA	0	
Fri Jan 29 15:06:12 2010	Columbus, OH (43215) 	Cloudy	10	-2	30.5	-2	56	10	NA	NA	8	NNE
Fri Jan 29 15:06:12 2010	Dallas, TX (75201) 	Weather WarningsRain	37	32	30	36	93	6	0.03	2.48	8	NNE
Fri Jan 29 15:06:13 2010	Houston, TX (77003) 	Cloudy	57	NA	29.8	55	94	10	NA	NA	NA	
Fri Jan 29 15:06:14 2010	Seattle, WA (98104) 	Mostly Cloudy	45	45	30	37	76	10	NA	NA	0	
Fri Jan 29 15:06:15 2010	Milwaukee, WI (53202) 	Partly Cloudy	3	-9	30.5	-8	60	10	NA	NA	7	WNW
Fri Jan 29 15:06:16 2010	Philadelphia, PA (19107) 	Partly Cloudy	18	5	30.4	0	45	10	NA	NA	11	NW
Fri Jan 29 15:06:16 2010	Detroit, MI (48226) 	Clear	9	0	30.5	0	66	10	NA	NA	5	WNW
Fri Jan 29 15:51:29 2010	San Jose, CA (95112) 	Mostly Cloudy	45	45	30	43	93	9	NA	NA	0	
Fri Jan 29 15:51:30 2010	Charlotte, NC (28202) 	Winter storm warningMostly Cloudy	39	32	30.3	18	41	10	NA	NA	11	ENE
Fri Jan 29 15:51:31 2010	Denver, CO (80203) 	Short term forecastFog	19	12	30	19	100	1	NA	NA	5	S
Fri Jan 29 15:51:31 2010	San Diego, CA (92102) 	Mostly Cloudy	52	52	30	45	76	9	NA	NA	0	
Fri Jan 29 15:51:32 2010	Memphis, TN (38103) 	Weather WarningsRain	30	NA	30.2	25	80	8	NA	NA	NA	
Fri Jan 29 15:51:33 2010	El Paso, TX (79901) 	Mostly Cloudy	30	23	30.1	25	80	10	NA	0.16	7	N
Fri Jan 29 15:51:33 2010	Los Angeles, CA (90012) 	Clear	50	50	30	43	76	10	NA	NA	0	
Fri Jan 29 15:51:35 2010	New York, NY (10038) 	Clear	16	NA	30.3	-2	45	10	NA	0.09	NA	
Fri Jan 29 15:51:35 2010	Baltimore, MD (21201) 	Mostly Cloudy	19	9	30.4	1	45	10	NA	NA	8	NW
