13	www.accuweather.com									
(Timestamp)	(Location)	(Temperature) (°F)	RealFeel® (°F)	Winds	at (mph)	(Condition)	Humidity (%)	Dew Point (° F)	Pressure (in)	Visibility (Miles)
Fri Jan 29 08:47:20 2010	San Antonio  78201 	57	45	N	21	Light Rain 	87	54	29.89	8
Fri Jan 29 08:47:22 2010	Indianapolis  46201 	10	10	N	3	Cloudy 	66	1	30.50	10
Fri Jan 29 08:47:25 2010	Boston  02101 	18	-11	WNW	33	Clear 	35	-5	29.94	10
Fri Jan 29 08:47:27 2010	Jacksonville  32099 	36	41	CLM	0	Clear 	100	36	30.17	6
Fri Jan 29 08:47:29 2010	Columbus  43085 	11	1	N	8	Mostly Clear 	70	3	30.48	10
Fri Jan 29 08:47:31 2010	Dallas  75201 	45	38	NE	7	Rain 	87	41	30.02	5
Fri Jan 29 08:47:33 2010	Houston  77001 	63	53	SE	20	Rain 	93	61	29.86	4
Fri Jan 29 08:47:35 2010	Seattle  98101 	49	42	ESE	12	Some Clouds 	49	31	30.02	10
Fri Jan 29 08:47:37 2010	Milwaukee  53201 	5	-1	NW	6	Mostly Clear 	47	-11	30.57	10
Fri Jan 29 08:47:40 2010	Detroit  48201 	8	0	WNW	7	Clear 	63	-2	30.50	10
Fri Jan 29 08:47:42 2010	Philadelphia  19019 	20	9	WNW	9	Clear 	36	-3	30.30	10
Fri Jan 29 09:30:22 2010	San Jose  95101 	47	46	S	5	Some Clouds 	89	44	30.03	10
Fri Jan 29 09:30:25 2010	Charlotte  28201 	41	39	NE	5	Clear 	52	25	30.19	10
Fri Jan 29 09:30:29 2010	San Diego  92101 	53	52	NW	5	Some Clouds 	85	49	30.08	5
Fri Jan 29 09:30:32 2010	Denver  80214 	26	30	SSE	3	Mostly Cloudy 	84	22	30.17	2
Fri Jan 29 09:30:35 2010	Memphis  37501 	32	19	ENE	14	Cloudy 	66	22	30.30	10
Fri Jan 29 09:30:38 2010	Los Angeles  90001 	57	59	CLM	0	Clear 	71	48	30.05	10
Fri Jan 29 09:30:41 2010	El Paso  79901 	30	18	N	10	Lgt.Snow/Fog 	92	28	30.10	4
Fri Jan 29 09:30:45 2010	New York  10001 	18	1	W	14	Clear 	43	-1	30.19	10
Fri Jan 29 09:30:48 2010	Baltimore  21201 	20	8	NW	10	Mostly Clear 	41	0	30.35	10
Fri Jan 29 09:30:51 2010	Las Vegas  89101 	46	41	NE	8	Clear 	62	34	30.06	10
Fri Jan 29 09:30:54 2010	Washington  20001 	22	3	NNW	17	Mostly Clear 	45	4	30.36	10
Fri Jan 29 09:30:57 2010	Austin  73301 	55	47	N	14	Mist 	93	54	29.88	8
Fri Jan 29 09:31:00 2010	San Francisco  94101 	49	52	CLM	0	Some Clouds 	92	47	30.04	7
Fri Jan 29 09:31:04 2010	Oklahoma City  73101 	28	11	N	16	Lgt.Frz.Driz. 	84	24	30.17	7
Fri Jan 29 09:31:07 2010	Nashville  37201 	29	18	NNE	10	Mostly Cloudy 	56	15	30.38	10
Fri Jan 29 09:31:11 2010	Fort Worth  76101 	43	33	NW	9	Light Rain 	87	39	30.01	7
Fri Jan 29 09:31:14 2010	Phoenix  85001 	53	49	ESE	8	Partly Cloudy 	82	48	30.01	10
Fri Jan 29 09:31:17 2010	Portland  97201 	47	41	E	9	Cloudy 	65	36	29.99	10
Fri Jan 29 09:31:21 2010	Chicago  60601 	6	0	NNW	6	Some Clouds 	54	-7	30.56	10
Fri Jan 29 09:31:24 2010	San Antonio  78201 	56	47	N	13	Rain 	89	53	29.86	5
Fri Jan 29 09:31:27 2010	Indianapolis  46201 	10	10	N	3	Mostly Clear 	66	1	30.51	10
Fri Jan 29 09:31:30 2010	Boston  02101 	16	-11	WNW	26	Clear 	37	-6	29.96	10
Fri Jan 29 09:31:33 2010	Jacksonville  32099 	37	41	CLM	0	Partly Cloudy 	100	37	30.18	8
Fri Jan 29 09:31:37 2010	Columbus  43085 	11	3	N	7	Mostly Clear 	64	1	30.48	10
Fri Jan 29 09:31:39 2010	Dallas  75201 	43	34	NNE	8	Rain 	93	41	30.00	6
Fri Jan 29 09:31:42 2010	Houston  77001 	62	53	SE	18	Rain 	96	61	29.84	5
Fri Jan 29 09:31:45 2010	Seattle  98101 	48	42	SE	9	Some Clouds 	51	31	30.02	10
Fri Jan 29 09:31:48 2010	Milwaukee  53201 	4	-5	NW	7	Mostly Clear 	52	-10	30.57	10
Fri Jan 29 09:31:51 2010	Detroit  48201 	7	-4	WNW	8	Clear 	69	-1	30.50	10
Fri Jan 29 09:31:54 2010	Philadelphia  19019 	19	-2	NW	18	Clear 	34	-5	30.31	10
Fri Jan 29 12:02:22 2010	San Jose  95101 	46	49	CLM	0	Cloudy 	92	44	30.03	7
Fri Jan 29 12:02:25 2010	Charlotte  28201 	41	35	NE	8	Cloudy 	42	20	30.20	10
Fri Jan 29 12:02:28 2010	San Diego  92101 	54	56	CLM	0	Some Clouds 	82	49	30.06	6
Fri Jan 29 12:02:31 2010	Denver  80214 	27	29	N	2	Cloudy 	86	23	30.15	2
Fri Jan 29 12:02:34 2010	Memphis  37501 	32	16	ENE	18	Cloudy 	63	21	30.24	10
Fri Jan 29 12:02:36 2010	Los Angeles  90001 	54	56	CLM	0	Mostly Clear 	71	45	30.04	10
Fri Jan 29 12:02:39 2010	El Paso  79901 	30	15	N	13	Light Snow 	80	25	30.11	6
Fri Jan 29 12:02:44 2010	New York  10001 	17	8	WNW	8	Clear 	42	-2	30.25	10
Fri Jan 29 12:02:47 2010	Baltimore  21201 	19	14	NW	6	Some Clouds 	43	0	30.37	10
Fri Jan 29 12:02:50 2010	Las Vegas  89101 	45	45	ESE	3	Mostly Clear 	62	33	30.06	10
Fri Jan 29 12:02:53 2010	Washington  20001 	21	5	NNW	14	Cloudy 	41	1	30.39	10
Fri Jan 29 12:02:57 2010	Austin  73301 	49	40	NW	14	Cloudy 	89	46	29.94	10
Fri Jan 29 12:03:00 2010	San Francisco  94101 	46	46	SSW	3	Cloudy 	95	45	30.04	6
Fri Jan 29 12:03:03 2010	Oklahoma City  73101 	26	14	NNE	10	Frz.Drizzle 	84	22	30.15	3
Fri Jan 29 12:03:05 2010	Nashville  37201 	28	20	N	8	Cloudy 	58	15	30.35	10
Fri Jan 29 12:03:08 2010	Fort Worth  76101 	39	24	NW	15	Light Rain 	92	37	29.99	10
Fri Jan 29 12:03:12 2010	Phoenix  85001 	53	50	E	7	Mostly Cloudy 	82	48	30.02	10
Fri Jan 29 12:03:15 2010	Portland  97201 	47	44	NE	6	Cloudy 	65	36	29.95	10
Fri Jan 29 12:03:18 2010	Chicago  60601 	5	-4	N	7	Some Clouds 	57	-7	30.54	10
Fri Jan 29 12:03:21 2010	San Antonio  78201 	49	40	NNW	14	Cloudy 	89	46	29.87	8
Fri Jan 29 12:03:24 2010	Indianapolis  46201 	11	9	N	5	Cloudy 	70	3	30.48	10
Fri Jan 29 12:03:27 2010	Boston  02101 	14	-14	W	28	Clear 	40	-6	29.97	10
Fri Jan 29 12:03:29 2010	Jacksonville  32099 	39	43	CLM	0	Cloudy 	100	39	30.17	7
Fri Jan 29 12:03:32 2010	Columbus  43085 	10	5	NNW	6	Some Clouds 	61	-1	30.49	10
Fri Jan 29 12:03:35 2010	Dallas  75201 	41	36	NNE	5	Light Rain 	93	39	30.01	10
Fri Jan 29 12:03:37 2010	Houston  77001 	66	63	S	13	Cloudy 	93	64	29.80	7
Fri Jan 29 12:03:40 2010	Seattle  98101 	50	46	ESE	7	Cloudy 	46	30	29.98	10
Fri Jan 29 12:03:43 2010	Milwaukee  53201 	4	-7	NW	8	Mostly Clear 	54	-9	30.55	10
Fri Jan 29 12:03:45 2010	Detroit  48201 	7	-1	W	7	Mostly Clear 	69	-1	30.49	10
Fri Jan 29 12:03:48 2010	Philadelphia  19019 	18	0	NW	15	Mostly Clear 	39	-3	30.33	10
Fri Jan 29 12:50:02 2010	Charlotte  28201 	40	34	NE	8	Cloudy 	41	18	30.21	10
Fri Jan 29 12:50:05 2010	San Diego  92101 	54	56	CLM	0	Some Clouds 	77	47	30.05	8
Fri Jan 29 12:50:07 2010	Denver  80214 	25	29	N	2	Cloudy 	86	22	30.14	2
Fri Jan 29 12:50:09 2010	Memphis  37501 	32	16	ENE	18	Cloudy 	63	21	30.21	10
Fri Jan 29 12:50:12 2010	Los Angeles  90001 	52	55	CLM	0	Clear 	76	45	30.04	10
Fri Jan 29 12:50:14 2010	El Paso  79901 	30	20	N	10	Cloudy 	85	26	30.11	7
Fri Jan 29 12:50:16 2010	New York  10001 	17	4	W	10	Clear 	45	-1	30.25	10
Fri Jan 29 12:50:19 2010	Baltimore  21201 	18	9	NNW	8	Mostly Cloudy 	45	0	30.38	10
Fri Jan 29 12:50:21 2010	Las Vegas  89101 	42	46	CLM	0	Some Clouds 	70	33	30.06	10
Fri Jan 29 12:50:24 2010	Washington  20001 	20	4	NNW	14	Some Clouds 	41	0	30.40	10
Fri Jan 29 12:50:26 2010	Austin  73301 	45	28	NNW	20	Rain 	93	43	29.94	4
Fri Jan 29 12:50:28 2010	San Francisco  94101 	49	52	CLM	0	Some Clouds 	89	46	30.04	7
Fri Jan 29 12:50:30 2010	Oklahoma City  73101 	25	8	NNE	15	Lgt.Frz.Driz. 	88	22	30.15	4
Fri Jan 29 12:50:33 2010	Nashville  37201 	28	16	N	12	Cloudy 	58	15	30.35	10
Fri Jan 29 12:50:35 2010	Fort Worth  76101 	38	24	NW	12	Rain 	89	35	30.02	8
Fri Jan 29 12:50:37 2010	Phoenix  85001 	53	52	E	5	Mostly Cloudy 	82	48	30.01	10
Fri Jan 29 12:50:39 2010	Portland  97201 	49	42	ESE	12	Cloudy 	58	35	29.96	10
Fri Jan 29 12:50:42 2010	Chicago  60601 	5	3	N	5	Some Clouds 	57	-7	30.55	10
Fri Jan 29 12:50:44 2010	San Antonio  78201 	46	31	NNW	18	Rain 	88	43	29.90	5
Fri Jan 29 12:50:47 2010	Indianapolis  46201 	12	7	NNE	6	Cloudy 	67	3	30.49	10
Fri Jan 29 12:50:49 2010	Boston  02101 	14	-11	W	22	Clear 	40	-6	29.99	10
Fri Jan 29 12:50:51 2010	Jacksonville  32099 	41	45	CLM	0	Cloudy 	100	41	30.17	8
Fri Jan 29 12:50:54 2010	Columbus  43085 	10	5	NNW	6	Cloudy 	61	-1	30.49	10
Fri Jan 29 12:50:56 2010	Dallas  75201 	41	31	NE	9	Light Rain 	88	38	29.99	10
Fri Jan 29 12:50:58 2010	Houston  77001 	66	66	CLM	0	Hvy.Thundstm. 	100	66	29.78	1
Fri Jan 29 12:51:00 2010	Seattle  98101 	49	43	E	9	Cloudy 	47	30	29.97	10
Fri Jan 29 12:51:03 2010	Milwaukee  53201 	3	-6	WNW	7	Clear 	57	-9	30.56	10
Fri Jan 29 12:51:05 2010	Detroit  48201 	7	1	WNW	6	Partly Cloudy 	69	-1	30.50	10
Fri Jan 29 12:51:07 2010	Philadelphia  19019 	18	1	WNW	14	Clear 	39	-3	30.34	10
Fri Jan 29 13:34:54 2010	San Jose  95101 	46	49	CLM	0	Clear 	88	43	30.02	9
Fri Jan 29 13:35:02 2010	Charlotte  28201 	38	33	ENE	7	Partly Cloudy 	40	16	30.24	10
Fri Jan 29 13:35:20 2010	San Diego  92101 	53	56	CLM	0	Some Clouds 	76	46	30.04	9
Fri Jan 29 13:35:33 2010	Denver  80214 	23	27	N	3	Cloudy 	87	20	30.14	2
Fri Jan 29 13:35:38 2010	Memphis  37501 	32	20	ENE	13	Cloudy 	63	21	30.24	10
Fri Jan 29 13:35:44 2010	Los Angeles  90001 	52	55	CLM	0	Clear 	71	43	30.04	10
Fri Jan 29 13:35:51 2010	El Paso  79901 	30	21	N	9	Cloudy 	85	26	30.12	10
Fri Jan 29 13:35:56 2010	New York  10001 	16	-4	WNW	16	Clear 	44	-2	30.25	10
Fri Jan 29 13:36:18 2010	Baltimore  21201 	18	7	NW	9	Some Clouds 	47	1	30.40	10
Fri Jan 29 13:36:25 2010	Las Vegas  89101 	42	42	SSW	3	Some Clouds 	70	33	30.06	10
Fri Jan 29 13:36:31 2010	Washington  20001 	20	1	NNW	16	Some Clouds 	41	0	30.43	10
Fri Jan 29 13:36:37 2010	Austin  73301 	44	29	NNW	17	Light Rain 	95	43	29.96	8
Fri Jan 29 13:36:43 2010	San Francisco  94101 	48	51	CLM	0	Cloudy 	92	46	30.03	7
Fri Jan 29 13:36:49 2010	Oklahoma City  73101 	25	13	N	10	Lgt.Frz.Driz. 	84	21	30.14	5
Fri Jan 29 13:37:14 2010	Nashville  37201 	28	17	NNE	10	Cloudy 	58	15	30.32	10
Fri Jan 29 13:37:29 2010	Fort Worth  76101 	37	21	NW	16	Light Rain 	88	34	30.01	10
Fri Jan 29 13:37:43 2010	Phoenix  85001 	53	49	E	8	Mostly Cloudy 	82	48	30.01	10
Fri Jan 29 13:37:50 2010	Portland  97201 	48	39	E	14	Cloudy 	60	35	29.98	10
Fri Jan 29 13:37:56 2010	Chicago  60601 	5	-1	NNW	6	Cloudy 	57	-7	30.56	10
Fri Jan 29 13:38:03 2010	San Antonio  78201 	45	32	NNW	14	Light Rain 	89	42	29.95	10
Fri Jan 29 13:38:13 2010	Indianapolis  46201 	13	5	NNE	7	Cloudy 	64	3	30.50	10
Fri Jan 29 13:38:21 2010	Boston  02101 	13	-15	W	26	Clear 	42	-6	30.01	10
Fri Jan 29 13:38:26 2010	Jacksonville  32099 	43	47	CLM	0	Mostly Cloudy 	100	43	30.16	10
Fri Jan 29 13:38:34 2010	Columbus  43085 	10	5	N	6	Cloudy 	61	-1	30.51	10
Fri Jan 29 13:38:40 2010	Dallas  75201 	39	26	N	10	Rain 	92	37	29.99	7
Fri Jan 29 13:38:46 2010	Houston  77001 	61	57	NW	7	Thundershower 	96	60	29.81	8
Fri Jan 29 13:38:51 2010	Seattle  98101 	49	52	CLM	0	Some Clouds 	47	30	29.98	10
Fri Jan 29 13:38:57 2010	Milwaukee  53201 	3	-6	WNW	7	Mostly Clear 	57	-9	30.58	10
Fri Jan 29 13:39:07 2010	Detroit  48201 	9	7	W	5	Cloudy 	66	0	30.50	10
Fri Jan 29 13:39:13 2010	Philadelphia  19019 	17	2	NW	12	Partly Cloudy 	42	-2	30.35	10
Fri Jan 29 14:22:34 2010	San Jose  95101 	45	48	CLM	0	Clear 	92	43	30.02	9
Fri Jan 29 14:22:38 2010	Charlotte  28201 	38	35	NNE	6	Cloudy 	44	18	30.27	10
Fri Jan 29 14:22:42 2010	San Diego  92101 	52	55	CLM	0	Some Clouds 	80	46	30.05	9
Fri Jan 29 14:22:46 2010	Denver  80214 	23	27	N	3	Mostly Cloudy 	87	20	30.15	2
Fri Jan 29 14:22:50 2010	Memphis  37501 	32	15	NE	15	Light Rain 	63	21	30.25	10
Fri Jan 29 14:22:53 2010	Los Angeles  90001 	50	53	CLM	0	Clear 	76	43	30.04	10
Fri Jan 29 14:23:08 2010	El Paso  79901 	30	20	NNE	10	Cloudy 	81	25	30.11	10
Fri Jan 29 14:23:12 2010	New York  10001 	16	-2	WNW	15	Sunny 	44	-2	30.28	10
Fri Jan 29 14:23:15 2010	Baltimore  21201 	18	7	WNW	9	Mostly Cloudy 	51	3	30.41	10
Fri Jan 29 14:23:18 2010	Las Vegas  89101 	42	46	CLM	0	Some Clouds 	70	33	30.06	10
Fri Jan 29 14:23:21 2010	Washington  20001 	20	1	NNW	17	Mostly Cloudy 	41	0	30.43	10
Fri Jan 29 14:23:24 2010	Austin  73301 	43	27	NW	20	Light Rain 	96	42	30.00	8
Fri Jan 29 14:23:27 2010	San Francisco  94101 	48	48	S	3	Cloudy 	92	46	30.03	7
Fri Jan 29 14:23:30 2010	Oklahoma City  73101 	25	14	NNE	9	Lgt.Frz.Driz. 	84	21	30.17	4
Fri Jan 29 14:23:33 2010	Nashville  37201 	28	18	NNE	10	Cloudy 	58	15	30.32	10
Fri Jan 29 14:23:37 2010	Fort Worth  76101 	36	18	NW	18	Light Rain 	89	33	30.04	10
Fri Jan 29 14:23:40 2010	Phoenix  85001 	51	50	E	5	Partly Cloudy 	89	48	30.01	10
Fri Jan 29 14:23:43 2010	Portland  97201 	47	39	ESE	12	Cloudy 	65	36	29.99	10
Fri Jan 29 14:23:46 2010	Chicago  60601 	5	6	NNW	3	Some Clouds 	57	-7	30.56	10
Fri Jan 29 14:23:49 2010	San Antonio  78201 	43	26	NNW	21	Light Rain 	92	41	29.98	10
Fri Jan 29 14:23:54 2010	Indianapolis  46201 	13	3	NNE	8	Cloudy 	67	4	30.51	10
Fri Jan 29 14:23:58 2010	Boston  02101 	13	-13	W	24	Sunny 	42	-6	30.01	10
Fri Jan 29 14:24:02 2010	Jacksonville  32099 	45	49	CLM	0	Mostly Cloudy 	100	45	30.17	10
Fri Jan 29 14:24:06 2010	Columbus  43085 	11	1	NNE	8	Cloudy 	55	-2	30.52	10
Fri Jan 29 14:24:09 2010	Dallas  75201 	39	26	N	12	Light Rain 	88	36	30.01	7
Fri Jan 29 14:24:13 2010	Houston  77001 	58	48	NNW	16	Light Rain 	93	56	29.83	10
Fri Jan 29 14:24:16 2010	Seattle  98101 	45	45	NE	3	Cloudy 	62	33	29.98	10
Fri Jan 29 14:24:19 2010	Milwaukee  53201 	3	-6	WNW	7	Partly Cloudy 	60	-8	30.57	10
Fri Jan 29 14:24:22 2010	Detroit  48201 	10	2	WNW	7	Cloudy 	63	0	30.52	10
Fri Jan 29 14:24:25 2010	Philadelphia  19019 	18	4	NW	12	Mostly Sunny 	43	-1	30.37	10
Fri Jan 29 15:07:32 2010	San Jose  95101 	45	48	CLM	0	Cloudy 	92	43	30.02	9
Fri Jan 29 15:07:35 2010	Charlotte  28201 	38	35	NNE	6	Cloudy 	44	18	30.27	10
Fri Jan 29 15:07:37 2010	San Diego  92101 	52	55	CLM	0	Some Clouds 	80	46	30.05	9
Fri Jan 29 15:07:43 2010	Denver  80214 	23	29	CLM	0	Partly Cloudy 	92	21	30.04	4
Fri Jan 29 15:07:46 2010	Memphis  37501 	32	15	NE	15	Freezing Rain 	64	21	30.24	9
Fri Jan 29 15:07:50 2010	Los Angeles  90001 	50	53	CLM	0	Mostly Clear 	76	43	30.04	10
Fri Jan 29 15:07:55 2010	El Paso  79901 	30	20	NNE	10	Cloudy 	81	25	30.11	10
Fri Jan 29 15:07:59 2010	New York  10001 	16	-2	WNW	15	Sunny 	44	-2	30.28	10
Fri Jan 29 15:08:01 2010	Baltimore  21201 	18	7	WNW	9	Mostly Cloudy 	51	3	30.41	10
Fri Jan 29 15:08:05 2010	Las Vegas  89101 	42	46	CLM	0	Some Clouds 	70	33	30.06	10
Fri Jan 29 15:08:08 2010	Washington  20001 	20	1	NNW	17	Mostly Cloudy 	41	0	30.43	10
Fri Jan 29 15:08:13 2010	Austin  73301 	43	29	NW	16	Thundershower 	93	41	30.01	6
Fri Jan 29 15:08:17 2010	San Francisco  94101 	48	48	S	3	Cloudy 	92	46	30.03	7
Fri Jan 29 15:08:27 2010	Oklahoma City  73101 	25	13	NNE	9	Frz.Drizzle 	86	21	30.12	2
Fri Jan 29 15:08:31 2010	Nashville  37201 	28	18	NNE	10	Cloudy 	58	15	30.32	10
Fri Jan 29 15:08:34 2010	Fort Worth  76101 	36	18	NW	18	Light Rain 	89	33	30.04	10
Fri Jan 29 15:08:38 2010	Phoenix  85001 	51	50	E	5	Partly Cloudy 	89	48	30.01	10
Fri Jan 29 15:08:41 2010	Portland  97201 	47	39	ESE	12	Cloudy 	65	36	29.99	10
Fri Jan 29 15:08:45 2010	Chicago  60601 	5	6	NNW	3	Some Clouds 	57	-7	30.56	10
Fri Jan 29 15:08:50 2010	San Antonio  78201 	41	25	NNW	14	Heavy Rain 	86	37	30.04	4
Fri Jan 29 15:08:59 2010	Indianapolis  46201 	13	3	NNE	8	Cloudy 	67	4	30.51	10
Fri Jan 29 15:09:08 2010	Boston  02101 	13	-13	W	24	Sunny 	42	-6	30.01	10
Fri Jan 29 15:09:14 2010	Jacksonville  32099 	45	49	CLM	0	Mostly Cloudy 	100	45	30.17	10
Fri Jan 29 15:09:19 2010	Columbus  43085 	11	1	NNE	8	Cloudy 	55	-2	30.52	10
Fri Jan 29 15:09:23 2010	Dallas  75201 	39	26	N	12	Light Rain 	88	36	30.01	7
Fri Jan 29 15:09:33 2010	Houston  77001 	58	48	NNW	16	Light Rain 	93	56	29.83	10
Fri Jan 29 15:09:37 2010	Seattle  98101 	45	45	NE	3	Cloudy 	62	33	29.98	10
Fri Jan 29 15:09:40 2010	Milwaukee  53201 	3	-6	WNW	7	Partly Cloudy 	60	-8	30.57	10
Fri Jan 29 15:09:49 2010	Detroit  48201 	10	2	WNW	7	Cloudy 	63	0	30.52	10
Fri Jan 29 15:09:53 2010	Philadelphia  19019 	18	4	NW	12	Mostly Sunny 	43	-1	30.37	10
Fri Jan 29 15:53:17 2010	San Jose  95101 	44	48	CLM	0	Mostly Cloudy 	92	42	30.01	9
Fri Jan 29 15:53:28 2010	Charlotte  28201 	39	31	ENE	12	Cloudy 	40	17	30.28	10
Fri Jan 29 15:53:36 2010	San Diego  92101 	51	54	CLM	0	Some Clouds 	79	45	30.05	9
Fri Jan 29 15:53:42 2010	Denver  80214 	23	29	W	2	Some Clouds 	86	19	30.16	2
Fri Jan 29 15:53:50 2010	Memphis  37501 	30	13	ENE	15	Rain/Sleet 	80	25	30.24	8
Fri Jan 29 15:53:56 2010	Los Angeles  90001 	50	53	CLM	0	Clear 	76	43	30.04	10
Fri Jan 29 15:54:12 2010	El Paso  79901 	30	24	N	7	Mostly Cloudy 	80	25	30.14	10
Fri Jan 29 15:54:20 2010	New York  10001 	16	-3	WNW	17	Sunny 	44	-2	30.29	10
Fri Jan 29 15:54:29 2010	Baltimore  21201 	19	11	NW	8	Cloudy 	47	2	30.42	10
Fri Jan 29 15:54:35 2010	Las Vegas  89101 	41	41	WSW	3	Some Clouds 	73	33	30.06	10
Fri Jan 29 15:54:43 2010	Washington  20001 	21	3	NNW	16	Cloudy 	41	1	30.45	10
Fri Jan 29 15:54:47 2010	Austin  73301 	42	30	NNW	14	Thundershower 	91	40	30.02	6
Fri Jan 29 15:54:52 2010	San Francisco  94101 	48	51	CLM	0	Cloudy 	96	47	30.01	6
Fri Jan 29 15:55:03 2010	Oklahoma City  73101 	25	8	NNE	14	Lgt.Snow/Fog 	84	21	30.14	1
Fri Jan 29 15:55:14 2010	Nashville  37201 	28	16	NE	10	Light Snow 	55	14	30.35	9
Fri Jan 29 15:55:23 2010	Fort Worth  76101 	36	20	NW	15	Light Rain 	89	33	30.05	10
Fri Jan 29 15:55:28 2010	Phoenix  85001 	51	51	ESE	3	Partly Cloudy 	89	48	30.02	10
Fri Jan 29 15:55:38 2010	Portland  97201 	47	41	ESE	9	Cloudy 	65	36	29.98	10
Fri Jan 29 15:55:43 2010	Chicago  60601 	5	1	NNW	6	Clouds And Sun 	57	-7	30.56	10
Fri Jan 29 15:55:53 2010	San Antonio  78201 	41	27	NNW	14	Rain 	92	39	30.02	4
Fri Jan 29 15:56:09 2010	Indianapolis  46201 	13	4	NE	8	Cloudy 	67	4	30.49	10
Fri Jan 29 15:56:16 2010	Boston  02101 	14	-11	W	25	Sunny 	38	-7	30.03	10
Fri Jan 29 15:56:21 2010	Jacksonville  32099 	48	55	CLM	0	Mostly Cloudy 	93	46	30.19	10
Fri Jan 29 15:56:27 2010	Columbus  43085 	11	4	N	7	Cloudy 	53	-3	30.51	10
Fri Jan 29 15:56:32 2010	Dallas  75201 	37	26	N	10	Light Rain 	93	36	30.05	10
Fri Jan 29 15:56:37 2010	Houston  77001 	55	50	NNW	10	Cloudy 	93	54	29.86	10
Fri Jan 29 15:56:47 2010	Seattle  98101 	49	43	SE	9	Cloudy 	49	31	29.99	10
Fri Jan 29 15:57:02 2010	Milwaukee  53201 	4	-3	NW	7	Partly Sunny 	57	-8	30.57	10
Fri Jan 29 15:57:06 2010	Detroit  48201 	12	-3	NNW	12	Cloudy 	61	1	30.52	10
Fri Jan 29 15:57:11 2010	Philadelphia  19019 	18	1	NW	15	Cloudy 	43	-1	30.39	10
Fri Jan 29 16:40:48 2010	San Jose  95101 	45	48	CLM	0	Cloudy 	92	43	30.02	9
Fri Jan 29 16:40:50 2010	Charlotte  28201 	40	34	E	10	Cloudy 	36	15	30.28	10
Fri Jan 29 16:40:52 2010	San Diego  92101 	51	55	CLM	0	Clouds And Sun 	76	44	30.06	10
Fri Jan 29 16:40:55 2010	Denver  80214 	23	29	CLM	0	Light Fog 	92	21	30.04	3
Fri Jan 29 16:40:57 2010	Memphis  37501 	30	16	ENE	12	Sleet/Snow 	80	25	30.29	2
Fri Jan 29 16:40:59 2010	Los Angeles  90001 	52	55	CLM	0	Sunny 	63	40	30.05	10
Fri Jan 29 16:41:01 2010	El Paso  79901 	31	37	CLM	0	Mostly Cloudy 	75	24	30.15	10
Fri Jan 29 16:41:04 2010	New York  10001 	18	6	WNW	13	Mostly Sunny 	37	-4	30.30	10
Fri Jan 29 16:41:06 2010	Baltimore  21201 	20	5	NW	14	Cloudy 	43	1	30.44	10
Fri Jan 29 16:41:08 2010	Las Vegas  89101 	42	41	SW	5	Clouds And Sun 	70	33	30.06	10
Fri Jan 29 16:41:10 2010	Washington  20001 	22	6	NNW	15	Cloudy 	41	2	30.46	10
Fri Jan 29 16:41:13 2010	Austin  73301 	41	27	NNW	16	Light Rain 	93	39	30.05	7
