9	www2.foxnews.com											
(Timestamp)	(Location)	(Condition)	Feels Like	Barometer	Humidity (%)	Visibility	Dewpoint	(Wind Speed) (MPH)	Wind	Sunrise	Sunset	(Temperature) (°F)
Fri Jan 29 09:26:41 2010	Baltimore, MD	 	23	1026.9	29	999	0	*	*	7:17	5:22	23
Fri Jan 29 09:26:41 2010	Las Vegas, NV	Mostly Clear	37	1017.9	82	10	35	5	S	6:43	5:02	40
Fri Jan 29 09:26:42 2010	Washington, DC	Partly Cloudy	12	1027.2	36	10	5	14	NNW	7:18	5:25	24
Fri Jan 29 09:26:43 2010	Austin, TX	Rain 	61	1010.7	93	9	59	12	NW	7:23	6:04	61
Fri Jan 29 09:26:44 2010	San Francisco, CA	Cloudy 	51	1017.3	89	6	48	0	CALM	7:17	5:29	51
Fri Jan 29 09:26:45 2010	Oklahoma City, OK	Freezing Drizzle	17	*	83	6	25	16	N	7:33	5:54	28
Fri Jan 29 09:26:46 2010	Nashville, TN	Mostly Cloudy	20	1028.6	51	10	15	8	N	6:50	5:09	28
Fri Jan 29 09:26:47 2010	Fort Worth, TX	 	42	1015.8	89	8	43	8	NE	7:27	5:58	46
Fri Jan 29 09:26:48 2010	Phoenix, AZ	Mostly Cloudy	55	1016.2	80	10	49	7	ESE	7:27	5:56	55
Fri Jan 29 09:26:49 2010	Portland, OR	Cloudy 	43	1015.7	61	10	35	13	ESE	7:36	5:12	48
Fri Jan 29 09:26:50 2010	Chicago, IL	Partly Cloudy	-2	1035.8	51	10	-5	5	NW	7:07	5:00	7
Fri Jan 29 09:26:51 2010	San Antonio, TX	Cloudy 	66	1010.2	93	10	64	3	SE	7:25	6:09	66
Fri Jan 29 09:26:52 2010	Indianapolis, IN	Partly Cloudy	10	1032.6	61	10	1	3	N	7:56	5:59	10
Fri Jan 29 09:26:54 2010	Jacksonville, FL	Partly Cloudy	49	1021.5	74	10	41	0	CALM	7:19	6:00	49
Fri Jan 29 09:26:55 2010	Worthington, OH	Mostly Clear	-2	1031.9	64	10	2	8	N	7:44	5:46	10
Fri Jan 29 09:26:56 2010	Dallas, TX	 	40	1017.5	93	6	41	5	W	7:24	5:56	43
Fri Jan 29 09:26:57 2010	Houston, TX	Cloudy 	63	*	100	3	63	15	SE	7:13	5:56	63
Fri Jan 29 09:26:58 2010	Seattle, WA	Mostly Clear	47	1015.7	59	10	33	3	SE	7:40	5:05	47
Fri Jan 29 09:26:59 2010	Detroit, MI	Mostly Clear	0	*	57	10	-2	5	WNW	7:50	5:41	8
Fri Jan 29 09:26:59 2010	Milwaukee, WI	Partly Cloudy	-6	1035.0	40	10	-11	6	NW	7:11	4:59	5
Fri Jan 29 09:27:00 2010	Philadelphia, PA	Mostly Clear	4	1025.8	33	10	-2	15	WNW	7:13	5:14	18
Fri Jan 29 11:58:35 2010	San Jose, CA	Mostly Clear	44	1017.0	93	8	44	5	NE	7:14	5:28	46
Fri Jan 29 11:58:36 2010	Charlotte, NC	Mostly Cloudy	37	1022.2	45	10	22	9	NE	7:25	5:48	42
Fri Jan 29 11:58:37 2010	San Diego, CA	Mostly Cloudy	53	1018.4	86	5	49	3	E	6:46	5:18	53
Fri Jan 29 11:58:38 2010	Edgewater, CO	Mostly Cloudy	21	*	91	6	19	0	CALM	7:12	5:15	21
Fri Jan 29 11:58:39 2010	Memphis, TN	Cloudy 	20	1024.7	66	10	22	20	ENE	7:02	5:25	32
Fri Jan 29 11:58:40 2010	Los Angeles, CA	Mostly Clear	56	1017.2	69	10	46	0	CALM	6:52	5:20	56
Fri Jan 29 11:58:41 2010	El Paso, TX	Cloudy 	22	1019.2	74	7	25	12	N	7:01	5:36	31
Fri Jan 29 11:58:42 2010	Manhattan, NY	Mostly Clear	4	1023.4	32	10	-3	15	WNW	7:10	5:08	18
Fri Jan 29 11:58:43 2010	Baltimore, MD	 	21	1028.2	27	999	-3	*	*	7:17	5:22	21
Fri Jan 29 11:58:44 2010	Las Vegas, NV	Mostly Clear	38	1017.4	68	10	32	6	ENE	6:43	5:02	42
Fri Jan 29 11:58:45 2010	Austin, TX	Rain 	55	1012.2	93	8	53	10	NW	7:23	6:04	55
Fri Jan 29 11:58:45 2010	Washington, DC	Mostly Cloudy	8	1028.8	34	10	2	17	NNW	7:18	5:25	22
Fri Jan 29 11:58:46 2010	San Francisco, CA	Mostly Cloudy	49	1017.1	93	7	47	0	CALM	7:17	5:29	49
Fri Jan 29 11:58:47 2010	Oklahoma City, OK	Freezing Drizzle	14	1020.7	82	4	23	17	NNE	7:33	5:54	27
Fri Jan 29 11:58:48 2010	Nashville, TN	Cloudy 	20	1028.4	49	10	15	10	N	6:50	5:09	29
Fri Jan 29 11:58:49 2010	Fort Worth, TX	Rain 	35	1016.7	93	8	39	9	NW	7:27	5:58	41
Fri Jan 29 11:58:50 2010	Phoenix, AZ	Partly Cloudy	52	1016.3	86	10	48	6	E	7:27	5:56	52
Fri Jan 29 11:58:51 2010	Portland, OR	Mostly Cloudy	44	1014.6	66	10	36	7	E	7:36	5:12	47
Fri Jan 29 11:58:52 2010	Chicago, IL	Partly Cloudy	-5	1035.9	45	10	-7	7	NW	7:07	5:00	7
Fri Jan 29 11:58:53 2010	San Antonio, TX	Rain 	56	1011.3	87	5	52	16	N	7:25	6:09	56
Fri Jan 29 11:58:54 2010	Indianapolis, IN	Mostly Clear	11	1032.7	61	10	2	0	CALM	7:56	5:59	11
Fri Jan 29 11:58:55 2010	Jacksonville, FL	Partly Cloudy	47	1021.5	83	10	42	0	CALM	7:19	6:00	47
Fri Jan 29 11:58:56 2010	Worthington, OH	Mostly Clear	-2	1032.3	68	10	0	5	N	7:44	5:46	7
Fri Jan 29 11:58:57 2010	Dallas, TX	 	35	*	93	6	39	9	NE	7:24	5:56	41
Fri Jan 29 11:58:58 2010	Houston, TX	Cloudy 	64	*	100	3	64	16	SSE	7:13	5:56	64
Fri Jan 29 11:58:59 2010	Seattle, WA	Mostly Clear	43	1015.1	71	10	34	0	CALM	7:40	5:05	43
Fri Jan 29 11:59:00 2010	Milwaukee, WI	Partly Cloudy	-8	1034.7	48	10	-9	7	NW	7:11	4:59	4
Fri Jan 29 11:59:01 2010	Detroit, MI	Mostly Clear	-3	*	64	10	-1	6	WNW	7:50	5:41	7
Fri Jan 29 11:59:02 2010	Philadelphia, PA	Mostly Clear	5	1026.5	33	10	-2	13	NW	7:13	5:14	18
Fri Jan 29 12:43:18 2010	San Jose, CA	Mostly Clear	46	1016.8	93	7	44	0	CALM	7:14	5:28	46
Fri Jan 29 12:43:19 2010	Charlotte, NC	Mostly Clear	36	1022.7	43	10	20	8	NE	7:25	5:48	41
Fri Jan 29 12:43:19 2010	San Diego, CA	Mostly Cloudy	54	1017.9	83	6	49	0	CALM	6:46	5:18	54
Fri Jan 29 12:43:20 2010	Edgewater, CO	Cloudy 	18	1022.0	85	6	21	5	S	7:12	5:15	24
Fri Jan 29 12:43:21 2010	Memphis, TN	Cloudy 	20	1023.9	64	10	21	18	ENE	7:02	5:25	32
Fri Jan 29 12:43:22 2010	Los Angeles, CA	Mostly Clear	54	1017.3	72	10	45	0	CALM	6:52	5:20	54
Fri Jan 29 12:43:23 2010	El Paso, TX	Cloudy 	20	1019.2	77	7	25	13	N	7:01	5:36	30
Fri Jan 29 12:43:24 2010	Manhattan, NY	Mostly Clear	7	1024.4	35	10	-2	8	WNW	7:10	5:08	17
Fri Jan 29 12:43:25 2010	Baltimore, MD	 	21	1028.4	30	999	-1	*	*	7:17	5:22	21
Fri Jan 29 12:43:26 2010	Las Vegas, NV	Mostly Clear	39	1017.5	76	10	32	3	E	6:43	5:02	39
Fri Jan 29 12:43:27 2010	Washington, DC	Cloudy 	8	1029.1	34	10	1	14	NNW	7:18	5:25	21
Fri Jan 29 12:43:28 2010	Austin, TX	Cloudy 	44	1013.8	90	10	46	14	NW	7:23	6:04	49
Fri Jan 29 12:43:28 2010	San Francisco, CA	Cloudy 	46	1017.0	96	6	45	3	SSW	7:17	5:29	46
Fri Jan 29 12:43:29 2010	Oklahoma City, OK	Freezing Drizzle	16	1021.0	81	3	22	10	NNE	7:33	5:54	26
Fri Jan 29 12:43:30 2010	Nashville, TN	Cloudy 	20	1027.7	51	10	15	8	N	6:50	5:09	28
Fri Jan 29 12:43:31 2010	Fort Worth, TX	Rain 	31	1015.6	93	10	37	15	NW	7:27	5:58	39
Fri Jan 29 12:43:32 2010	Phoenix, AZ	Mostly Cloudy	53	1016.5	83	10	48	7	E	7:27	5:56	53
Fri Jan 29 12:43:33 2010	Portland, OR	Cloudy 	44	1014.2	66	10	36	6	NE	7:36	5:12	47
Fri Jan 29 12:43:34 2010	Chicago, IL	Mostly Cloudy	-5	1035.1	45	10	-7	7	NNW	7:07	5:00	7
Fri Jan 29 12:43:35 2010	San Antonio, TX	Cloudy 	53	1011.7	86	10	49	12	N	7:25	6:09	53
Fri Jan 29 12:43:36 2010	Indianapolis, IN	Cloudy 	3	1032.1	65	10	3	5	VAR	7:56	5:59	11
Fri Jan 29 12:43:38 2010	Jacksonville, FL	Mostly Cloudy	49	1021.7	80	10	43	3	NW	7:19	6:00	49
Fri Jan 29 12:43:39 2010	Worthington, OH	Mostly Clear	-2	1032.6	61	10	-1	6	NNW	7:44	5:46	8
Fri Jan 29 12:43:40 2010	Dallas, TX	Rain 	36	1015.8	93	6	39	8	NE	7:24	5:56	41
Fri Jan 29 12:43:41 2010	Houston, TX	Cloudy 	64	*	100	3	64	21	SSE	7:13	5:56	64
Fri Jan 29 12:43:42 2010	Milwaukee, WI	Partly Cloudy	-9	1034.4	48	10	-9	8	NW	7:11	4:59	4
Fri Jan 29 12:43:42 2010	Seattle, WA	Mostly Clear	44	1014.7	68	10	34	0	CALM	7:40	5:05	44
Fri Jan 29 12:43:43 2010	Detroit, MI	Mostly Clear	-3	1031.7	64	10	-1	6	W	7:50	5:41	7
Fri Jan 29 12:43:44 2010	Philadelphia, PA	Mostly Clear	4	1027.0	35	10	-2	12	NW	7:13	5:14	17
Fri Jan 29 13:31:01 2010	San Jose, CA	Mostly Clear	46	1016.8	93	7	44	0	CALM	7:14	5:28	46
Fri Jan 29 13:31:02 2010	Charlotte, NC	Mostly Clear	36	1022.7	43	10	20	8	NE	7:25	5:48	41
Fri Jan 29 13:31:03 2010	San Diego, CA	Mostly Cloudy	54	1017.9	83	6	49	0	CALM	6:46	5:18	54
Fri Jan 29 13:31:04 2010	Edgewater, CO	Cloudy 	18	1022.0	85	6	21	5	S	7:12	5:15	24
Fri Jan 29 13:31:05 2010	Memphis, TN	Cloudy 	20	1023.9	64	10	21	18	ENE	7:02	5:25	32
Fri Jan 29 13:31:06 2010	Los Angeles, CA	Mostly Clear	54	1017.3	72	10	45	0	CALM	6:52	5:20	54
Fri Jan 29 13:31:07 2010	El Paso, TX	Cloudy 	20	1019.2	77	7	25	13	N	7:01	5:36	30
Fri Jan 29 13:31:08 2010	Baltimore, MD	 	21	1028.4	30	999	-1	*	*	7:17	5:22	21
Fri Jan 29 13:31:08 2010	Manhattan, NY	Mostly Clear	7	1024.4	35	10	-2	8	WNW	7:10	5:08	17
Fri Jan 29 13:31:09 2010	Las Vegas, NV	Mostly Clear	39	1017.5	76	10	32	3	E	6:43	5:02	39
Fri Jan 29 13:31:10 2010	Washington, DC	Cloudy 	8	1029.1	34	10	1	14	NNW	7:18	5:25	21
Fri Jan 29 13:31:11 2010	Austin, TX	Cloudy 	44	1013.8	90	10	46	14	NW	7:23	6:04	49
Fri Jan 29 13:31:12 2010	San Francisco, CA	Cloudy 	46	1017.0	96	6	45	3	SSW	7:17	5:29	46
Fri Jan 29 13:31:13 2010	Oklahoma City, OK	Freezing Drizzle	16	1021.0	81	3	22	10	NNE	7:33	5:54	26
Fri Jan 29 13:31:14 2010	Nashville, TN	Cloudy 	20	1027.7	51	10	15	8	N	6:50	5:09	28
Fri Jan 29 13:31:15 2010	Fort Worth, TX	Rain 	31	1015.6	93	10	37	15	NW	7:27	5:58	39
Fri Jan 29 13:31:16 2010	Phoenix, AZ	Mostly Cloudy	53	1016.5	83	10	48	7	E	7:27	5:56	53
Fri Jan 29 13:31:17 2010	Portland, OR	Cloudy 	44	1014.2	66	10	36	6	NE	7:36	5:12	47
Fri Jan 29 13:31:18 2010	Chicago, IL	Mostly Cloudy	-5	1035.1	45	10	-7	7	NNW	7:07	5:00	7
Fri Jan 29 13:31:19 2010	Indianapolis, IN	Cloudy 	3	1032.1	65	10	3	5	VAR	7:56	5:59	11
Fri Jan 29 13:31:19 2010	San Antonio, TX	Cloudy 	53	1011.7	86	10	49	12	N	7:25	6:09	53
Fri Jan 29 13:31:21 2010	Jacksonville, FL	Mostly Cloudy	49	1021.7	80	10	43	3	NW	7:19	6:00	49
Fri Jan 29 13:31:23 2010	Worthington, OH	Mostly Clear	-2	1032.6	61	10	-1	6	NNW	7:44	5:46	8
Fri Jan 29 13:31:24 2010	Dallas, TX	Rain 	36	1015.8	93	6	39	8	NE	7:24	5:56	41
Fri Jan 29 13:31:24 2010	Houston, TX	Cloudy 	64	*	100	3	64	21	SSE	7:13	5:56	64
Fri Jan 29 13:31:25 2010	Seattle, WA	Mostly Clear	44	1014.7	68	10	34	0	CALM	7:40	5:05	44
Fri Jan 29 13:31:26 2010	Milwaukee, WI	Partly Cloudy	-9	1034.4	48	10	-9	8	NW	7:11	4:59	4
Fri Jan 29 13:31:27 2010	Detroit, MI	Mostly Clear	-3	1031.7	64	10	-1	6	W	7:50	5:41	7
Fri Jan 29 13:31:28 2010	Philadelphia, PA	Mostly Clear	4	1027.0	35	10	-2	12	NW	7:13	5:14	17
Fri Jan 29 14:18:51 2010	San Jose, CA	Mostly Clear	46	1016.5	89	9	43	0	CALM	7:13	5:29	46
Fri Jan 29 14:18:52 2010	Charlotte, NC	Partly Cloudy	33	1023.9	41	10	16	7	ENE	7:25	5:49	38
Fri Jan 29 14:18:53 2010	Edgewater, CO	Partly Cloudy	16	1021.8	90	4	20	5	S	7:11	5:17	22
Fri Jan 29 14:18:53 2010	San Diego, CA	Mostly Cloudy	53	1017.3	77	9	46	0	CALM	6:45	5:19	53
Fri Jan 29 14:18:54 2010	Memphis, TN	Cloudy 	23	1023.8	64	10	21	13	ENE	7:01	5:26	32
Fri Jan 29 14:18:56 2010	Los Angeles, CA	Mostly Clear	52	1017.0	71	10	43	0	CALM	6:52	5:21	52
Fri Jan 29 14:18:57 2010	El Paso, TX	Cloudy 	22	1019.9	82	10	26	9	N	7:01	5:37	30
Fri Jan 29 14:18:57 2010	Manhattan, NY	Mostly Clear	1	1024.4	37	10	-2	16	WNW	7:09	5:10	16
Fri Jan 29 14:18:59 2010	Baltimore, MD	 	20	1029.5	34	999	0	*	*	7:16	5:23	20
Fri Jan 29 14:19:00 2010	Las Vegas, NV	Mostly Clear	38	1017.2	79	10	32	0	CALM	6:42	5:03	38
Fri Jan 29 14:19:01 2010	Washington, DC	Mostly Cloudy	6	1030.3	34	10	0	16	NNW	7:17	5:26	20
Fri Jan 29 14:19:02 2010	Austin, TX	Rain 	36	1014.4	96	8	43	17	NNW	7:23	6:05	44
Fri Jan 29 14:19:03 2010	San Francisco, CA	Cloudy 	48	1016.8	93	7	46	0	CALM	7:16	5:30	48
Fri Jan 29 14:19:04 2010	Nashville, TN	Cloudy 	19	1026.7	51	10	15	10	NNE	6:50	5:10	28
Fri Jan 29 14:19:04 2010	Oklahoma City, OK	Freezing Drizzle	15	1020.4	82	5	21	10	N	7:32	5:55	25
Fri Jan 29 14:19:05 2010	Fort Worth, TX	Rain 	28	1016.3	89	10	34	16	NW	7:26	5:59	37
Fri Jan 29 14:19:06 2010	Phoenix, AZ	Mostly Cloudy	53	1016.0	83	10	48	8	E	7:26	5:57	53
Fri Jan 29 14:19:08 2010	Chicago, IL	Cloudy 	-7	1035.6	45	10	-8	8	NW	7:06	5:02	6
Fri Jan 29 14:19:08 2010	Portland, OR	Cloudy 	42	1015.1	61	10	35	14	E	7:35	5:13	48
Fri Jan 29 14:19:09 2010	San Antonio, TX	Rain 	42	1014.3	90	10	44	12	NNW	7:25	6:10	47
Fri Jan 29 14:19:10 2010	Indianapolis, IN	Cloudy 	3	1032.6	58	10	3	7	NNE	7:55	6:00	13
Fri Jan 29 14:19:12 2010	Jacksonville, FL	Cloudy 	50	1021.4	86	10	46	0	CALM	7:19	6:01	50
Fri Jan 29 14:19:13 2010	Worthington, OH	Mostly Clear	1	1033.2	61	10	0	5	NNW	7:44	5:48	9
Fri Jan 29 14:19:14 2010	Dallas, TX	Rain 	35	1016.0	96	6	38	6	NNE	7:24	5:57	39
Fri Jan 29 14:19:15 2010	Houston, TX	Cloudy 	64	*	100	0.25	64	14	NW	7:13	5:57	64
Fri Jan 29 14:19:16 2010	Seattle, WA	Mostly Clear	44	1014.5	73	10	36	0	CALM	7:39	5:06	44
Fri Jan 29 14:19:17 2010	Milwaukee, WI	Partly Cloudy	-9	1035.3	50	10	-9	7	WNW	7:10	5:01	3
Fri Jan 29 14:19:18 2010	Detroit, MI	Mostly Clear	0	1032.2	61	10	-1	5	WNW	7:49	5:42	8
Fri Jan 29 14:19:19 2010	Philadelphia, PA	Mostly Clear	4	1027.5	42	10	0	10	WNW	7:12	5:16	16
Fri Jan 29 15:03:38 2010	San Jose, CA	Mostly Clear	45	1016.6	93	9	43	0	CALM	7:13	5:29	45
Fri Jan 29 15:03:39 2010	Charlotte, NC	Mostly Cloudy 	33	1025.0	45	10	18	6	NNE	7:25	5:49	38
Fri Jan 29 15:03:40 2010	San Diego, CA	Mostly Cloudy	52	1017.5	80	9	46	0	CALM	6:45	5:19	52
Fri Jan 29 15:03:41 2010	Edgewater, CO	Partly Cloudy	12	1021.7	85	4	16	5	SSW	7:11	5:17	19
Fri Jan 29 15:03:42 2010	Memphis, TN	Freezing Rain 	22	*	64	9	21	15	NE	7:01	5:26	32
Fri Jan 29 15:03:43 2010	Los Angeles, CA	Mostly Clear	50	1017.0	77	10	43	0	CALM	6:52	5:21	50
Fri Jan 29 15:03:44 2010	El Paso, TX	Cloudy 	21	1019.5	77	10	25	10	NNE	7:01	5:37	30
Fri Jan 29 15:03:45 2010	Manhattan, NY	Mostly Sunny 	1	1025.4	37	10	-2	15	WNW	7:09	5:10	16
Fri Jan 29 15:03:46 2010	Baltimore, MD	 	20	1029.6	32	999	-1	*	*	7:16	5:23	20
Fri Jan 29 15:03:47 2010	Las Vegas, NV	Mostly Clear	33	1017.4	83	10	32	5	SW	6:42	5:03	37
Fri Jan 29 15:03:48 2010	Austin, TX	Rain 	34	1015.7	97	8	42	20	NW	7:23	6:05	43
Fri Jan 29 15:03:48 2010	Washington, DC	Mostly Cloudy 	5	1030.5	34	10	0	17	NNW	7:17	5:26	20
Fri Jan 29 15:03:49 2010	San Francisco, CA	Cloudy 	48	1016.7	93	7	46	3	S	7:16	5:30	48
Fri Jan 29 15:03:50 2010	Oklahoma City, OK	Freezing Drizzle	25	*	83	3	21	*	*	7:32	5:55	25
Fri Jan 29 15:03:51 2010	Nashville, TN	Cloudy 	19	1026.5	51	10	15	10	NNE	6:50	5:10	28
Fri Jan 29 15:03:53 2010	Fort Worth, TX	Rain 	26	1017.1	89	10	33	18	NW	7:26	5:59	36
Fri Jan 29 15:03:54 2010	Phoenix, AZ	Partly Cloudy	51	1016.2	89	10	48	5	E	7:26	5:57	51
Fri Jan 29 15:03:55 2010	Portland, OR	Cloudy 	42	1015.5	66	10	36	12	ESE	7:35	5:13	47
Fri Jan 29 15:03:56 2010	Chicago, IL	Mostly Cloudy	-4	1035.8	54	10	-6	5	NW	7:06	5:02	5
Fri Jan 29 15:03:57 2010	San Antonio, TX	Rain 	40	1015.2	86	10	42	14	N	7:25	6:10	46
Fri Jan 29 15:03:58 2010	Indianapolis, IN	Cloudy 	2	1032.9	61	10	4	8	NNE	7:55	6:00	13
Fri Jan 29 15:04:00 2010	Jacksonville, FL	Cloudy 	52	1021.3	80	9	46	3	NNE	7:19	6:01	52
Fri Jan 29 15:04:01 2010	Worthington, OH	Mostly Sunny 	-2	1033.4	58	10	-1	7	N	7:44	5:48	9
Fri Jan 29 15:04:02 2010	Dallas, TX	Rain 	33	1016.4	93	6	37	8	N	7:24	5:57	39
Fri Jan 29 15:04:02 2010	Houston, TX	Cloudy 	59	*	94	7	57	15	NNW	7:13	5:57	59
Fri Jan 29 15:04:03 2010	Seattle, WA	Mostly Cloudy	45	1014.4	76	10	38	0	CALM	7:39	5:06	45
Fri Jan 29 15:04:04 2010	Milwaukee, WI	Partly Cloudy	-9	1035.2	53	10	-8	7	WNW	7:10	5:01	3
Fri Jan 29 15:04:05 2010	Detroit, MI	Mostly Sunny 	0	1033.2	61	10	-1	5	WNW	7:49	5:42	8
Fri Jan 29 15:04:06 2010	Philadelphia, PA	Mostly Sunny 	6	1028.4	42	10	1	9	WNW	7:12	5:16	17
Fri Jan 29 15:49:11 2010	San Jose, CA	Mostly Clear	45	1016.6	93	9	43	0	CALM	7:13	5:29	45
Fri Jan 29 15:49:12 2010	Charlotte, NC	Mostly Cloudy 	33	1025.0	45	10	18	6	NNE	7:25	5:49	38
Fri Jan 29 15:49:12 2010	San Diego, CA	Mostly Cloudy	52	1017.5	80	9	46	0	CALM	6:45	5:19	52
Fri Jan 29 15:49:13 2010	Edgewater, CO	Partly Cloudy	12	1021.7	85	4	16	5	SSW	7:11	5:17	19
Fri Jan 29 15:49:14 2010	Memphis, TN	Freezing Rain 	22	*	64	9	21	15	NE	7:01	5:26	32
Fri Jan 29 15:49:15 2010	Los Angeles, CA	Mostly Clear	50	1017.0	77	10	43	0	CALM	6:52	5:21	50
Fri Jan 29 15:49:16 2010	El Paso, TX	Cloudy 	21	1019.5	77	10	25	10	NNE	7:01	5:37	30
Fri Jan 29 15:49:17 2010	Manhattan, NY	Mostly Sunny 	1	1025.4	37	10	-2	15	WNW	7:09	5:10	16
Fri Jan 29 15:49:18 2010	Baltimore, MD	 	20	1029.6	32	999	-1	*	*	7:16	5:23	20
Fri Jan 29 15:49:19 2010	Las Vegas, NV	Mostly Clear	33	1017.4	83	10	32	5	SW	6:42	5:03	37
Fri Jan 29 15:49:20 2010	Washington, DC	Mostly Cloudy 	5	1030.5	34	10	0	17	NNW	7:17	5:26	20
Fri Jan 29 15:49:21 2010	Austin, TX	Rain 	34	1015.7	97	8	42	20	NW	7:23	6:05	43
Fri Jan 29 15:49:22 2010	San Francisco, CA	Cloudy 	48	1016.7	93	7	46	3	S	7:16	5:30	48
Fri Jan 29 15:49:23 2010	Oklahoma City, OK	Freezing Drizzle	25	*	83	3	21	*	*	7:32	5:55	25
Fri Jan 29 15:49:24 2010	Nashville, TN	Cloudy 	19	1026.5	51	10	15	10	NNE	6:50	5:10	28
Fri Jan 29 15:49:25 2010	Fort Worth, TX	Rain 	26	1017.1	89	10	33	18	NW	7:26	5:59	36
