5	www.nytimes.com							
(Timestamp)	(Location)	(Temperature) (°F °C)	(Conditions)	Humidity (%)	Barometer (in)	Visibility (mi)	(Wind Speed) (mph)	Wind
Fri Jan 29 08:49:09 2010	Houston	64 18 	Light Rain	93	29.88	9	12	SE
Fri Jan 29 08:49:10 2010	Seattle	49 9 	Mostly Cloudy	51	30.01	10	0	CLM
Fri Jan 29 08:49:11 2010	Milwaukee	17-Jan	Clear	50	30.53	10	3	WNW
Fri Jan 29 08:49:12 2010	Detroit	13-Aug	Clear	63	30.51	10	7	WNW
Fri Jan 29 08:49:13 2010	Philadelphia	18 -8 	Clear	41	30.3	10	15	WNW
Fri Jan 29 09:32:18 2010	Charlotte	41 5 	Clear	52	30.2	10	5	NE
Fri Jan 29 09:32:18 2010	San Jose	46 8 		90	30.04	7	2	ESE
Fri Jan 29 09:32:19 2010	San Diego	51 11 	Clear	85	30.06	5	0	CLM
Fri Jan 29 09:32:20 2010	Denver	25 -4 	Partly Cloudy	92	30.17	6	0	CLM
Fri Jan 29 09:32:21 2010	Los Angeles	50 10 	Clear	71	30.03	10	0	CLM
Fri Jan 29 09:32:21 2010	Memphis	32 0 	Cloudy	66	30.3	10	14	ENE
Fri Jan 29 11:20:48 2010	New York	17 -8 	Clear	42	30.26	10	8	WNW
Fri Jan 29 11:20:49 2010	Baltimore	19 -7 		43	30.38	10	6	NW
Fri Jan 29 11:20:49 2010	Las Vegas	45 7 	Mostly Clear	62	30.06	10	3	ESE
Fri Jan 29 11:20:50 2010	Washington	21 -6 	Cloudy	41	30.4	10	14	NNW
Fri Jan 29 11:20:51 2010	Austin	48 9 	Thunderstorm	93	29.97	10	25	NNW
Fri Jan 29 11:20:52 2010	San Francisco	48 9 	Cloudy	91	30.04	7	3	E
Fri Jan 29 11:20:55 2010	Oklahoma City	26 -3 	Freezing Drizzle	84	30.16	3	10	NNE
Fri Jan 29 11:20:56 2010	Nashville	28 -2 	Cloudy	58	30.36	10	8	N
Fri Jan 29 11:20:57 2010	Fort Worth	41 5 	Light Rain	92	29.98	7	12	NE
Fri Jan 29 11:20:58 2010	Phoenix	51 11 	Cloudy	89	30.05	10	3	ENE
Fri Jan 29 11:20:58 2010	Portland	46 8 	Mostly Cloudy	67	29.96	10	23	E
Fri Jan 29 11:20:59 2010	Chicago	14-Jul		52	30.58	10	7	NNW
Fri Jan 29 11:21:00 2010	San Antonio	49 9 	Cloudy	89	29.88	8	14	NNW
Fri Jan 29 11:21:01 2010	Indianapolis	12-Oct	Cloudy	78	30.46	10	3	N
Fri Jan 29 11:21:02 2010	Boston	14 -10 	Clear	40	29.97	10	28	W
Fri Jan 29 11:21:02 2010	Jacksonville	45 7 	Clear	85	30.19	10	6	NNW
Fri Jan 29 11:21:03 2010	Columbus	12-Oct	Mostly Clear	61	30.51	10	6	NNW
Fri Jan 29 11:21:04 2010	Dallas	41 5 	Rain	92	30	6	8	NE
Fri Jan 29 11:21:05 2010	Houston	66 19 	Cloudy	93	29.8	8	14	S
Fri Jan 29 11:21:05 2010	Seattle	49 9 	Partly Cloudy	49	29.97	10	8	SE
Fri Jan 29 11:21:06 2010	Milwaukee	17-Jan	Partly Cloudy	55	30.52	10	6	W
Fri Jan 29 11:21:07 2010	Detroit	14-Jul	Clear	69	30.5	10	7	W
Fri Jan 29 11:21:08 2010	Philadelphia	17 -8 	Clear	42	30.34	10	12	NW
Fri Jan 29 12:05:27 2010	San Jose	45 7 	Mostly Cloudy	90	30.03	6	3	NNE
Fri Jan 29 12:05:28 2010	Charlotte	41 5 	Cloudy	42	30.21	10	8	NE
Fri Jan 29 12:05:28 2010	San Diego	50 10 	Cloudy	89	30.05	4	3	E
Fri Jan 29 12:05:29 2010	Denver	25 -4 	Dense Fog	86	30.08	0	5	W
Fri Jan 29 12:05:30 2010	Memphis	32 0 	Cloudy	63	30.25	10	18	ENE
Fri Jan 29 12:05:31 2010	Los Angeles	50 10 	Mostly Clear	60	30.02	10	0	CLM
Fri Jan 29 12:05:32 2010	El Paso	30 -1 	Light Snow	80	30.12	6	13	N
Fri Jan 29 12:05:33 2010	Baltimore	19 -7 		43	30.38	10	6	NW
Fri Jan 29 12:05:33 2010	New York	17 -8 	Clear	42	30.26	10	8	WNW
Fri Jan 29 12:05:34 2010	Las Vegas	45 7 	Mostly Clear	62	30.06	10	3	ESE
Fri Jan 29 12:05:35 2010	Washington	21 -6 	Cloudy	41	30.4	10	14	NNW
Fri Jan 29 12:05:36 2010	Austin	46 8 	Cloudy	87	29.97	10	22	N
Fri Jan 29 12:05:37 2010	Oklahoma City	26 -3 	Light Snow	86	30.16	3	14	NNE
Fri Jan 29 12:05:37 2010	San Francisco	47 8 	Cloudy	92	30.04	6	3	S
Fri Jan 29 12:05:38 2010	Nashville	28 -2 	Cloudy	58	30.36	10	8	N
Fri Jan 29 12:05:39 2010	Fort Worth	41 5 	Light Rain	93	30.02	10	5	NNE
Fri Jan 29 12:05:40 2010	Phoenix	51 11 	Cloudy	89	30.05	10	3	ENE
Fri Jan 29 12:05:41 2010	Chicago	14-Jul		52	30.58	10	7	NNW
Fri Jan 29 12:05:41 2010	Portland	46 8 	Cloudy	67	29.96	10	23	E
Fri Jan 29 12:05:42 2010	San Antonio	49 9 	Cloudy	89	29.88	8	14	NNW
Fri Jan 29 12:05:43 2010	Indianapolis	12-Oct	Cloudy	78	30.46	10	0	CLM
Fri Jan 29 12:05:44 2010	Boston	14 -10 	Clear	40	29.97	10	28	W
Fri Jan 29 12:05:45 2010	Columbus	12-Oct		61	30.51	10	6	NNW
Fri Jan 29 12:05:45 2010	Jacksonville	45 7 	Cloudy	85	30.19	10	6	NNW
Fri Jan 29 12:05:46 2010	Dallas	41 5 	Rain	93	30.01	6	8	ENE
Fri Jan 29 12:05:47 2010	Houston	66 19 	Cloudy	93	29.8	8	14	S
Fri Jan 29 12:05:48 2010	Seattle	49 9 	Cloudy	49	29.97	10	8	SE
Fri Jan 29 12:05:49 2010	Milwaukee	17-Jan	Mostly Clear	55	30.52	10	6	W
Fri Jan 29 12:05:50 2010	Detroit	14-Jul	Mostly Clear	69	30.5	10	7	W
Fri Jan 29 12:05:50 2010	Philadelphia	17 -8 	Clear	42	30.34	10	12	NW
Fri Jan 29 12:52:00 2010	San Jose	45 7 	Mostly Cloudy	90	30.03	7	2	SE
Fri Jan 29 12:52:01 2010	Charlotte	40 4 	Cloudy	41	30.22	10	8	NE
Fri Jan 29 12:52:01 2010	San Diego	49 9 	Clear	89	30.03	7	6	E
Fri Jan 29 12:52:02 2010	Denver	23 -5 	Dense Fog	95	30.13	0	6	W
Fri Jan 29 12:52:03 2010	Memphis	32 0 	Cloudy	63	30.22	10	18	ENE
Fri Jan 29 12:52:04 2010	Los Angeles	46 8 	Clear	76	30.02	10	3	N
Fri Jan 29 12:52:05 2010	El Paso	30 -1 	Cloudy	85	30.12	7	10	N
Fri Jan 29 12:52:05 2010	New York	17 -8 	Clear	45	30.25	10	10	W
Fri Jan 29 12:52:06 2010	Baltimore	18 -8 	Mostly Cloudy	45	30.39	10	8	NNW
Fri Jan 29 12:52:07 2010	Las Vegas	42 6 		70	30.06	10	0	CLM
Fri Jan 29 12:52:08 2010	Washington	20 -7 		41	30.41	10	14	NNW
Fri Jan 29 12:52:09 2010	Austin	43 6 	Rain	93	29.97	5	21	NNW
Fri Jan 29 12:52:09 2010	San Francisco	48 9 		90	30.05	6	2	NNE
Fri Jan 29 12:52:10 2010	Oklahoma City	25 -4 	Light Freezing Drizzle	88	30.16	4	15	NNE
Fri Jan 29 12:52:11 2010	Nashville	28 -2 	Cloudy	58	30.36	10	12	N
Fri Jan 29 12:52:12 2010	Fort Worth	41 5 	Light Rain	88	30	10	9	NE
Fri Jan 29 12:52:13 2010	Phoenix	51 11 	Cloudy	89	30.01	10	0	CLM
Fri Jan 29 12:52:14 2010	Chicago	14-Jun		54	30.6	10	7	NW
Fri Jan 29 12:52:14 2010	Portland	46 8 	Mostly Cloudy	67	29.97	10	22	E
Fri Jan 29 12:52:15 2010	San Antonio	46 8 	Rain	88	29.91	5	18	NNW
Fri Jan 29 12:52:16 2010	Indianapolis	12-Oct	Cloudy	78	30.47	10	7	N
Fri Jan 29 12:52:17 2010	Boston	14 -10 	Clear	40	30	10	22	W
Fri Jan 29 12:52:18 2010	Columbus	12-Oct	Cloudy	61	30.5	10	6	NNW
Fri Jan 29 12:52:18 2010	Jacksonville	47 8 	Cloudy	83	30.18	10	0	CLM
Fri Jan 29 12:52:19 2010	Dallas	41 5 	Rain	92	30.01	6	9	NE
Fri Jan 29 12:52:20 2010	Houston	66 19 	Light Rain	93	29.8	8	15	S
Fri Jan 29 12:52:21 2010	Seattle	49 9 	Clear	47	29.97	10	3	N
Fri Jan 29 12:52:22 2010	Detroit	14-Jul	Partly Cloudy	69	30.51	10	6	WNW
Fri Jan 29 12:52:22 2010	Milwaukee	0 -18 	Mostly Clear	60	30.52	10	5	WNW
Fri Jan 29 12:52:23 2010	Philadelphia	17 -8 	Clear	45	30.35	10	7	WNW
Fri Jan 29 13:40:35 2010	San Jose	45 7 		90	30.03	7	2	ENE
Fri Jan 29 13:40:36 2010	Charlotte	38 3 	Partly Cloudy	40	30.25	10	7	ENE
Fri Jan 29 13:40:37 2010	Denver	19 -7 	Dense Fog	92	30.06	0	0	CLM
Fri Jan 29 13:40:37 2010	San Diego	50 10 	Clear	82	30.03	10	3	ESE
Fri Jan 29 13:40:38 2010	Memphis	32 0 	Cloudy	63	30.24	10	13	ENE
Fri Jan 29 13:40:39 2010	Los Angeles	46 8 	Clear	73	30.02	10	0	CLM
Fri Jan 29 13:40:40 2010	El Paso	30 -1 	Cloudy	85	30.13	10	9	N
Fri Jan 29 13:40:41 2010	New York	16 -9 	Clear	44	30.26	10	16	WNW
Fri Jan 29 13:40:42 2010	Baltimore	18 -8 		47	30.41	10	9	NW
Fri Jan 29 13:40:42 2010	Las Vegas	42 6 		70	30.06	10	3	SSW
Fri Jan 29 13:40:43 2010	Washington	20 -7 		41	30.44	10	16	NNW
Fri Jan 29 13:40:44 2010	Austin	41 5 	Heavy Rain	93	29.99	2	18	NNW
Fri Jan 29 13:40:45 2010	San Francisco	48 9 	Mostly Cloudy	92	30.05	7	3	ENE
Fri Jan 29 13:40:46 2010	Nashville	28 -2 	Cloudy	58	30.33	10	10	NNE
Fri Jan 29 13:40:46 2010	Oklahoma City	25 -4 	Light Freezing Drizzle	84	30.14	5	10	N
Fri Jan 29 13:40:47 2010	Fort Worth	39 4 	Rain	92	30	7	10	N
Fri Jan 29 13:40:48 2010	Phoenix	51 11 	Cloudy	85	30.01	10	3	ENE
Fri Jan 29 13:40:49 2010	Portland	46 8 	Mostly Cloudy	67	29.99	10	20	E
Fri Jan 29 13:40:50 2010	Chicago	14-Jun	Cloudy	52	30.6	10	8	NW
Fri Jan 29 13:40:50 2010	San Antonio	45 7 	Light Rain	89	29.95	10	14	NNW
Fri Jan 29 13:40:51 2010	Indianapolis	11-Dec	Cloudy	67	30.47	10	3	N
Fri Jan 29 13:40:52 2010	Boston	13 -11 	Clear	42	30.01	10	26	W
Fri Jan 29 13:40:53 2010	Jacksonville	48 9 	Cloudy	79	30.18	10	0	CLM
Fri Jan 29 13:40:54 2010	Columbus	12-Oct	Cloudy	61	30.52	10	6	N
Fri Jan 29 13:40:54 2010	Dallas	39 4 	Rain	93	30.01	7	10	N
Fri Jan 29 13:40:55 2010	Houston	64 18 	Thunderstorm	96	29.79	5	8	WSW
Fri Jan 29 13:40:56 2010	Seattle	48 9 	Mostly Cloudy	49	29.95	10	9	ESE
Fri Jan 29 13:40:57 2010	Milwaukee	16-Mar	Mostly Clear	57	30.52	10	7	WNW
Fri Jan 29 13:40:58 2010	Detroit	12-Oct	Cloudy	61	30.48	10	7	W
Fri Jan 29 13:40:58 2010	Philadelphia	16 -9 	Clear	49	30.36	10	10	WNW
Fri Jan 29 14:25:08 2010	San Jose	44 7 		90	30.03	6	3	ENE
Fri Jan 29 14:25:09 2010	Charlotte	38 3 	Cloudy	44	30.28	10	6	NNE
Fri Jan 29 14:25:09 2010	San Diego	49 9 	Clear	86	30.03	9	0	CLM
Fri Jan 29 14:25:10 2010	Denver	20 -7 	Dense Fog	91	30.14	0	5	WSW
Fri Jan 29 14:25:11 2010	Memphis	32 0 	Freezing Rain	64	30.25	9	15	NE
Fri Jan 29 14:25:12 2010	Los Angeles	45 7 	Clear	73	30.01	10	0	CLM
Fri Jan 29 14:25:13 2010	El Paso	30 -1 	Cloudy	81	30.11	10	10	NNE
Fri Jan 29 14:25:13 2010	New York	16 -9 	Sunny	44	30.29	10	15	WNW
Fri Jan 29 14:25:14 2010	Baltimore	18 -8 	Mostly Cloudy	51	30.42	10	9	WNW
Fri Jan 29 14:25:15 2010	Las Vegas	42 6 		70	30.06	10	0	CLM
Fri Jan 29 14:25:16 2010	Washington	20 -7 	Mostly Cloudy	41	30.45	10	17	NNW
Fri Jan 29 14:25:17 2010	Austin	41 5 	Heavy Rain	100	30.02	2	17	NW
Fri Jan 29 14:25:17 2010	San Francisco	48 9 	Mostly Cloudy	92	30.04	7	3	NNE
Fri Jan 29 14:25:18 2010	Oklahoma City	25 -4 	Freezing Drizzle	86	30.13	3	16	NW
Fri Jan 29 14:25:19 2010	Nashville	28 -2 	Cloudy	58	30.33	10	10	NNE
Fri Jan 29 14:25:20 2010	Fort Worth	39 4 	Light Rain	88	30.01	7	12	N
Fri Jan 29 14:25:21 2010	Phoenix	50 10 	Clear	89	30.01	9	5	E
Fri Jan 29 14:25:21 2010	Portland	46 8 	Partly Cloudy	67	30.01	10	22	E
Fri Jan 29 14:25:22 2010	Chicago	15-May		60	30.6	10	5	NW
Fri Jan 29 14:25:23 2010	San Antonio	43 6 	Light Rain	92	29.98	10	21	NNW
Fri Jan 29 14:25:24 2010	Indianapolis	11-Dec	Cloudy	72	30.48	10	0	CLM
Fri Jan 29 14:25:25 2010	Boston	13 -11 	Sunny	42	30.02	10	24	W
Fri Jan 29 14:25:25 2010	Jacksonville	49 9 	Mostly Cloudy	83	30.18	10	0	CLM
Fri Jan 29 14:25:26 2010	Columbus	12-Nov	Cloudy	55	30.53	10	8	NNE
Fri Jan 29 14:25:27 2010	Dallas	39 4 	Rain	92	30.02	6	8	N
Fri Jan 29 14:25:28 2010	Houston	62 17 	Thunderstorm	89	29.82	5	16	NNW
Fri Jan 29 14:25:29 2010	Milwaukee	0 -18 	Clear	60	30.54	10	3	W
Fri Jan 29 14:25:29 2010	Seattle	49 9 	Mostly Cloudy	47	29.97	10	5	S
Fri Jan 29 14:25:30 2010	Detroit	12-Oct	Cloudy	63	30.53	10	7	WNW
Fri Jan 29 14:25:31 2010	Philadelphia	17 -8 	Sunny	49	30.38	10	9	WNW
Fri Jan 29 15:11:13 2010	San Jose	44 7 	Cloudy	91	30.03	6	3	NNE
Fri Jan 29 15:11:14 2010	Charlotte	38 3 	Cloudy	44	30.28	10	6	NNE
Fri Jan 29 15:11:15 2010	San Diego	49 9 	Mostly Clear	86	30.03	9	0	CLM
Fri Jan 29 15:11:16 2010	Denver	20 -7 	Dense Fog	91	30.14	0	5	WSW
Fri Jan 29 15:11:16 2010	Memphis	32 0 	Freezing Rain	64	30.25	9	15	NE
Fri Jan 29 15:11:17 2010	Los Angeles	45 7 	Mostly Clear	73	30.01	10	0	CLM
Fri Jan 29 15:11:18 2010	El Paso	30 -1 	Cloudy	81	30.11	10	10	NNE
Fri Jan 29 15:11:19 2010	New York	16 -9 	Sunny	44	30.29	10	15	WNW
Fri Jan 29 15:11:20 2010	Baltimore	18 -8 	Mostly Cloudy	51	30.42	10	9	WNW
Fri Jan 29 15:11:20 2010	Las Vegas	42 6 		70	30.06	10	0	CLM
Fri Jan 29 15:11:21 2010	Washington	20 -7 	Mostly Cloudy	41	30.45	10	17	NNW
Fri Jan 29 15:11:22 2010	Austin	41 5 	Rain	93	30.02	2	21	NNW
Fri Jan 29 15:11:23 2010	San Francisco	48 9 	Cloudy	92	30.04	7	3	ESE
Fri Jan 29 15:11:24 2010	Nashville	28 -2 	Cloudy	58	30.33	10	10	NNE
Fri Jan 29 15:11:24 2010	Oklahoma City	25 -4 	Freezing Drizzle	86	30.13	2	9	NNE
Fri Jan 29 15:11:25 2010	Fort Worth	37 3 	Light Rain	93	30.03	8	13	N
Fri Jan 29 15:11:26 2010	Phoenix	50 10 	Clear	89	30.01	9	5	E
Fri Jan 29 15:11:27 2010	Portland	46 8 	Cloudy	67	30.01	10	22	E
Fri Jan 29 15:11:28 2010	Chicago	15-May		60	30.6	10	5	NW
Fri Jan 29 15:11:28 2010	San Antonio	41 5 	Heavy Rain	86	30.05	4	14	NNW
Fri Jan 29 15:11:29 2010	Indianapolis	11-Dec	Cloudy	72	30.47	10	5	NNE
Fri Jan 29 15:11:30 2010	Boston	13 -11 	Sunny	42	30.02	10	24	W
Fri Jan 29 15:11:31 2010	Jacksonville	52 11 	Light Rain	76	31.21	8	0	CLM
Fri Jan 29 15:11:32 2010	Columbus	12-Nov	Cloudy	55	30.53	10	8	NNE
Fri Jan 29 15:11:32 2010	Dallas	37 3 	Rain	93	30.04	6	8	NNE
Fri Jan 29 15:11:33 2010	Houston	59 15 	Rain	87	29.83	7	12	NW
Fri Jan 29 15:11:34 2010	Seattle	49 9 	Cloudy	47	29.97	10	5	S
Fri Jan 29 15:11:35 2010	Milwaukee	0 -18 	Clear	60	30.54	10	3	W
Fri Jan 29 15:11:36 2010	Detroit	12-Oct	Cloudy	63	30.53	10	7	WNW
Fri Jan 29 15:11:36 2010	Philadelphia	17 -8 	Sunny	49	30.38	10	9	WNW
Fri Jan 29 15:58:15 2010	San Jose	45 7 	Cloudy	90	30.02	6	3	NE
Fri Jan 29 15:58:16 2010	Charlotte	39 4 	Cloudy	40	30.29	10	12	ENE
Fri Jan 29 15:58:17 2010	San Diego	47 8 	Cloudy	86	30.03	10	3	ENE
Fri Jan 29 15:58:18 2010	Denver	19 -7 	Dense Fog	92	30.06	0	0	CLM
Fri Jan 29 15:58:18 2010	Memphis	30 -1 		80	30.25	8	15	ENE
Fri Jan 29 15:58:19 2010	Los Angeles	44 7 	Partly Cloudy	76	30.03	10	3	WNW
Fri Jan 29 15:58:20 2010	El Paso	30 -1 	Mostly Cloudy	80	30.15	10	7	N
Fri Jan 29 15:58:21 2010	New York	16 -9 	Sunny	44	30.3	10	17	WNW
Fri Jan 29 15:58:22 2010	Baltimore	19 -7 	Cloudy	47	30.43	10	8	NW
Fri Jan 29 15:58:23 2010	Las Vegas	41 5 		73	30.06	10	3	WSW
Fri Jan 29 15:58:23 2010	Washington	21 -6 	Cloudy	41	30.46	10	16	NNW
Fri Jan 29 15:58:24 2010	Austin	39 4 	Rain	100	30.06	5	18	NW
Fri Jan 29 15:58:25 2010	San Francisco	48 9 	Cloudy	92	30.02	6	3	NE
Fri Jan 29 15:58:26 2010	Oklahoma City	25 -4 	Light Snow/Fog	84	30.15	1	14	NNE
Fri Jan 29 15:58:27 2010	Nashville	28 -2 	Light Snow	55	30.36	9	10	NE
Fri Jan 29 15:58:28 2010	Fort Worth	37 3 	Light Rain	93	30.06	10	10	N
Fri Jan 29 15:58:28 2010	Phoenix	49 9 	Clear	89	30.02	7	3	ENE
Fri Jan 29 15:58:29 2010	Portland	45 7 	Cloudy	70	29.99	10	24	E
Fri Jan 29 15:58:30 2010	Chicago	14-Jun		57	30.61	10	5	WNW
Fri Jan 29 15:58:31 2010	San Antonio	41 5 	Rain	92	30.03	4	14	NNW
Fri Jan 29 15:58:32 2010	Boston	14 -10 	Sunny	38	30.03	10	25	W
Fri Jan 29 15:58:32 2010	Indianapolis	11-Dec	Cloudy	85	30.47	10	6	NE
Fri Jan 29 15:58:33 2010	Jacksonville	54 12 	Mostly Cloudy	76	30.21	10	0	CLM
Fri Jan 29 15:58:34 2010	Columbus	12-Nov	Cloudy	53	30.53	10	7	N
Fri Jan 29 15:58:35 2010	Dallas	37 3 	Rain	93	30.07	6	9	NNW
Fri Jan 29 15:58:36 2010	Houston	57 14 	Light Rain	93	29.87	8	13	NW
Fri Jan 29 15:58:36 2010	Seattle	50 10 	Cloudy	46	29.97	10	5	N
Fri Jan 29 15:58:37 2010	Milwaukee	0 -18 	Sunny	60	30.53	10	7	NW
Fri Jan 29 15:58:38 2010	Detroit	11-Dec	Cloudy	61	30.53	10	12	NNW
Fri Jan 29 15:58:39 2010	Philadelphia	18 -8 	Mostly Sunny	47	30.39	10	12	WNW
Fri Jan 29 16:42:52 2010	Charlotte	40 4 	Cloudy	36	30.29	10	10	E
Fri Jan 29 16:42:52 2010	San Jose	46 8 	Cloudy	93	30.03	10	0	CLM
Fri Jan 29 16:42:53 2010	San Diego	49 9 	Sunny	83	30.04	8	0	CLM
Fri Jan 29 16:42:54 2010	Denver	20 -7 	Dense Fog	91	30.15	0	5	SSW
Fri Jan 29 16:42:55 2010	Memphis	30 -1 		80	30.3	2	12	ENE
Fri Jan 29 16:42:56 2010	El Paso	31 -1 	Mostly Cloudy	75	30.15	10	0	CLM
Fri Jan 29 16:42:56 2010	Los Angeles	45 7 	Sunny	70	30.03	10	0	CLM
Fri Jan 29 16:42:57 2010	New York	18 -8 	Sunny	37	30.31	10	13	WNW
Fri Jan 29 16:42:58 2010	Baltimore	20 -7 	Cloudy	43	30.45	10	14	NW
Fri Jan 29 16:42:59 2010	Las Vegas	42 6 		70	30.07	10	5	SW
Fri Jan 29 16:43:00 2010	Austin	39 4 	Rain	93	30.07	3	22	NW
Fri Jan 29 16:43:00 2010	Washington	22 -6 	Cloudy	41	30.47	10	15	NNW
Fri Jan 29 16:43:01 2010	San Francisco	48 9 	Cloudy	91	30.03	6	3	S
Fri Jan 29 16:43:02 2010	Oklahoma City	24 -4 	Light Snow/Fog	84	30.15	1	17	N
Fri Jan 29 16:43:03 2010	Nashville	25 -4 	Snow	79	30.37	1	10	NNE
Fri Jan 29 16:43:04 2010	Fort Worth	37 3 	Rain	93	30.08	5	8	NNW
Fri Jan 29 16:43:04 2010	Phoenix	48 9 	Partly Sunny	92	30.03	4	0	CLM
Fri Jan 29 16:43:05 2010	Portland	46 8 	Mostly Cloudy	67	29.97	10	23	E
Fri Jan 29 16:43:06 2010	Chicago	13-Sep		55	30.59	10	5	N
Fri Jan 29 16:43:07 2010	San Antonio	42 6 	Light Rain	85	30.03	8	17	NNW
Fri Jan 29 16:43:08 2010	Boston	15 -9 	Sunny	36	30.05	10	25	W
Fri Jan 29 16:43:08 2010	Indianapolis	14 -10 	Cloudy	78	30.5	10	5	NE
Fri Jan 29 16:43:09 2010	Jacksonville	54 12 	Cloudy	77	30.21	10	3	ENE
Fri Jan 29 16:43:10 2010	Columbus	11-Dec	Cloudy	53	30.53	10	8	N
Fri Jan 29 16:43:11 2010	Dallas	37 3 	Rain	93	30.09	6	7	NNW
Fri Jan 29 16:43:12 2010	Houston	57 14 	Light Rain	89	29.91	10	18	NW
Fri Jan 29 16:43:13 2010	Milwaukee	17-Jan	Sunny	60	30.52	10	5	NNW
Fri Jan 29 16:43:13 2010	Seattle	49 9 	Cloudy	47	29.97	10	7	ESE
Fri Jan 29 16:43:14 2010	Detroit	14 -10 	Mostly Cloudy	56	30.53	10	8	N
Fri Jan 29 16:43:15 2010	Philadelphia	19 -7 		45	30.4	10	15	WNW
Fri Jan 29 17:31:13 2010	San Jose	46 8 	Cloudy	87	30.02	10	0	CLM
Fri Jan 29 17:31:14 2010	Charlotte	41 5 	Cloudy	33	30.3	10	12	ENE
Fri Jan 29 17:31:15 2010	San Diego	50 10 	Sunny	82	30.06	10	3	NE
Fri Jan 29 17:31:16 2010	Denver	25 -4 	Dense Fog	92	30.14	0	5	SW
Fri Jan 29 17:31:17 2010	Los Angeles	47 8 	Sunny	68	30.04	10	3	WSW
Fri Jan 29 17:31:17 2010	Memphis	30 -1 		86	30.26	2	12	ENE
Fri Jan 29 17:31:18 2010	El Paso	32 0 	Cloudy	72	30.17	10	3	NNE
Fri Jan 29 17:31:19 2010	New York	19 -7 	Sunny	35	30.29	10	15	WNW
Fri Jan 29 17:31:20 2010	Baltimore	21 -6 	Cloudy	41	30.42	10	10	NW
Fri Jan 29 17:31:21 2010	Las Vegas	42 6 		70	30.08	10	3	W
Fri Jan 29 17:31:21 2010	Washington	21 -6 	Cloudy	43	30.46	10	14	NNW
Fri Jan 29 17:31:22 2010	Austin	39 4 	Light Rain	93	30.07	9	18	NNW
Fri Jan 29 17:31:23 2010	San Francisco	48 9 	Cloudy	92	30.04	6	3	SSW
Fri Jan 29 17:31:24 2010	Oklahoma City	24 -4 	Light Snow/Fog	84	30.18	1	12	N
Fri Jan 29 17:31:25 2010	Fort Worth	37 3 	Light Rain	93	30.08	10	15	NW
Fri Jan 29 17:31:25 2010	Nashville	25 -4 	Light Snow/Fog	84	30.39	1	9	NNE
Fri Jan 29 17:31:26 2010	Phoenix	51 11 	Partly Sunny	85	30.06	7	0	CLM
Fri Jan 29 17:31:27 2010	Portland	45 7 	Mostly Cloudy	70	29.98	10	23	E
Fri Jan 29 17:31:28 2010	Chicago	12-Nov		55	30.61	10	0	CLM
