17	www.findlocalweather.com									
(Timestamp)	(Location)	(Conditions)	Temp (°F)	Humidity (%)	(Wind Direction)	Wind Speed (mph)	Barometer (in.)	Dewpoint (°F)	Heat Index (°F) 	Wind Chill (°F)
Fri Jan 29 09:20:23 2010	 San Antonio TX 	Overcast	61	83	N	16	29.85	55	61	59
Fri Jan 29 09:20:24 2010	 Indianapolis IN 	Partly Cloudy	10	67	N	3	30.45	1	10	5
Fri Jan 29 09:20:25 2010	 Boston MA 	Clear	16	37	WNW	26	29.97	-6	16	-2
Fri Jan 29 09:20:26 2010	 Jacksonville FL 	Partly Cloudy	48	82	N	5	30.18	43	48	47
Fri Jan 29 09:20:28 2010	 Columbus OH 	Partly Cloudy	10	67	N	7	30.42	1	10	1
Fri Jan 29 09:20:29 2010	 Dallas TX 	Light Rain	43	87	NNE	5	30.03	39	43	40
Fri Jan 29 09:20:30 2010	 Houston TX 	Overcast	64	94	SSE	15	29.83	63	64	63
Fri Jan 29 09:20:31 2010	 Seattle WA 	Clear	46	62	N/A		30	34	46	46
Fri Jan 29 09:20:32 2010	 Milwaukee WI 	Partly Cloudy	3	55	NW	7	30.53	-9	3	-8
Fri Jan 29 09:20:33 2010	 Detroit MI 	Clear	9	61	WNW	6	30.45	-2	9	N/A
Fri Jan 29 09:20:34 2010	 Philadelphia PA 	Clear	19	32	NW	18	30.3	-6	19	5
Fri Jan 29 11:52:01 2010	 San Jose CA 	Clear	46	93	N/A		30.03	45	46	46
Fri Jan 29 11:52:02 2010	 Charlotte NC 	Clear	41	42	NE	8	30.21	19	41	36
Fri Jan 29 11:52:03 2010	 San Diego CA 	Hazy	54	82	N/A		30.06	48	54	54
Fri Jan 29 11:52:05 2010	 Denver CO 	Mostly Cloudy	27	100	N/A		30.06	27	27	27
Fri Jan 29 11:52:06 2010	 Memphis TN 	Overcast	32	64	ENE	18	30.24	21	32	21
Fri Jan 29 11:52:07 2010	 Los Angeles CA 	Clear	54	72	N/A		30.06	45	54	54
Fri Jan 29 11:52:08 2010	 El Paso TX 	Light Snow	30	80	N	13	30.12	25	30	21
Fri Jan 29 11:52:09 2010	 New York City NY 	Clear	18	41	WNW	8	30.27	-2	18	8
Fri Jan 29 11:52:10 2010	 Baltimore MD 	Fair	21	38	N/A		30.36	N/A	21	21
Fri Jan 29 11:52:11 2010	 Las Vegas NV 	Clear	45	57	NNW	10	30.09	30	45	40
Fri Jan 29 11:52:12 2010	 Washington DC 	Overcast	21	42	NNW	14	30.39	1	21	9
Fri Jan 29 11:52:13 2010	 Austin TX 	Light Rain	46	93	NNW	13	29.97	45	46	41
Fri Jan 29 11:52:14 2010	 San Francisco CA 	Mostly Cloudy	46	87	NE	3	30.03	43	46	46
Fri Jan 29 11:52:15 2010	 Oklahoma City OK 	Freezing Drizzle	27	80	NNE	10	30.12	21	27	18
Fri Jan 29 11:52:16 2010	 Nashville TN 	Overcast	28	59	N	8	30.33	16	28	21
Fri Jan 29 11:52:17 2010	 Fort Worth TX 	Light Rain	39	93	N/A		30.03	37	39	39
Fri Jan 29 11:52:18 2010	 Phoenix AZ 	Mostly Cloudy	54	82	E	7	30.03	48	54	52
Fri Jan 29 11:52:19 2010	 Portland OR 	Overcast	46	66	NE	6	29.94	36	46	44
Fri Jan 29 11:52:20 2010	 Chicago IL 	Mostly Cloudy	7	51	NNW	7	30.5	-8	7	-4
Fri Jan 29 11:52:20 2010	 San Antonio TX 	Light Rain	52	82	N	14	29.91	46	52	48
Fri Jan 29 11:52:21 2010	 Indianapolis IN 	Overcast	10	72	Variable	5	30.42	3	10	3
Fri Jan 29 11:52:23 2010	 Boston MA 	Clear	14	41	W	28	29.97	-6	14	-5
Fri Jan 29 11:52:24 2010	 Jacksonville FL 	Mostly Cloudy	48	82	NW	3	30.18	43	48	47
Fri Jan 29 11:52:25 2010	 Columbus OH 	Partly Cloudy	10	61	NNW	6	30.45	N/A	10	2
Fri Jan 29 11:52:26 2010	 Dallas TX 	Light Rain	41	93	ENE	8	30	39	41	36
Fri Jan 29 11:52:28 2010	 Houston TX 	Overcast	66	94	S	14	29.8	64	66	66
Fri Jan 29 11:52:29 2010	 Seattle WA 	Clear	45	66	N/A		29.97	34	45	45
Fri Jan 29 11:52:30 2010	 Milwaukee WI 	Partly Cloudy	3	55	NW	8	30.5	-9	3	-9
Fri Jan 29 11:52:30 2010	 Detroit MI 	Clear	7	72	W	6	30.42	N/A	7	-2
Fri Jan 29 11:52:31 2010	 Philadelphia PA 	Clear	18	41	NW	15	30.33	-2	18	4
Fri Jan 29 12:36:39 2010	 San Jose CA 	Clear	46	87	N/A		30.03	43	46	46
Fri Jan 29 12:36:40 2010	 Charlotte NC 	Clear	39	42	NE	8	30.21	18	39	34
Fri Jan 29 12:36:41 2010	 San Diego CA 	Mostly Cloudy	54	77	N/A		30.06	46	54	54
Fri Jan 29 12:36:42 2010	 Denver CO 	Mostly Cloudy	25	100	SSW	2	30.03	25	25	23
Fri Jan 29 12:36:43 2010	 Memphis TN 	Overcast	32	64	ENE	18	30.21	21	32	21
Fri Jan 29 12:36:44 2010	 Los Angeles CA 	Clear	52	77	N/A		30.03	45	52	52
Fri Jan 29 12:36:45 2010	 El Paso TX 	Overcast	30	86	N	10	30.12	27	30	22
Fri Jan 29 12:36:46 2010	 New York City NY 	Clear	18	45	W	10	30.27	N/A	18	7
Fri Jan 29 12:36:47 2010	 Baltimore MD 	Fair	19	42	N/A		30.39	N/A	19	19
Fri Jan 29 12:36:48 2010	 Las Vegas NV 	Clear	43	66	NW	7	30.09	32	43	39
Fri Jan 29 12:36:49 2010	 Washington DC 	Mostly Cloudy	19	42	NNW	14	30.39	N/A	19	7
Fri Jan 29 12:36:50 2010	 Austin TX 	Rain	45	93	NW	6	29.97	43	45	42
Fri Jan 29 12:36:51 2010	 San Francisco CA 	Overcast	48	87	N/A		30.06	45	48	48
Fri Jan 29 12:36:52 2010	 Oklahoma City OK 	Freezing Drizzle	25	86	NNE	15	30.12	21	25	13
Fri Jan 29 12:36:53 2010	 Nashville TN 	Overcast	28	59	N	12	30.33	16	28	19
Fri Jan 29 12:36:54 2010	 Fort Worth TX 	Rain	39	87	N/A		30.06	36	39	39
Fri Jan 29 12:36:55 2010	 Phoenix AZ 	Mostly Cloudy	54	82	E	5	30.03	48	54	53
Fri Jan 29 12:36:56 2010	 Portland OR 	Overcast	48	62	SE	12	29.97	36	48	44
Fri Jan 29 12:36:56 2010	 Chicago IL 	Mostly Cloudy	7	51	NW	7	30.5	-8	7	-4
Fri Jan 29 12:36:57 2010	 San Antonio TX 	Rain	48	87	N	15	29.94	45	48	43
Fri Jan 29 12:36:58 2010	 Indianapolis IN 	Overcast	12	67	NE	6	30.45	3	12	4
Fri Jan 29 12:37:00 2010	 Boston MA 	Clear	14	41	W	22	30	-6	14	-3
Fri Jan 29 12:37:00 2010	 Jacksonville FL 	Overcast	48	82	N/A		30.18	43	48	48
Fri Jan 29 12:37:02 2010	 Columbus OH 	Overcast	10	61	NNW	6	30.45	N/A	10	2
Fri Jan 29 12:37:02 2010	 Dallas TX 	Light Rain	41	93	NE	9	30	39	41	36
Fri Jan 29 12:37:03 2010	 Houston TX 	Light Rain	66	94	S	15	29.77	64	66	65
Fri Jan 29 12:37:04 2010	 Seattle WA 	Mostly Cloudy	45	71	N/A		29.97	36	45	45
Fri Jan 29 12:37:05 2010	 Milwaukee WI 	Clear	3	55	NW	7	30.5	-9	3	-8
Fri Jan 29 12:37:06 2010	 Detroit MI 	Clear	7	72	W	6	30.45	N/A	7	-2
Fri Jan 29 12:37:07 2010	 Philadelphia PA 	Clear	18	41	NW	14	30.33	-2	18	5
Fri Jan 29 13:23:11 2010	 San Jose CA 	Clear	46	87	N/A		30.03	43	46	46
Fri Jan 29 13:23:12 2010	 Charlotte NC 	Partly Cloudy	37	41	ENE	7	30.24	16	37	33
Fri Jan 29 13:23:13 2010	 San Diego CA 	Mostly Cloudy	54	77	N/A		30.06	46	54	54
Fri Jan 29 13:23:14 2010	 Denver CO 	Mostly Cloudy	25	100	SSE	3	30.03	25	25	21
Fri Jan 29 13:23:15 2010	 Memphis TN 	Overcast	32	64	ENE	13	30.24	21	32	23
Fri Jan 29 13:23:16 2010	 Los Angeles CA 	Clear	52	72	N/A		30.03	43	52	52
Fri Jan 29 13:23:17 2010	 El Paso TX 	Overcast	30	86	N	9	30.12	27	30	23
Fri Jan 29 13:23:18 2010	 New York City NY 	Clear	16	45	WNW	16	30.27	-2	16	1
Fri Jan 29 13:23:19 2010	 Baltimore MD 	Fair	19	42	N/A		30.39	N/A	19	19
Fri Jan 29 13:23:20 2010	 Las Vegas NV 	Clear	43	61	W	3	30.09	30	43	41
Fri Jan 29 13:23:21 2010	 Washington DC 	Mostly Cloudy	19	42	NNW	16	30.42	N/A	19	6
Fri Jan 29 13:23:22 2010	 Austin TX 	Rain	43	93	NW	14	30	41	43	36
Fri Jan 29 13:23:23 2010	 San Francisco CA 	Mostly Cloudy	46	87	N	5	30.03	43	46	45
Fri Jan 29 13:23:24 2010	 Oklahoma City OK 	Freezing Drizzle	25	86	N	10	30.09	21	25	15
Fri Jan 29 13:23:25 2010	 Nashville TN 	Overcast	28	59	NE	10	30.3	16	28	20
Fri Jan 29 13:23:26 2010	 Fort Worth TX 	Light Rain	37	87	N/A		30.09	34	37	37
Fri Jan 29 13:23:27 2010	 Phoenix AZ 	Mostly Cloudy	54	82	E	8	30.03	48	54	51
Fri Jan 29 13:23:27 2010	 Portland OR 	Overcast	48	62	E	14	29.97	36	48	43
Fri Jan 29 13:23:28 2010	 Chicago IL 	Overcast	7	51	NW	8	30.5	-8	7	-5
Fri Jan 29 13:23:29 2010	 San Antonio TX 	Light Rain	46	93	NNW	12	29.97	45	46	42
Fri Jan 29 13:23:30 2010	 Indianapolis IN 	Overcast	12	67	NE	7	30.45	3	12	3
Fri Jan 29 13:23:31 2010	 Boston MA 	Clear	12	44	W	26	30	-6	12	-7
Fri Jan 29 13:23:32 2010	 Jacksonville FL 	Overcast	50	88	N/A		30.18	46	50	50
Fri Jan 29 13:23:33 2010	 Columbus OH 	Overcast	10	61	N	6	30.45	N/A	10	2
Fri Jan 29 13:23:34 2010	 Dallas TX 	Light Rain	39	93	NNE	6	30	37	39	35
Fri Jan 29 13:23:35 2010	 Houston TX 	Light Rain	66	94	S	8	29.77	64	66	66
Fri Jan 29 13:23:35 2010	 Seattle WA 	Clear	45	71	N/A		29.97	36	45	45
Fri Jan 29 13:23:36 2010	 Milwaukee WI 	Partly Cloudy	3	55	WNW	7	30.53	-9	3	-8
Fri Jan 29 13:23:37 2010	 Detroit MI 	Clear	9	66	NW	5	30.45	N/A	9	1
Fri Jan 29 13:23:39 2010	 Philadelphia PA 	Partly Cloudy	18	41	NW	12	30.36	-2	18	6
Fri Jan 29 14:11:46 2010	 San Jose CA 	Clear	45	93	N/A		30.03	43	45	45
Fri Jan 29 14:11:47 2010	 Charlotte NC 	Mostly Cloudy	37	45	NE	6	30.27	18	37	33
Fri Jan 29 14:11:48 2010	 San Diego CA 	Mostly Cloudy	52	82	N/A		30.06	46	52	52
Fri Jan 29 14:11:49 2010	 Denver CO 	Partly Cloudy	21	100	SW	5	30.03	21	21	16
Fri Jan 29 14:11:50 2010	 Memphis TN 	Freezing Rain	32	64	NE	15	30.24	21	32	22
Fri Jan 29 14:11:51 2010	 Los Angeles CA 	Clear	50	76	N/A		30.03	43	50	50
Fri Jan 29 14:11:52 2010	 El Paso TX 	Overcast	30	80	NE	10	30.12	25	30	22
Fri Jan 29 14:11:53 2010	 New York City NY 	Clear	16	45	NW	15	30.3	-2	16	2
Fri Jan 29 14:11:54 2010	 Baltimore MD 	Fair	19	42	N/A		30.42	N/A	19	19
Fri Jan 29 14:11:55 2010	 Las Vegas NV 	Clear	43	61	NW	8	30.09	30	43	38
Fri Jan 29 14:11:56 2010	 Washington DC 	Mostly Cloudy	19	42	NNW	17	30.45	N/A	19	6
Fri Jan 29 14:11:57 2010	 Austin TX 	Heavy Rain	41	93	NNW	12	30.03	39	41	35
Fri Jan 29 14:11:58 2010	 San Francisco CA 	Fog And Mist	46	93	N/A		30.03	45	46	46
Fri Jan 29 14:11:59 2010	 Oklahoma City OK 	Freezing Drizzle	25	86	N/A		30.12	21	25	25
Fri Jan 29 14:12:00 2010	 Nashville TN 	Overcast	28	59	NE	10	30.3	16	28	20
Fri Jan 29 14:12:01 2010	 Fort Worth TX 	Light Rain	37	87	N	12	30.09	34	37	31
Fri Jan 29 14:12:02 2010	 Phoenix AZ 	Partly Cloudy	52	88	E	5	30.03	48	52	51
Fri Jan 29 14:12:03 2010	 Portland OR 	Overcast	46	66	SE	12	30	36	46	42
Fri Jan 29 14:12:04 2010	 Chicago IL 	Mostly Cloudy	5	60	NW	5	30.5	-6	5	-3
Fri Jan 29 14:12:05 2010	 San Antonio TX 	Light Rain	46	87	N	14	30	43	46	41
Fri Jan 29 14:12:06 2010	 Indianapolis IN 	Overcast	12	67	NNE	8	30.45	3	12	2
Fri Jan 29 14:12:07 2010	 Boston MA 	Clear	12	44	W	24	30	-6	12	-6
Fri Jan 29 14:12:08 2010	 Jacksonville FL 	Overcast	52	82	NE	3	30.18	46	52	52
Fri Jan 29 14:12:09 2010	 Columbus OH 	Overcast	10	56	NNE	8	30.47	-2	10	N/A
Fri Jan 29 14:12:10 2010	 Dallas TX 	Light Rain	39	93	N	8	30.03	37	39	34
Fri Jan 29 14:12:11 2010	 Houston TX 	Thunder Storms	63	88	NNW	16	29.8	59	63	61
Fri Jan 29 14:12:12 2010	 Seattle WA 	Mostly Cloudy	45	76	N/A		29.97	37	45	45
Fri Jan 29 14:12:13 2010	 Milwaukee WI 	Partly Cloudy	3	60	NW	7	30.5	-8	3	-8
Fri Jan 29 14:12:14 2010	 Detroit MI 	Clear	9	66	WNW	5	30.47	N/A	9	1
Fri Jan 29 14:12:15 2010	 Philadelphia PA 	Partly Cloudy	18	45	NW	12	30.36	N/A	18	6
Fri Jan 29 14:56:24 2010	 San Jose CA 	Clear	45	93	N/A		30.03	43	45	45
Fri Jan 29 14:56:25 2010	 Charlotte NC 	Mostly Cloudy	37	45	NE	6	30.27	18	37	33
Fri Jan 29 14:56:26 2010	 San Diego CA 	Mostly Cloudy	52	82	N/A		30.06	46	52	52
Fri Jan 29 14:56:27 2010	 Denver CO 	Partly Cloudy	21	100	SW	5	30.03	21	21	16
Fri Jan 29 14:56:28 2010	 Memphis TN 	Freezing Rain	32	64	NE	15	30.24	21	32	22
Fri Jan 29 14:56:29 2010	 Los Angeles CA 	Clear	50	76	N/A		30.03	43	50	50
Fri Jan 29 14:56:30 2010	 El Paso TX 	Overcast	30	80	NE	10	30.12	25	30	22
Fri Jan 29 14:56:31 2010	 New York City NY 	Clear	16	45	NW	15	30.3	-2	16	2
Fri Jan 29 14:56:32 2010	 Baltimore MD 	Fair	19	42	N/A		30.42	N/A	19	19
Fri Jan 29 14:56:33 2010	 Las Vegas NV 	Clear	43	61	NW	8	30.09	30	43	38
Fri Jan 29 14:56:34 2010	 Washington DC 	Mostly Cloudy	19	42	NNW	17	30.45	N/A	19	6
Fri Jan 29 14:56:35 2010	 Austin TX 	Light Rain	41	93	NW	10	30.03	39	41	35
Fri Jan 29 14:56:36 2010	 San Francisco CA 	Fog And Mist	46	93	N/A		30.03	45	46	46
Fri Jan 29 14:56:37 2010	 Oklahoma City OK 	Freezing Drizzle	25	86	NNE	9	30.12	21	25	16
Fri Jan 29 14:56:38 2010	 Nashville TN 	Overcast	28	59	NE	10	30.3	16	28	20
Fri Jan 29 14:56:39 2010	 Fort Worth TX 	Light Rain	37	87	N	12	30.09	34	37	31
Fri Jan 29 14:56:40 2010	 Phoenix AZ 	Partly Cloudy	52	88	E	5	30.03	48	52	51
Fri Jan 29 14:56:41 2010	 Portland OR 	Overcast	46	66	SE	12	30	36	46	42
Fri Jan 29 14:56:42 2010	 Chicago IL 	Mostly Cloudy	5	60	NW	5	30.5	-6	5	-3
Fri Jan 29 14:56:43 2010	 San Antonio TX 	Light Rain	46	87	N	14	30	43	46	41
Fri Jan 29 14:56:44 2010	 Indianapolis IN 	Overcast	12	67	NNE	8	30.45	3	12	2
Fri Jan 29 14:56:45 2010	 Boston MA 	Clear	12	44	W	24	30	-6	12	-6
Fri Jan 29 14:56:46 2010	 Jacksonville FL 	Overcast	52	82	NE	3	30.18	46	52	52
Fri Jan 29 14:56:47 2010	 Columbus OH 	Overcast	10	56	NNE	8	30.47	-2	10	N/A
Fri Jan 29 14:56:48 2010	 Dallas TX 	Light Rain	37	93	NNE	8	30.03	36	37	32
Fri Jan 29 14:56:48 2010	 Houston TX 	Rain	59	88	NW	12	29.83	55	59	57
Fri Jan 29 14:56:50 2010	 Seattle WA 	Mostly Cloudy	45	76	N/A		29.97	37	45	45
Fri Jan 29 14:56:51 2010	 Milwaukee WI 	Partly Cloudy	3	60	NW	7	30.5	-8	3	-8
Fri Jan 29 14:56:52 2010	 Detroit MI 	Clear	9	66	WNW	5	30.47	N/A	9	1
Fri Jan 29 14:56:53 2010	 Philadelphia PA 	Partly Cloudy	18	45	NW	12	30.36	N/A	18	6
Fri Jan 29 15:42:23 2010	 San Jose CA 	Mostly Cloudy	45	93	N/A		30.03	43	45	45
Fri Jan 29 15:42:24 2010	 Charlotte NC 	Mostly Cloudy	39	42	ENE	12	30.27	18	39	33
Fri Jan 29 15:42:25 2010	 San Diego CA 	Clear	52	77	N/A		30.06	45	52	52
Fri Jan 29 15:42:26 2010	 Denver CO 	Fog And Mist	21	100	SSW	3	30.03	21	21	17
Fri Jan 29 15:42:27 2010	 Memphis TN 	Overcast	30	80	ENE	15	30.24	25	30	20
Fri Jan 29 15:42:28 2010	 Los Angeles CA 	Clear	50	76	N/A		30.03	43	50	50
Fri Jan 29 15:42:29 2010	 El Paso TX 	Mostly Cloudy	30	80	N	7	30.15	25	30	24
Fri Jan 29 15:42:30 2010	 New York City NY 	Clear	16	45	WNW	17	30.3	-2	16	1
Fri Jan 29 15:42:32 2010	 Baltimore MD 	Fair	21	38	N/A		30.42	N/A	21	21
Fri Jan 29 15:42:33 2010	 Las Vegas NV 	Clear	41	70	NW	3	30.09	32	41	39
Fri Jan 29 15:42:34 2010	 Washington DC 	Overcast	21	42	NNW	16	30.45	1	21	8
Fri Jan 29 15:42:35 2010	 Austin TX 	Light Rain	39	93	NNW	9	30.06	37	39	33
Fri Jan 29 15:42:36 2010	 San Francisco CA 	Fog And Mist	46	93	N/A		30.03	45	46	46
Fri Jan 29 15:42:37 2010	 Oklahoma City OK 	Light Snow	25	86	NNE	14	30.12	21	25	14
Fri Jan 29 15:42:38 2010	 Nashville TN 	Light Snow	28	55	NE	10	30.33	14	28	20
Fri Jan 29 15:42:39 2010	 Fort Worth TX 	Light Rain	37	87	NNE	10	30.09	34	37	31
Fri Jan 29 15:42:40 2010	 Phoenix AZ 	Partly Cloudy	52	88	ESE	3	30.03	48	52	52
Fri Jan 29 15:42:40 2010	 Portland OR 	Mostly Cloudy	46	66	SE	9	29.97	36	46	42
Fri Jan 29 15:42:41 2010	 Chicago IL 	Mostly Cloudy	7	56	NW	5	30.53	-6	7	-1
Fri Jan 29 15:42:42 2010	 San Antonio TX 	Light Rain	45	81	NNW	12	30.03	39	45	39
Fri Jan 29 15:42:43 2010	 Indianapolis IN 	Overcast	12	67	NE	8	30.45	3	12	2
Fri Jan 29 15:42:44 2010	 Boston MA 	Clear	14	37	W	25	30.03	-8	14	-4
Fri Jan 29 15:42:45 2010	 Jacksonville FL 	Overcast	54	77	N	5	30.21	46	54	53
Fri Jan 29 15:42:45 2010	 Columbus OH 	Overcast	10	56	N	7	30.45	-2	10	1
Fri Jan 29 15:42:46 2010	 Dallas TX 	Light Rain	37	100	N	6	30.03	37	37	33
Fri Jan 29 15:42:47 2010	 Houston TX 	Light Rain	57	94	NW	13	29.85	55	57	55
Fri Jan 29 15:42:48 2010	 Seattle WA 	Partly Cloudy	45	76	N/A		29.97	37	45	45
Fri Jan 29 15:42:49 2010	 Milwaukee WI 	Partly Cloudy	3	60	NW	7	30.5	-8	3	-8
Fri Jan 29 15:42:50 2010	 Detroit MI 	Clear	10	61	NW	6	30.47	N/A	10	2
Fri Jan 29 15:42:51 2010	 Philadelphia PA 	Mostly Cloudy	18	45	NW	15	30.39	N/A	18	4
Fri Jan 29 16:29:32 2010	 San Jose CA 	Mostly Cloudy	45	93	N/A		30.03	43	45	45
Fri Jan 29 16:29:33 2010	 Charlotte NC 	Mostly Cloudy	39	39	E	10	30.27	16	39	33
Fri Jan 29 16:29:34 2010	 San Diego CA 	Mostly Cloudy	52	77	N/A		30.06	45	52	52
Fri Jan 29 16:29:35 2010	 Denver CO 	Fog And Mist	21	100	S	6	30.06	21	21	15
Fri Jan 29 16:29:36 2010	 Memphis TN 	Overcast	30	80	ENE	12	30.3	25	30	22
Fri Jan 29 16:29:37 2010	 Los Angeles CA 	Clear	52	62	N/A		30.06	39	52	52
Fri Jan 29 16:29:38 2010	 El Paso TX 	Mostly Cloudy	30	80	N/A		30.15	25	30	30
Fri Jan 29 16:29:40 2010	 New York City NY 	Clear	18	38	WNW	13	30.3	-4	18	5
Fri Jan 29 16:29:41 2010	 Baltimore MD 	Fair	21	38	N/A		30.45	N/A	21	21
Fri Jan 29 16:29:42 2010	 Las Vegas NV 	Clear	43	61	N/A		30.09	30	43	43
Fri Jan 29 16:29:43 2010	 Washington DC 	Overcast	21	42	NNW	15	30.45	1	21	9
Fri Jan 29 16:29:44 2010	 Austin TX 	Rain	39	93	NNW	9	30.06	37	39	33
Fri Jan 29 16:29:45 2010	 San Francisco CA 	Fog And Mist	48	87	SSE	6	30.03	45	48	46
Fri Jan 29 16:29:47 2010	 Oklahoma City OK 	Light Snow	25	80	N	17	30.09	19	25	12
Fri Jan 29 16:29:47 2010	 Nashville TN 	Light Snow	27	69	NE	13	30.36	18	27	17
Fri Jan 29 16:29:49 2010	 Fort Worth TX 	Light Rain	36	87	N	16	30.15	32	36	27
Fri Jan 29 16:29:50 2010	 Phoenix AZ 	Partly Cloudy	52	88	E	3	30.06	48	52	52
Fri Jan 29 16:29:51 2010	 Portland OR 	Overcast	48	62	SE	13	29.97	36	48	43
Fri Jan 29 16:29:52 2010	 Chicago IL 	Mostly Cloudy	9	56	N	5	30.5	-4	9	1
