10	 weather.weatherbug.com									
(Timestamp)	(Location)	Temp (°F)	(Wind Speed) (mph)	Lo (°F)	Rain (")	Hi (°F)	Gust	Wind Chill (°F)	Humidity (%)	Dew Point (°F)
Fri Jan 29 09:32:15 2010	Seattle, WA 98101  	47.3	2	43	0.00	54	SSW 12	47	70	38
Fri Jan 29 09:32:15 2010	Milwaukee, WI 53201  	1.1	1	1	0.00	2	WNW 9	1	65	-8
Fri Jan 29 09:32:16 2010	Detroit, MI 48201  	6.6	6	7	0.00	8	W 13	-4	71	-1
Fri Jan 29 09:32:17 2010	Philadelphia, PA 19019  	18.1	7	18	0.00	20	NW 25	8	46	0
Fri Jan 29 12:03:50 2010	San Jose, CA 95101  	46.0	0	46	0.00	46	NNE 5	46	91	44
Fri Jan 29 12:03:53 2010	Charlotte, NC 28201  	39.2	2	39	0.00	45	NE 14	39	45	20
Fri Jan 29 12:03:58 2010	San Diego, CA 92101  	52.0	3	52	0.00	54	ENE 7	52	92	50
Fri Jan 29 12:04:02 2010	Denver, CO 80214  	24.7	0	24	0.00	28	NW 5	25	97	24
Fri Jan 29 12:04:05 2010	Memphis, TN 37501  	32.0	18	32	0.00	33	ENE 30	20	64	21
Fri Jan 29 12:04:07 2010	Los Angeles, CA 90001  	52.0	1	52	0.00	54	NE 6	52	72	43
Fri Jan 29 12:04:11 2010	El Paso, TX 79901  	31.1	4	31	0.00	32	ENE 16	27	87	28
Fri Jan 29 12:04:15 2010	New York, NY 10001  	16.5	5	16	0.00	20	NNW 24	9	51	1
Fri Jan 29 12:04:18 2010	Baltimore, MD 21201  	17.0	3	17	0.00	22	NW 17	12	47	0
Fri Jan 29 12:04:22 2010	Las Vegas, NV 89101  	41.8	6	41	0.00	44	W 8	38	60	29
Fri Jan 29 12:04:25 2010	Washington, DC 20001  	17.5	6	17	0.00	24	NNW 22	9	49	1
Fri Jan 29 12:04:29 2010	Austin, TX 73301  	46.9	11	46	0.83	64	NNW 24	42	91	45
Fri Jan 29 12:04:31 2010	San Francisco, CA 94101  	49.5	2	49	0.00	50	E 10	49	N/A	--
Fri Jan 29 12:04:34 2010	Oklahoma City, OK 73101  	24.1	16	24	0.00	27	NNE 24	11	89	21
Fri Jan 29 12:04:39 2010	Nashville, TN 37201  	28.7	8	29	0.00	30	N 17	21	62	17
Fri Jan 29 12:04:41 2010	Fort Worth, TX 76101  	37.7	13	38	0.32	46	NW 21	29	100	38
Fri Jan 29 12:04:44 2010	Phoenix, AZ 85001  	52.2	5	51	0.00	54	ENE 12	51	83	47
Fri Jan 29 12:04:48 2010	Portland, OR 97201  	47.1	6	46	0.00	47	E 15	44	63	35
Fri Jan 29 12:04:51 2010	Chicago, IL 60601  	6.0	5	6	0.00	8	NW 12	-4	56	-7
Fri Jan 29 12:04:53 2010	San Antonio, TX 78201  	42.2	11	42	0.51	63	NW 32	36	100	42
Fri Jan 29 12:04:57 2010	Indianapolis, IN 46201  	13.2	3	11	0.00	13	NE 9	8	75	7
Fri Jan 29 12:05:00 2010	Boston, MA 02101  	10.2	2	10	0.00	18	WNW 38	10	39	-10
Fri Jan 29 12:05:03 2010	Jacksonville, FL 32099  	48.9	0	47	0.00	49	N 5	49	79	43
Fri Jan 29 12:05:07 2010	Columbus, OH 43085  	9.5	4	9	N/A	12	NNE 9	2	N/A	--
Fri Jan 29 12:05:10 2010	Dallas, TX 75201  	40.9	1	41	0.32	44	ESE 16	41	100	41
Fri Jan 29 12:05:13 2010	Houston, TX 77001  	63.4	12	58	0.08	64	SSE 25	62	96	62
Fri Jan 29 12:05:16 2010	Seattle, WA 98101  	44.5	3	45	0.00	48	E 7	43	77	38
Fri Jan 29 12:05:19 2010	Milwaukee, WI 53201  	0.2	5	0	0.00	2	NW 10	-11	72	-7
Fri Jan 29 12:05:21 2010	Detroit, MI 48201  	6.4	4	6	0.00	8	W 13	-1	76	0
Fri Jan 29 12:05:26 2010	Philadelphia, PA 19019  	16.8	4	16	0.00	20	NW 25	10	53	2
Fri Jan 29 12:51:09 2010	San Jose, CA 95101  	46.0	0	46	0.00	46	NNE 5	46	91	44
Fri Jan 29 12:51:11 2010	Charlotte, NC 28201  	39.2	2	39	0.00	45	NE 14	39	45	20
Fri Jan 29 12:51:13 2010	San Diego, CA 92101  	52.0	3	52	0.00	54	ENE 7	52	92	50
Fri Jan 29 12:51:14 2010	Denver, CO 80214  	24.7	0	24	0.00	28	NW 5	25	97	24
Fri Jan 29 12:51:16 2010	Memphis, TN 37501  	32.0	18	32	0.00	33	ENE 30	20	64	21
Fri Jan 29 12:51:18 2010	Los Angeles, CA 90001  	52.0	1	52	0.00	54	NE 6	52	72	43
Fri Jan 29 12:51:20 2010	El Paso, TX 79901  	31.1	4	31	0.00	32	ENE 16	27	87	28
Fri Jan 29 12:51:22 2010	New York, NY 10001  	16.5	5	16	0.00	20	NNW 24	9	51	1
Fri Jan 29 12:51:23 2010	Baltimore, MD 21201  	17.0	3	17	0.00	22	NW 17	12	47	0
Fri Jan 29 12:51:25 2010	Las Vegas, NV 89101  	41.8	6	41	0.00	44	W 8	38	60	29
Fri Jan 29 12:51:27 2010	Washington, DC 20001  	18.1	4	18	0.00	25	NNE 18	12	48	1
Fri Jan 29 12:51:29 2010	Austin, TX 73301  	46.9	11	46	0.83	64	NNW 24	42	91	45
Fri Jan 29 12:51:31 2010	San Francisco, CA 94101  	49.5	2	49	0.00	50	E 10	49	N/A	--
Fri Jan 29 12:51:32 2010	Oklahoma City, OK 73101  	24.1	16	24	0.00	27	NNE 24	11	89	21
Fri Jan 29 12:51:34 2010	Nashville, TN 37201  	28.7	8	29	0.00	30	N 17	21	62	17
Fri Jan 29 12:51:36 2010	Fort Worth, TX 76101  	37.7	13	38	0.32	46	NW 21	29	100	38
Fri Jan 29 12:51:38 2010	Phoenix, AZ 85001  	52.2	5	51	0.00	54	ENE 12	51	83	47
Fri Jan 29 12:51:39 2010	Portland, OR 97201  	47.1	6	46	0.00	47	E 15	44	63	35
Fri Jan 29 12:51:41 2010	Chicago, IL 60601  	6.0	5	6	0.00	8	NW 12	-4	56	-7
Fri Jan 29 12:51:43 2010	San Antonio, TX 78201  	42.2	11	42	0.51	63	NW 32	36	100	42
Fri Jan 29 12:51:45 2010	Indianapolis, IN 46201  	13.2	3	11	0.00	13	NE 9	8	75	7
Fri Jan 29 12:51:46 2010	Boston, MA 02101  	10.2	2	10	0.00	18	WNW 38	10	39	-10
Fri Jan 29 12:51:48 2010	Jacksonville, FL 32099  	48.9	0	47	0.00	49	N 5	49	79	43
Fri Jan 29 12:51:49 2010	Columbus, OH 43085  	9.5	4	9	N/A	12	NNE 9	2	N/A	--
Fri Jan 29 12:51:51 2010	Dallas, TX 75201  	40.9	1	41	0.32	44	ESE 16	41	100	41
Fri Jan 29 12:51:53 2010	Houston, TX 77001  	63.4	12	58	0.08	64	SSE 25	62	96	62
Fri Jan 29 12:51:54 2010	Seattle, WA 98101  	44.5	3	45	0.00	48	E 7	43	77	38
Fri Jan 29 12:51:56 2010	Milwaukee, WI 53201  	0.2	5	0	0.00	2	NW 10	-11	72	-7
Fri Jan 29 12:51:57 2010	Detroit, MI 48201  	6.4	4	6	0.00	8	W 13	-1	76	0
Fri Jan 29 12:51:59 2010	Philadelphia, PA 19019  	16.8	4	16	0.00	20	NW 25	10	53	2
Fri Jan 29 13:39:15 2010	San Jose, CA 95101  	46.0	0	46	0.00	46	NNE 5	46	88	43
Fri Jan 29 13:39:17 2010	Charlotte, NC 28201  	37.1	2	37	0.00	45	NE 14	37	48	19
Fri Jan 29 13:39:19 2010	San Diego, CA 92101  	51.5	2	51	0.00	54	ENE 7	51	90	49
Fri Jan 29 13:39:22 2010	Denver, CO 80214  	24.9	2	24	0.00	28	S 6	25	98	24
Fri Jan 29 13:39:24 2010	Memphis, TN 37501  	32.0	12	32	0.00	33	ENE 30	23	64	21
Fri Jan 29 13:39:26 2010	Los Angeles, CA 90001  	48.8	0	49	0.00	54	NE 6	49	80	43
Fri Jan 29 13:39:28 2010	El Paso, TX 79901  	31.1	3	31	0.00	32	ENE 16	28	82	26
Fri Jan 29 13:39:31 2010	New York, NY 10001  	15.6	12	15	0.00	20	NNW 24	2	54	2
Fri Jan 29 13:39:35 2010	Baltimore, MD 21201  	16.2	2	16	0.00	22	NW 17	16	49	0
Fri Jan 29 13:39:37 2010	Las Vegas, NV 89101  	41.6	0	41	0.00	44	W 8	42	59	28
Fri Jan 29 13:39:41 2010	Washington, DC 20001  	16.9	9	17	0.00	24	NNW 22	6	52	2
Fri Jan 29 13:39:43 2010	Austin, TX 73301  	44.1	17	44	0.88	64	NNW 25	36	94	42
Fri Jan 29 13:39:47 2010	San Francisco, CA 94101  	49.3	1	49	0.00	50	E 10	49	N/A	--
Fri Jan 29 13:39:50 2010	Oklahoma City, OK 73101  	24.1	16	24	0.00	27	NNE 31	11	89	21
Fri Jan 29 13:39:52 2010	Nashville, TN 37201  	28.8	5	28	0.00	30	N 17	24	62	17
Fri Jan 29 13:39:55 2010	Fort Worth, TX 76101  	36.2	2	36	0.46	46	NW 21	36	100	36
Fri Jan 29 13:39:59 2010	Phoenix, AZ 85001  	51.2	2	51	0.00	54	ENE 12	51	85	47
Fri Jan 29 13:40:03 2010	Portland, OR 97201  	47.1	5	46	0.00	48	E 15	45	64	36
Fri Jan 29 13:40:05 2010	Chicago, IL 60601  	5.8	4	5	0.00	8	NW 10	-1	68	-3
Fri Jan 29 13:40:08 2010	San Antonio, TX 78201  	38.7	9	39	0.57	63	NW 32	32	99	38
Fri Jan 29 13:40:13 2010	Indianapolis, IN 46201  	13.4	2	11	0.00	14	NE 9	13	76	7
Fri Jan 29 13:40:16 2010	Boston, MA 02101  	9.6	9	9	0.00	18	WNW 38	-3	42	-9
Fri Jan 29 13:40:18 2010	Jacksonville, FL 32099  	50.0	0	47	0.00	50	N 5	50	86	46
Fri Jan 29 13:40:20 2010	Columbus, OH 43085  	10.0	3	9	N/A	12	NNE 9	4	N/A	--
Fri Jan 29 13:40:23 2010	Dallas, TX 75201  	40.1	1	40	0.37	44	ESE 16	40	99	40
Fri Jan 29 13:40:25 2010	Houston, TX 77001  	59.4	10	58	0.74	64	SSE 25	58	98	59
Fri Jan 29 13:40:28 2010	Seattle, WA 98101  	46.8	2	45	0.00	48	E 7	47	65	36
Fri Jan 29 13:40:30 2010	Milwaukee, WI 53201  	-0.7	6	-1	0.00	2	NW 10	-13	75	-7
Fri Jan 29 13:40:32 2010	Detroit, MI 48201  	7.3	3	6	0.00	8	W 13	7	72	0
Fri Jan 29 13:40:34 2010	Philadelphia, PA 19019  	16.4	6	16	0.00	20	NW 25	7	56	3
Fri Jan 29 14:24:29 2010	San Jose, CA 95101  	46.0	0	46	0.00	46	NNE 5	46	88	43
Fri Jan 29 14:24:31 2010	Charlotte, NC 28201  	37.1	2	37	0.00	45	NE 14	37	48	19
Fri Jan 29 14:24:32 2010	San Diego, CA 92101  	51.5	2	51	0.00	54	ENE 7	51	90	49
Fri Jan 29 14:24:34 2010	Denver, CO 80214  	24.9	2	24	0.00	28	S 6	25	98	24
Fri Jan 29 14:24:36 2010	Memphis, TN 37501  	32.0	12	32	0.00	33	ENE 30	23	64	21
Fri Jan 29 14:24:37 2010	Los Angeles, CA 90001  	48.8	0	49	0.00	54	NE 6	49	80	43
Fri Jan 29 14:24:39 2010	El Paso, TX 79901  	31.1	3	31	0.00	32	ENE 16	28	82	26
Fri Jan 29 14:24:41 2010	New York, NY 10001  	15.6	12	15	0.00	20	NNW 24	2	54	2
Fri Jan 29 14:24:42 2010	Baltimore, MD 21201  	16.2	2	16	0.00	22	NW 17	16	49	0
Fri Jan 29 14:24:45 2010	Las Vegas, NV 89101  	41.6	0	41	0.00	44	W 8	42	59	28
Fri Jan 29 14:24:47 2010	Washington, DC 20001  	17.3	4	17	0.00	25	NNW 24	11	59	5
Fri Jan 29 14:24:49 2010	Austin, TX 73301  	44.1	17	44	0.88	64	NNW 25	36	94	42
Fri Jan 29 14:24:50 2010	San Francisco, CA 94101  	49.3	1	49	0.00	50	E 10	49	N/A	--
Fri Jan 29 14:24:52 2010	Oklahoma City, OK 73101  	24.1	16	24	0.00	27	NNE 31	11	89	21
Fri Jan 29 14:24:53 2010	Nashville, TN 37201  	28.8	5	28	0.00	30	N 17	24	62	17
Fri Jan 29 14:24:55 2010	Fort Worth, TX 76101  	36.2	2	36	0.46	46	NW 21	36	100	36
Fri Jan 29 14:24:56 2010	Phoenix, AZ 85001  	51.2	2	51	0.00	54	ENE 12	51	85	47
Fri Jan 29 14:24:57 2010	Portland, OR 97201  	47.1	5	46	0.00	48	E 15	45	64	36
Fri Jan 29 14:24:58 2010	Chicago, IL 60601  	5.8	4	5	0.00	8	NW 10	-1	68	-3
Fri Jan 29 14:24:59 2010	Indianapolis, IN 46201  	13.4	2	11	0.00	14	NE 9	13	76	7
Fri Jan 29 14:24:59 2010	San Antonio, TX 78201  	38.7	9	39	0.57	63	NW 32	32	99	38
Fri Jan 29 14:25:00 2010	Boston, MA 02101  	9.6	9	9	0.00	18	WNW 38	-3	42	-9
Fri Jan 29 14:25:01 2010	Jacksonville, FL 32099  	50.0	0	47	0.00	50	N 5	50	86	46
Fri Jan 29 14:25:02 2010	Dallas, TX 75201  	40.1	1	40	0.37	44	ESE 16	40	99	40
Fri Jan 29 14:25:02 2010	Columbus, OH 43085  	10.0	3	9	N/A	12	NNE 9	4	N/A	--
Fri Jan 29 14:25:03 2010	Houston, TX 77001  	59.4	10	58	0.74	64	SSE 25	58	98	59
Fri Jan 29 14:25:04 2010	Seattle, WA 98101  	46.8	2	45	0.00	48	E 7	47	65	36
Fri Jan 29 14:25:05 2010	Milwaukee, WI 53201  	-0.7	6	-1	0.00	2	NW 10	-13	75	-7
Fri Jan 29 14:25:06 2010	Detroit, MI 48201  	7.3	3	6	0.00	8	W 13	7	72	0
Fri Jan 29 14:25:07 2010	Philadelphia, PA 19019  	16.4	6	16	0.00	20	NW 25	7	56	3
Fri Jan 29 15:09:56 2010	San Jose, CA 95101  	44.1	0	44	0.00	46	NNE 5	44	91	42
Fri Jan 29 15:09:58 2010	Charlotte, NC 28201  	37.0	7	37	0.00	45	ENE 16	31	44	17
Fri Jan 29 15:10:00 2010	San Diego, CA 92101  	52.1	0	51	0.00	54	ENE 7	52	80	46
Fri Jan 29 15:10:08 2010	Denver, CO 80214  	22.8	0	22	0.00	28	SSW 6	23	98	22
Fri Jan 29 15:10:10 2010	Memphis, TN 37501  	30.2	15	30	0.00	33	ENE 30	19	80	25
Fri Jan 29 15:10:13 2010	Los Angeles, CA 90001  	49.0	0	49	0.00	54	NE 6	49	77	42
Fri Jan 29 15:10:15 2010	El Paso, TX 79901  	31.4	1	31	0.00	32	ENE 16	31	83	27
Fri Jan 29 15:10:18 2010	New York, NY 10001  	16.5	2	15	0.00	20	NNW 24	16	48	0
Fri Jan 29 15:10:20 2010	Baltimore, MD 21201  	17.1	5	16	0.00	22	NW 17	10	49	1
Fri Jan 29 15:10:23 2010	Las Vegas, NV 89101  	41.2	0	40	0.00	44	W 8	41	59	28
Fri Jan 29 15:10:24 2010	Washington, DC 20001  	17.3	4	17	0.00	25	NNW 24	11	59	5
Fri Jan 29 15:10:27 2010	Austin, TX 73301  	42.8	16	43	0.97	64	NNW 25	35	93	41
Fri Jan 29 15:10:29 2010	San Francisco, CA 94101  	49.5	3	49	0.00	50	E 10	49	N/A	--
Fri Jan 29 15:10:31 2010	Oklahoma City, OK 73101  	23.0	15	23	0.00	27	NNE 31	10	92	21
Fri Jan 29 15:10:33 2010	Nashville, TN 37201  	27.8	3	28	0.00	30	NNE 17	24	64	17
Fri Jan 29 15:10:35 2010	Fort Worth, TX 76101  	36.2	2	35	0.50	46	NNE 25	36	100	36
Fri Jan 29 15:10:38 2010	Phoenix, AZ 85001  	51.1	2	51	0.00	54	ENE 12	51	89	48
Fri Jan 29 15:10:40 2010	Portland, OR 97201  	46.9	2	46	0.00	48	E 15	47	65	36
Fri Jan 29 15:10:42 2010	Chicago, IL 60601  	8.6	1	7	0.00	10	NNE 14	9	68	0
Fri Jan 29 15:10:45 2010	San Antonio, TX 78201  	37.6	8	37	0.63	63	NW 32	32	98	37
Fri Jan 29 15:10:47 2010	Indianapolis, IN 46201  	13.2	4	11	0.00	14	E 11	6	75	7
Fri Jan 29 15:10:51 2010	Boston, MA 02101  	11.0	14	9	0.00	18	WNW 38	-5	36	-11
Fri Jan 29 15:10:54 2010	Jacksonville, FL 32099  	54.0	5	47	0.00	54	N 5	53	78	47
Fri Jan 29 15:10:57 2010	Columbus, OH 43085  	11.4	1	9	N/A	12	NNE 9	11	N/A	--
Fri Jan 29 15:10:59 2010	Dallas, TX 75201  	38.6	4	38	0.47	44	ESE 16	35	100	39
Fri Jan 29 15:11:02 2010	Houston, TX 77001  	54.9	9	55	1.17	64	SSE 25	52	98	54
Fri Jan 29 15:11:05 2010	Seattle, WA 98101  	45.7	0	45	0.00	48	E 7	46	82	41
Fri Jan 29 15:11:08 2010	Milwaukee, WI 53201  	0.4	3	-1	0.00	2	NW 10	0	75	-6
Fri Jan 29 15:11:10 2010	Detroit, MI 48201  	9.0	10	6	0.00	9	W 13	-5	68	0
Fri Jan 29 15:11:12 2010	Philadelphia, PA 19019  	17.3	9	16	0.00	20	NW 25	6	54	3
Fri Jan 29 15:57:13 2010	San Jose, CA 95101  	44.1	0	44	0.00	46	NNE 5	44	91	42
Fri Jan 29 15:57:15 2010	Charlotte, NC 28201  	37.0	7	37	0.00	45	ENE 16	31	44	17
Fri Jan 29 15:57:17 2010	San Diego, CA 92101  	52.1	0	51	0.00	54	ENE 7	52	80	46
Fri Jan 29 15:57:19 2010	Denver, CO 80214  	22.8	0	22	0.00	28	SSW 6	23	98	22
Fri Jan 29 15:57:20 2010	Memphis, TN 37501  	30.2	15	30	0.00	33	ENE 30	19	80	25
Fri Jan 29 15:57:23 2010	Los Angeles, CA 90001  	49.0	0	49	0.00	54	NE 6	49	77	42
Fri Jan 29 15:57:25 2010	El Paso, TX 79901  	31.4	1	31	0.00	32	ENE 16	31	83	27
Fri Jan 29 15:57:27 2010	New York, NY 10001  	16.5	2	15	0.00	20	NNW 24	16	48	0
Fri Jan 29 15:57:29 2010	Baltimore, MD 21201  	17.1	5	16	0.00	22	NW 17	10	49	1
Fri Jan 29 15:57:31 2010	Las Vegas, NV 89101  	41.2	0	40	0.00	44	W 8	41	59	28
Fri Jan 29 15:57:34 2010	Washington, DC 20001  	17.9	3	17	0.00	25	NNW 24	13	58	6
Fri Jan 29 15:57:36 2010	Austin, TX 73301  	42.8	16	43	0.97	64	NNW 25	35	93	41
Fri Jan 29 15:57:38 2010	San Francisco, CA 94101  	49.5	3	49	0.00	50	E 10	49	N/A	--
Fri Jan 29 15:57:40 2010	Oklahoma City, OK 73101  	23.0	15	23	0.00	27	NNE 31	10	92	21
Fri Jan 29 15:57:42 2010	Nashville, TN 37201  	27.8	3	28	0.00	30	NNE 17	24	64	17
Fri Jan 29 15:57:44 2010	Fort Worth, TX 76101  	36.2	2	35	0.50	46	NNE 25	36	100	36
Fri Jan 29 15:57:46 2010	Phoenix, AZ 85001  	51.1	2	51	0.00	54	ENE 12	51	89	48
Fri Jan 29 15:57:48 2010	Portland, OR 97201  	46.9	2	46	0.00	48	E 15	47	65	36
Fri Jan 29 15:57:50 2010	Chicago, IL 60601  	8.6	1	7	0.00	10	NNE 14	9	68	0
Fri Jan 29 15:57:53 2010	San Antonio, TX 78201  	37.6	8	37	0.63	63	NW 32	32	98	37
Fri Jan 29 15:57:55 2010	Indianapolis, IN 46201  	13.2	4	11	0.00	14	E 11	6	75	7
Fri Jan 29 15:57:57 2010	Boston, MA 02101  	11.0	14	9	0.00	18	WNW 38	-5	36	-11
Fri Jan 29 15:58:00 2010	Jacksonville, FL 32099  	54.0	5	47	0.00	54	N 5	53	78	47
Fri Jan 29 15:58:01 2010	Columbus, OH 43085  	11.4	1	9	N/A	12	NNE 9	11	N/A	--
Fri Jan 29 15:58:04 2010	Dallas, TX 75201  	38.6	4	38	0.47	44	ESE 16	35	100	39
Fri Jan 29 15:58:05 2010	Houston, TX 77001  	54.9	9	55	1.17	64	SSE 25	52	98	54
Fri Jan 29 15:58:08 2010	Seattle, WA 98101  	45.7	0	45	0.00	48	E 7	46	82	41
Fri Jan 29 15:58:10 2010	Milwaukee, WI 53201  	0.4	3	-1	0.00	2	NW 10	0	75	-6
Fri Jan 29 15:58:12 2010	Detroit, MI 48201  	9.0	10	6	0.00	9	W 13	-5	68	0
Fri Jan 29 15:58:14 2010	Philadelphia, PA 19019  	17.3	9	16	0.00	20	NW 25	6	54	3
Fri Jan 29 16:41:55 2010	San Jose, CA 95101  	45.0	0	44	0.00	46	NNE 5	45	94	43
Fri Jan 29 16:41:58 2010	Charlotte, NC 28201  	39.8	3	37	0.00	45	ENE 16	40	38	16
Fri Jan 29 16:42:00 2010	San Diego, CA 92101  	50.8	2	50	0.00	54	ENE 7	51	86	47
Fri Jan 29 16:42:02 2010	Denver, CO 80214  	28.2	2	22	0.00	28	SSW 6	28	85	24
Fri Jan 29 16:42:04 2010	Memphis, TN 37501  	30.2	11	30	0.04	33	ENE 30	21	80	25
