3	www.weatherforyou.com										
(Timestamp)	(Location)	(Conditions)	(Temperature) (°F °C)	Humidity (%)	Wind	(Wind Speed) (MPH)	Wind Gusts (MPH)	Barometer (in.)	Dewpoint (°F)	Wind Chill (°F)	Visibility (SM/Miles)
Fri Jan 29 08:42:01 2010	San Antonio, Texas, United States (78201)	 Light Rain	 59 15 	80	NE	8	14	29.79	53		
Fri Jan 29 08:42:02 2010	Indianapolis, Indiana, United States (46201)	 Partly Cloudy	 10 -12 	67	Calm		 	30.49	1	5	
Fri Jan 29 08:42:04 2010	Boston, Massachusetts, United States (02101)	 Clear	 18 -8 	35	WNW	33	47	29.94	-6	-2	10
Fri Jan 29 08:42:05 2010	Jacksonville, Florida, United States (32099)	 Sct	43 6	88	Calm		 	30.12	40		
Fri Jan 29 08:42:06 2010	Columbus, Ohio, United States (43085)	 Partly Cloudy	 10 -12 	72	N	8		30.42	3	0	10
Fri Jan 29 08:42:08 2010	Dallas, Texas, United States (75201)	 Light Rain	 38 3 	100	NE	5	6	30.01	38		
Fri Jan 29 08:42:09 2010	Houston, Texas, United States (77001)	 Light Rain	 62 17 	100	ESE	11	12	29.82	62		
Fri Jan 29 08:42:10 2010	Seattle, Washington, United States (98101)	 Clear	 46 8 	62	SE	3		30.00	34		10
Fri Jan 29 08:42:11 2010	Milwaukee, Wisconsin, United States (53201)	 Partly Cloudy	 5 -15 	46	NW	6		30.50	-11	-5	10
Fri Jan 29 08:42:13 2010	Detroit, Michigan, United States (48201)	 Clear	 9 -13 	61	WNW	5		30.45	-2	1	10
Fri Jan 29 08:42:14 2010	Philadelphia, Pennsylvania, United States (19019)	 Clear	 19 -7 	38	WNW	9		30.30	-2	10	10
Fri Jan 29 09:25:33 2010	San Jose, California, United States (95101)	 Mostly Cloudy	 46 8 	84	Calm		 	30.02	41	45	
Fri Jan 29 09:25:35 2010	Charlotte, North Carolina, United States (28201)	 Clear	 40 5 	67	Calm		 	30.15	30	38	
Fri Jan 29 09:25:36 2010	San Diego, California, United States (92101)	 Partly Cloudy	 53 12 	92	Calm		 	30.25	51		
Fri Jan 29 09:25:37 2010	Denver, Colorado, United States (80214)	 Mist	 29 -2 	81	N	3	4	30.47	24	26	
Fri Jan 29 09:25:38 2010	Memphis, Tennessee, United States (37501)	 Overcast	 32 0 	64	ENE	14		30.30	21	23	10
Fri Jan 29 09:25:40 2010	Los Angeles, California, United States (90001)	 Clear	 57 14 	72	Calm		 	30.06	48		10
Fri Jan 29 09:25:41 2010	El Paso, Texas, United States (79901)	 Snow	 30 -1 	93	N	10		30.12	28	22	4
Fri Jan 29 09:25:42 2010	New York, New York, United States (10001)	 Clear	 18 -8 	45	W	14	21	30.21	N/A	5	10
Fri Jan 29 09:25:43 2010	Baltimore, Maryland, United States (21201)	 Partly Cloudy	 19 -7 	42	NW	10		30.33	N/A	9	10
Fri Jan 29 09:25:45 2010	Las Vegas, Nevada, United States (89101)	 Clear	 42 6 	78	Calm		 	30.12	36	40	
Fri Jan 29 09:25:46 2010	Washington, D.C., United States (20001)	 Partly Cloudy	 21 -6 	45	NNW	17	25	30.36	3	8	10
Fri Jan 29 09:25:47 2010	Austin, Texas, United States (73301)	 Heavy Rain	 53 12 	97	NW	12	16	29.91	54		
Fri Jan 29 09:25:49 2010	San Francisco, California, United States (94101)	 Mostly Cloudy	 48 9 	94	Calm		 	30.03	46		7
Fri Jan 29 09:25:50 2010	Oklahoma City, Oklahoma, United States (73101)	 Snow	 29 -2 	86	N	4	6	30.20	26	25	
Fri Jan 29 09:25:51 2010	Nashville, Tennessee, United States (37201)	 Mostly Cloudy	 28 -2 	59	NNE	10		30.36	16	20	10
Fri Jan 29 09:25:52 2010	Fort Worth, Texas, United States (76101)	 Light Rain	 43 6 	87	Calm		 	30.06	39		8
Fri Jan 29 09:25:54 2010	Phoenix, Arizona, United States (85001)	 Few	 50 10 	85	SE	1	2	30.02	46		
Fri Jan 29 09:25:55 2010	Portland, Oregon, United States (97201)	 Overcast	 47 8 	63	NNE	8		29.95	35	42	
Fri Jan 29 09:25:56 2010	Chicago, Illinois, United States (60601)	 Partly Cloudy	 7 -14 	51	NNW	10		30.50	-8	-7	10
Fri Jan 29 09:25:57 2010	San Antonio, Texas, United States (78201)	 Light Rain	 56 13 	82	N	11	12	29.81	51		
Fri Jan 29 09:25:58 2010	Indianapolis, Indiana, United States (46201)	 Partly Cloudy	 11 -12 	66	Calm		 	30.50	1	5	
Fri Jan 29 09:26:00 2010	Boston, Massachusetts, United States (02101)	 Clear	 16 -9 	37	WNW	26	35	29.97	-6	-2	10
Fri Jan 29 09:26:01 2010	Jacksonville, Florida, United States (32099)	 Sct 44°F6°C		89	Calm		 	30.12	41		
Fri Jan 29 09:26:02 2010	Columbus, Ohio, United States (43085)	 Partly Cloudy	 10 -12 	67	N	7		30.42	1	1	10
Fri Jan 29 09:26:03 2010	Dallas, Texas, United States (75201)	 Light Rain	 38 3 	100	NNW	3	6	30.04	38		
Fri Jan 29 09:26:05 2010	Houston, Texas, United States (77001)	 Light Rain	 63 17 	100	S	2	4	29.81	63		
Fri Jan 29 09:26:06 2010	Seattle, Washington, United States (98101)	 Clear	 46 8 	62	Calm		 	30.00	34		10
Fri Jan 29 09:26:07 2010	Milwaukee, Wisconsin, United States (53201)	 Partly Cloudy	 3 -16 	55	NW	7		30.53	-9	-8	10
Fri Jan 29 09:26:08 2010	Detroit, Michigan, United States (48201)	 Clear	 9 -13 	61	WNW	6		30.45	-2	0	10
Fri Jan 29 09:26:09 2010	Philadelphia, Pennsylvania, United States (19019)	 Clear	 19 -7 	32	NW	18	36	30.30	-6	5	10
Fri Jan 29 11:57:35 2010	San Jose, California, United States (95101)	 Clear	 44 6 	85	Calm		 	30.00	39		
Fri Jan 29 11:57:37 2010	Charlotte, North Carolina, United States (28201)	 Clear	 39 4 	54	Calm		 	30.17	24	36	
Fri Jan 29 11:57:38 2010	San Diego, California, United States (92101)	 Mostly Cloudy	 51 11 	92	Calm		 	30.22	49		
Fri Jan 29 11:57:39 2010	Denver, Colorado, United States (80214)	 Mist	 28 -2 	83	Calm		 	30.43	24	27	
Fri Jan 29 11:57:40 2010	Memphis, Tennessee, United States (37501)	 Overcast	 32 0 	64	ENE	18	24	30.24	21	21	10
Fri Jan 29 11:57:42 2010	Los Angeles, California, United States (90001)	 Clear	 54 12 	72	Calm		 	30.06	45		10
Fri Jan 29 11:57:43 2010	El Paso, Texas, United States (79901)	 Snow	 30 -1 	80	N	13		30.12	25	21	6
Fri Jan 29 11:57:44 2010	New York, New York, United States (10001)	 Clear	 18 -8 	41	WNW	8	17	30.27	-2	8	10
Fri Jan 29 11:57:45 2010	Baltimore, Maryland, United States (21201)	 Mostly Cloudy	 19 -7 	42	NW	6		30.36	N/A	12	10
Fri Jan 29 11:57:46 2010	Las Vegas, Nevada, United States (89101)	 Partly Cloudy	 40 5 	78	Calm		 	30.12	34		
Fri Jan 29 11:57:48 2010	Washington, D.C., United States (20001)	 Overcast	 21 -6 	42	NNW	14		30.39	1	9	10
Fri Jan 29 11:57:49 2010	Austin, Texas, United States (73301)	 Light Rain	 42 6 	97	NNW	12	20	29.93	43	41	
Fri Jan 29 11:57:50 2010	San Francisco, California, United States (94101)	 Mist	 46 8 	93	SW	3		30.03	45		6
Fri Jan 29 11:57:52 2010	Oklahoma City, Oklahoma, United States (73101)	 Mist	 28 -2 	86	Calm		 	30.20	25		
Fri Jan 29 11:57:53 2010	Nashville, Tennessee, United States (37201)	 Overcast	 28 -2 	59	N	8		30.33	16	21	10
Fri Jan 29 11:57:54 2010	Fort Worth, Texas, United States (76101)	 Light Rain	 39 4 	93	Calm		 	30.03	37		10
Fri Jan 29 11:57:56 2010	Phoenix, Arizona, United States (85001)	 Overcast	 51 11 	87	Calm		 	30.02	48		
Fri Jan 29 11:57:57 2010	Portland, Oregon, United States (97201)	 Overcast	 47 8 	63	Calm		 	29.94	35	44	
Fri Jan 29 11:57:58 2010	Chicago, Illinois, United States (60601)	 Mostly Cloudy	 7 -14 	51	NNW	7		30.50	-8	-4	10
Fri Jan 29 11:57:59 2010	San Antonio, Texas, United States (78201)	 Light Rain	 49 9 	80	NNW	8		29.84	43	48	
Fri Jan 29 11:58:01 2010	Indianapolis, Indiana, United States (46201)	 Overcast	 12 -11 	65	NE	3	9	30.48	2	3	
Fri Jan 29 11:58:02 2010	Boston, Massachusetts, United States (02101)	 Clear	 14 -10 	41	W	28	40	29.97	-6	-5	10
Fri Jan 29 11:58:03 2010	Jacksonville, Florida, United States (32099)	 Sct 44°F7°C		90	Calm		 	30.12	41		
Fri Jan 29 11:58:04 2010	Columbus, Ohio, United States (43085)	 Partly Cloudy	 10 -12 	61	NNW	6		30.45	N/A	2	10
Fri Jan 29 11:58:05 2010	Dallas, Texas, United States (75201)	 Light Rain	 37 3 	100	NNW	3		30.01	37	36	
Fri Jan 29 11:58:07 2010	Houston, Texas, United States (77001)	 Light Rain	 64 18 	100	S	19		29.77	64		
Fri Jan 29 11:58:08 2010	Seattle, Washington, United States (98101)	 Clear	 45 7 	66	Calm		 	29.97	34		10
Fri Jan 29 11:58:09 2010	Milwaukee, Wisconsin, United States (53201)	 Partly Cloudy	 3 -16 	55	NW	8		30.50	-9	-9	10
Fri Jan 29 11:58:10 2010	Detroit, Michigan, United States (48201)	 Clear	 7 -14 	72	W	6		30.42	N/A	-2	10
Fri Jan 29 11:58:12 2010	Philadelphia, Pennsylvania, United States (19019)	 Clear	 18 -8 	41	NW	15		30.33	-2	4	10
Fri Jan 29 12:42:18 2010	San Jose, California, United States (95101)	 Clear	 43 6 	85	Calm		 	30.00	39		
Fri Jan 29 12:42:19 2010	Charlotte, North Carolina, United States (28201)	 Clear	 38 3 	57	Calm		 	30.20	24	34	
Fri Jan 29 12:42:20 2010	San Diego, California, United States (92101)	 Mostly Cloudy	 51 11 	88	Calm		 	30.21	48		
Fri Jan 29 12:42:22 2010	Denver, Colorado, United States (80214)	 Fog	 28 -2 	83	Calm		 	30.42	23	23	
Fri Jan 29 12:42:23 2010	Memphis, Tennessee, United States (37501)	 Overcast	 32 0 	64	ENE	18		30.21	21	21	10
Fri Jan 29 12:42:24 2010	Los Angeles, California, United States (90001)	 Clear	 52 11 	77	Calm		 	30.03	45		10
Fri Jan 29 12:42:25 2010	El Paso, Texas, United States (79901)	 Overcast	 30 -1 	86	N	10		30.12	27	22	7
Fri Jan 29 12:42:27 2010	New York, New York, United States (10001)	 Clear	 18 -8 	45	W	10	16	30.27	N/A	7	10
Fri Jan 29 12:42:28 2010	Baltimore, Maryland, United States (21201)	 Mostly Cloudy	 18 -8 	45	NNW	8		30.36	N/A	8	10
Fri Jan 29 12:42:29 2010	Las Vegas, Nevada, United States (89101)	 Partly Cloudy	 40 5 	78	Calm		 	30.12	34		
Fri Jan 29 12:42:30 2010	Washington, D.C., United States (20001)	 Mostly Cloudy	 19 -7 	42	NNW	14		30.39	N/A	7	10
Fri Jan 29 12:42:31 2010	Austin, Texas, United States (73301)	 Light Rain	 41 5 	97	N	13	24	29.93	41	38	
Fri Jan 29 12:42:33 2010	San Francisco, California, United States (94101)	 Mostly Cloudy	 48 9 	94	Calm		 	30.03	46		7
Fri Jan 29 12:42:34 2010	Oklahoma City, Oklahoma, United States (73101)	 Mist	 28 -2 	86	Calm		 	30.17	24		
Fri Jan 29 12:42:35 2010	Nashville, Tennessee, United States (37201)	 Overcast	 28 -2 	59	N	12		30.33	16	19	10
Fri Jan 29 12:42:37 2010	Fort Worth, Texas, United States (76101)	 Rain	 39 4 	87	Calm		 	30.06	36		7
Fri Jan 29 12:42:38 2010	Phoenix, Arizona, United States (85001)	 Overcast	 51 10 	87	Calm		 	30.02	47		
Fri Jan 29 12:42:39 2010	Portland, Oregon, United States (97201)	 Overcast	 47 8 	63	NNW	7	14	29.95	35	44	
Fri Jan 29 12:42:40 2010	Chicago, Illinois, United States (60601)	 Mostly Cloudy	 7 -14 	51	NW	7		30.50	-8	-4	10
Fri Jan 29 12:42:42 2010	San Antonio, Texas, United States (78201)	 Light Rain	 48 9 	81	NW	8	10	29.87	43	43	
Fri Jan 29 12:42:43 2010	Indianapolis, Indiana, United States (46201)	 Overcast	 12 -11 	66	NE	4	5	30.50	3	4	
Fri Jan 29 12:42:44 2010	Boston, Massachusetts, United States (02101)	 Clear	 14 -10 	41	W	22	36	30.00	-6	-3	10
Fri Jan 29 12:42:45 2010	Jacksonville, Florida, United States (32099)	 Sct 46°F8°C		88	Calm		 	30.12	42		
Fri Jan 29 12:42:46 2010	Columbus, Ohio, United States (43085)	 Overcast	 10 -12 	61	NNW	6		30.45	N/A	2	10
Fri Jan 29 12:42:48 2010	Dallas, Texas, United States (75201)	 Light Rain	 36 2 	100	NNE	3		30.01	36		
Fri Jan 29 12:42:49 2010	Houston, Texas, United States (77001)	 Overcast	 65 18 	100	S	3	12	29.76	65		
Fri Jan 29 12:42:50 2010	Seattle, Washington, United States (98101)	 Mostly Cloudy	 45 7 	71	Calm		 	29.97	36		10
Fri Jan 29 12:42:52 2010	Milwaukee, Wisconsin, United States (53201)	 Clear	 3 -16 	55	NW	7		30.50	-9	-8	10
Fri Jan 29 12:42:53 2010	Detroit, Michigan, United States (48201)	 Clear	 7 -14 	72	W	6		30.45	N/A	-2	10
Fri Jan 29 12:42:54 2010	Philadelphia, Pennsylvania, United States (19019)	 Clear	 18 -8 	41	NW	14		30.33	-2	5	10
Fri Jan 29 13:30:00 2010	San Jose, California, United States (95101)	 Clear	 43 6 	86	Calm		 	30.00	39		
Fri Jan 29 13:30:02 2010	Charlotte, North Carolina, United States (28201)	 Partly Cloudy	 35 2 	61	Calm		 	30.23	23	33	
Fri Jan 29 13:30:03 2010	San Diego, California, United States (92101)	 Mostly Cloudy	 51 10 	87	Calm		 	30.21	47		
Fri Jan 29 13:30:04 2010	Denver, Colorado, United States (80214)	 Fog	 28 -3 	83	Calm		 	30.42	23	21	
Fri Jan 29 13:30:06 2010	Memphis, Tennessee, United States (37501)	 Overcast	 32 0 	64	ENE	13		30.24	21	23	10
Fri Jan 29 13:30:07 2010	Los Angeles, California, United States (90001)	 Clear	 52 11 	72	Calm		 	30.03	43		10
Fri Jan 29 13:30:08 2010	El Paso, Texas, United States (79901)	 Overcast	 30 -1 	86	N	9		30.12	27	23	10
Fri Jan 29 13:30:09 2010	New York, New York, United States (10001)	 Clear	 16 -9 	45	WNW	16	28	30.27	-2	1	10
Fri Jan 29 13:30:11 2010	Baltimore, Maryland, United States (21201)	 Mostly Cloudy	 18 -8 	49	NW	9		30.39	1	7	10
Fri Jan 29 13:30:12 2010	Las Vegas, Nevada, United States (89101)	 Mostly Cloudy	 40 5 	77	Calm		 	30.12	34		
Fri Jan 29 13:30:13 2010	Washington, D.C., United States (20001)	 Mostly Cloudy	 19 -7 	42	NNW	16	21	30.42	N/A	6	10
Fri Jan 29 13:30:14 2010	Austin, Texas, United States (73301)	 Rain	 40 5 	97	N	8	22	29.99	41	37	
Fri Jan 29 13:30:15 2010	San Francisco, California, United States (94101)	 Overcast	 48 9 	94	Calm		 	30.03	46		7
Fri Jan 29 13:30:17 2010	Oklahoma City, Oklahoma, United States (73101)	 Mist	 28 -2 	86	Calm		 	30.20	24		
Fri Jan 29 13:30:18 2010	Nashville, Tennessee, United States (37201)	 Overcast	 28 -2 	59	NE	10		30.30	16	20	10
Fri Jan 29 13:30:19 2010	Fort Worth, Texas, United States (76101)	 Light Rain	 37 3 	87	Calm		 	30.06	34		10
Fri Jan 29 13:30:20 2010	Phoenix, Arizona, United States (85001)	 Overcast	 50 10 	88	Calm		 	30.02	47		
Fri Jan 29 13:30:22 2010	Portland, Oregon, United States (97201)	 Overcast	 47 8 	63	N	3	18	29.95	35	43	
Fri Jan 29 13:30:23 2010	Chicago, Illinois, United States (60601)	 Overcast	 7 -14 	51	NW	8		30.50	-8	-5	10
Fri Jan 29 13:30:24 2010	San Antonio, Texas, United States (78201)	 Light Rain	 46 8 	79	NNW	7	8	29.88	40	42	
Fri Jan 29 13:30:25 2010	Indianapolis, Indiana, United States (46201)	 Overcast	 12 -11 	65	ENE	2		30.50	3	3	
Fri Jan 29 13:30:27 2010	Boston, Massachusetts, United States (02101)	 Clear	 12 -11 	44	W	26	33	30.00	-6	-7	10
Fri Jan 29 13:30:29 2010	Jacksonville, Florida, United States (32099)	 Overcast	 47 8 	86	Calm		 	30.11	43		
Fri Jan 29 13:30:30 2010	Columbus, Ohio, United States (43085)	 Overcast	 10 -12 	61	N	6		30.45	N/A	2	10
Fri Jan 29 13:30:31 2010	Dallas, Texas, United States (75201)	 Light Rain	 36 2 	100	N	3	6	30.01	36	35	
Fri Jan 29 13:30:32 2010	Houston, Texas, United States (77001)	 Heavy Rain	 62 17 	100	NW	6	7	29.80	62		
Fri Jan 29 13:30:33 2010	Seattle, Washington, United States (98101)	 Clear	 45 7 	71	Calm		 	29.97	36		10
Fri Jan 29 13:30:35 2010	Milwaukee, Wisconsin, United States (53201)	 Partly Cloudy	 3 -16 	55	WNW	7		30.53	-9	-8	10
Fri Jan 29 13:30:36 2010	Detroit, Michigan, United States (48201)	 Clear	 9 -13 	66	NW	5		30.45	N/A	1	10
Fri Jan 29 13:30:37 2010	Philadelphia, Pennsylvania, United States (19019)	 Partly Cloudy	 18 -8 	41	NW	12	22	30.36	-2	6	10
Fri Jan 29 14:17:53 2010	San Jose, California, United States (95101)	 Clear	 43 6 	86	Calm		 	30.00	39		
Fri Jan 29 14:17:54 2010	Charlotte, North Carolina, United States (28201)	 Mostly Cloudy	 36 2 	61	Calm		 	30.24	24	33	
Fri Jan 29 14:17:55 2010	San Diego, California, United States (92101)	 Mostly Cloudy	 50 10 	87	Calm		 	30.22	46		
Fri Jan 29 14:17:56 2010	Denver, Colorado, United States (80214)	 Fog	 27 -3 	84	SSE	1		30.42	23		
Fri Jan 29 14:17:58 2010	Memphis, Tennessee, United States (37501)	 Snow	 32 0 	64	NE	15		30.24	21	22	10
Fri Jan 29 14:17:59 2010	Los Angeles, California, United States (90001)	 Clear	 50 10 	76	Calm		 	30.03	43		10
Fri Jan 29 14:18:00 2010	El Paso, Texas, United States (79901)	 Overcast	 30 -1 	80	NE	10		30.12	25	22	10
Fri Jan 29 14:18:01 2010	New York, New York, United States (10001)	 Clear	 16 -9 	45	NW	15	24	30.30	-2	2	10
Fri Jan 29 14:18:02 2010	Baltimore, Maryland, United States (21201)	 Mostly Cloudy	 18 -8 	49	NW	9		30.39	1	7	10
Fri Jan 29 14:18:03 2010	Las Vegas, Nevada, United States (89101)	 Mostly Cloudy	 40 5 	79	WSW	3	5	30.12	34	38	
Fri Jan 29 14:18:04 2010	Washington, D.C., United States (20001)	 Mostly Cloudy	 19 -7 	42	NNW	17	23	30.45	N/A	6	10
Fri Jan 29 14:18:05 2010	Austin, Texas, United States (73301)	 Rain	 39 4 	97	NNW	16	22	30.02	39	35	
Fri Jan 29 14:18:06 2010	San Francisco, California, United States (94101)	 Overcast	 48 9 	94	Calm		 	30.03	46		7
Fri Jan 29 14:18:08 2010	Oklahoma City, Oklahoma, United States (73101)	 Mist	 28 -2 	86	Calm		 	30.20	24		
Fri Jan 29 14:18:09 2010	Nashville, Tennessee, United States (37201)	 Overcast	 28 -2 	59	NE	10		30.30	16	20	10
Fri Jan 29 14:18:10 2010	Fort Worth, Texas, United States (76101)	 Light Rain	 37 3 	87	Calm		 	30.09	34		10
Fri Jan 29 14:18:11 2010	Phoenix, Arizona, United States (85001)	 Overcast	 49 9 	89	Calm		 	30.02	45		
Fri Jan 29 14:18:13 2010	Portland, Oregon, United States (97201)	 Overcast	 47 8 	64	NNE	4	13	29.95	35	42	
Fri Jan 29 14:18:14 2010	Chicago, Illinois, United States (60601)	 Mostly Cloudy	 5 -15 	60	NW	5		30.50	-6	-3	10
Fri Jan 29 14:18:15 2010	San Antonio, Texas, United States (78201)	 Light Rain	 44 7 	79	N	5	15	29.90	38	41	
Fri Jan 29 14:18:16 2010	Indianapolis, Indiana, United States (46201)	 Overcast	 12 -11 	66	NE	5	9	30.50	3	3	
Fri Jan 29 14:18:17 2010	Boston, Massachusetts, United States (02101)	 Clear	 12 -11 	44	W	26	33	30.00	-6	-7	10
Fri Jan 29 14:18:18 2010	Jacksonville, Florida, United States (32099)	 Overcast	 48 9 	85	Calm		 	30.12	44		
Fri Jan 29 14:18:20 2010	Columbus, Ohio, United States (43085)	 Overcast	 10 -12 	56	NNE	8		30.47	-2	0	10
Fri Jan 29 14:18:21 2010	Dallas, Texas, United States (75201)	 Light Rain	 36 2 	100	N	3	5	30.01	36	34	
Fri Jan 29 14:18:22 2010	Houston, Texas, United States (77001)	 Rain	 58 14 	100	N	2	5	29.81	58		
Fri Jan 29 14:18:23 2010	Seattle, Washington, United States (98101)	 Mostly Cloudy	 45 7 	76	Calm		 	29.97	37		10
Fri Jan 29 14:18:24 2010	Milwaukee, Wisconsin, United States (53201)	 Partly Cloudy	 3 -16 	60	NW	7		30.50	-8	-8	10
Fri Jan 29 14:18:26 2010	Detroit, Michigan, United States (48201)	 Clear	 9 -13 	66	WNW	5		30.47	N/A	1	10
Fri Jan 29 14:18:27 2010	Philadelphia, Pennsylvania, United States (19019)	 Partly Cloudy	 18 -8 	41	NW	12	22	30.36	-2	6	10
Fri Jan 29 15:02:40 2010	San Jose, California, United States (95101)	 Mostly Cloudy	 43 6 	87	Calm		 	30.00	40		
Fri Jan 29 15:02:42 2010	Charlotte, North Carolina, United States (28201)	 Mostly Cloudy	 38 3 	56	ESE	4		30.25	24	33	
Fri Jan 29 15:02:43 2010	San Diego, California, United States (92101)	 Mostly Cloudy	 50 10 	86	Calm		 	30.22	46		
Fri Jan 29 15:02:44 2010	Denver, Colorado, United States (80214)	 Fog	 26 -4 	84	Calm		 	30.43	21	21	
Fri Jan 29 15:02:45 2010	Memphis, Tennessee, United States (37501)	 Freezing Rain	 30 -1 	80	ENE	12		30.24	25	22	9
Fri Jan 29 15:02:46 2010	Los Angeles, California, United States (90001)	 Clear	 50 10 	76	Calm		 	30.03	43		10
Fri Jan 29 15:02:47 2010	El Paso, Texas, United States (79901)	 Overcast	 30 -1 	80	N	7		30.12	25	24	10
Fri Jan 29 15:02:48 2010	New York, New York, United States (10001)	 Clear	 16 -9 	45	WNW	17	28	30.30	-2	1	10
Fri Jan 29 15:02:50 2010	Baltimore, Maryland, United States (21201)	 Mostly Cloudy	 19 -7 	45	NW	8		30.42	1	10	10
Fri Jan 29 15:02:51 2010	Las Vegas, Nevada, United States (89101)	 Mostly Cloudy	 40 5 	77	Calm		 	30.12	33		
Fri Jan 29 15:02:52 2010	Washington, D.C., United States (20001)	 Overcast	 21 -6 	42	NNW	16		30.45	1	8	10
Fri Jan 29 15:02:53 2010	Austin, Texas, United States (73301)	 Light Rain	 39 4 	97	NNW	16	20	29.99	39	33	
Fri Jan 29 15:02:54 2010	San Francisco, California, United States (94101)	 Overcast	 48 9 	94	S	3		30.03	46	47	7
Fri Jan 29 15:02:55 2010	Oklahoma City, Oklahoma, United States (73101)	 Snow	 27 -3 	85	Calm		 	30.20	23		
Fri Jan 29 15:02:56 2010	Nashville, Tennessee, United States (37201)	 Snow	 28 -2 	55	NE	10		30.33	14	20	9
Fri Jan 29 15:02:58 2010	Fort Worth, Texas, United States (76101)	 Light Rain	 37 3 	87	N	12		30.09	34	31	10
Fri Jan 29 15:02:59 2010	Phoenix, Arizona, United States (85001)	 Clear	 47 9 	89	Calm		 	30.03	44		
Fri Jan 29 15:03:00 2010	Portland, Oregon, United States (97201)	 Mostly Cloudy	 47 8 	64	NNW	7	24	29.95	35	42	
Fri Jan 29 15:03:02 2010	Chicago, Illinois, United States (60601)	 Mostly Cloudy	 7 -14 	56	NW	5		30.53	-6	-1	10
Fri Jan 29 15:03:03 2010	San Antonio, Texas, United States (78201)	 Light Rain	 43 6 	80	NNE	10	11	29.93	37	39	
Fri Jan 29 15:03:04 2010	Indianapolis, Indiana, United States (46201)	 Overcast	 12 -11 	66	NE	9		30.51	3	2	
Fri Jan 29 15:03:05 2010	Boston, Massachusetts, United States (02101)	 Clear	 14 -10 	37	W	25	35	30.03	-8	-4	10
Fri Jan 29 15:03:06 2010	Jacksonville, Florida, United States (32099)	 Overcast	 48 9 	85	Calm		 	30.12	44		
Fri Jan 29 15:03:07 2010	Columbus, Ohio, United States (43085)	 Overcast	 10 -12 	56	N	7		30.45	-2	1	10
Fri Jan 29 15:03:09 2010	Dallas, Texas, United States (75201)	 Light Rain	 36 2 	100	NNE	2	3	30.04	36	34	
Fri Jan 29 15:03:10 2010	Houston, Texas, United States (77001)	 Light Rain	 57 14 	100	NW	9		29.83	57		
Fri Jan 29 15:03:11 2010	Seattle, Washington, United States (98101)	 Partly Cloudy	 45 7 	76	Calm		 	29.97	37		10
Fri Jan 29 15:03:12 2010	Milwaukee, Wisconsin, United States (53201)	 Partly Cloudy	 3 -16 	60	NW	7		30.50	-8	-8	10
