6	www.washingtonpost.com							
(Timestamp)	(Location)	Condition	Temperature (F C)	RealFeel® (F C)	(Wind Speed) (mph)	Wind	Barometer	Humidity (%)
Fri Jan 29 09:24:55 2010	NEW YORK, NY	Clear	18 -8	17-Jan	14	W	30.19	43
Fri Jan 29 09:24:56 2010	BALTIMORE, MD	Mostly Clear	20 -7	13-Aug	10	NW	30.35	41
Fri Jan 29 09:24:57 2010	LAS VEGAS, NV	Clear	46 8	41 5	8	NE	30.06	62
Fri Jan 29 09:24:58 2010	WASHINGTON, DC	Mostly Clear	22 -6	16-Mar	17	NNW	30.36	45
Fri Jan 29 09:24:59 2010	AUSTIN, TX	Rain	56 13	47 8	13	N	29.88	93
Fri Jan 29 09:25:00 2010	SAN FRANCISCO, CA	Intermittent Clouds	49 9	52 11	0	CLM	30.04	92
Fri Jan 29 09:25:01 2010	OKLAHOMA CITY, OK	Freezing Rain	28 -2	12-Nov	16	N	30.17	84
Fri Jan 29 09:25:02 2010	NASHVILLE, TN	Mostly Cloudy	29 -2	18 -8	10	NNE	30.38	56
Fri Jan 29 09:25:03 2010	FORT WORTH, TX	Rain	42 6	30 -1	10	NW	30.01	91
Fri Jan 29 09:25:04 2010	PHOENIX, AZ	Partly Cloudy	53 12	49 9	8	ESE	30.01	82
Fri Jan 29 09:25:06 2010	PORTLAND, OR	Cloudy	47 8	41 5	9	E	29.99	65
Fri Jan 29 09:25:07 2010	CHICAGO, IL	Intermittent Clouds	14-Jun	0 -18	6	NNW	30.56	54
Fri Jan 29 09:25:08 2010	SAN ANTONIO, TX	Rain	56 13	47 8	13	N	29.86	89
Fri Jan 29 09:25:09 2010	INDIANAPOLIS, IN	Mostly Clear	12-Oct	12-Oct	3	N	30.51	66
Fri Jan 29 09:25:10 2010	BOSTON, MA	Clear	16 -9	-11 -24	26	WNW	29.96	37
Fri Jan 29 09:25:11 2010	JACKSONVILLE, FL	Partly Cloudy	37 3	41 5	0	CLM	30.18	100
Fri Jan 29 09:25:12 2010	COLUMBUS, OH	Mostly Clear	12-Nov	16-Mar	7	N	30.48	64
Fri Jan 29 09:25:13 2010	DALLAS, TX	Rain	43 6	34 1	8	NNE	30.00	93
Fri Jan 29 09:25:14 2010	HOUSTON, TX	Rain	62 17	53 12	18	SE	29.84	96
Fri Jan 29 09:25:15 2010	SEATTLE, WA	Intermittent Clouds	48 9	42 6	9	SE	30.02	51
Fri Jan 29 09:25:16 2010	MILWAUKEE, WI	Mostly Clear	16-Apr	-5 -21	7	NW	30.57	52
Fri Jan 29 09:25:17 2010	DETROIT, MI	Clear	14-Jul	-4 -20	8	WNW	30.50	69
Fri Jan 29 09:25:18 2010	PHILADELPHIA, PA	Clear	19 -7	-2 -19	18	NW	30.31	34
Fri Jan 29 11:56:48 2010	SAN JOSE, CA	Cloudy	46 8	49 9	0	CLM	30.03	92
Fri Jan 29 11:56:49 2010	CHARLOTTE, NC	Cloudy	41 5	35 2	8	NE	30.20	42
Fri Jan 29 11:56:50 2010	SAN DIEGO, CA	Intermittent Clouds	54 12	56 13	0	CLM	30.06	82
Fri Jan 29 11:56:51 2010	DENVER, CO	Cloudy	27 -3	29 -2	2	N	30.15	86
Fri Jan 29 11:56:52 2010	MEMPHIS, TN	Cloudy	32 0	16 -9	18	ENE	30.24	63
Fri Jan 29 11:56:53 2010	LOS ANGELES, CA	Mostly Clear	54 12	56 13	0	CLM	30.04	71
Fri Jan 29 11:56:54 2010	EL PASO, TX	Flurries	30 -1	15 -9	13	N	30.11	80
Fri Jan 29 11:56:55 2010	NEW YORK, NY	Clear	17 -8	13-Aug	8	WNW	30.25	42
Fri Jan 29 11:56:56 2010	BALTIMORE, MD	Intermittent Clouds	19 -7	14 -10	6	NW	30.37	43
Fri Jan 29 11:56:57 2010	LAS VEGAS, NV	Mostly Clear	45 7	45 7	3	ESE	30.06	62
Fri Jan 29 11:56:58 2010	WASHINGTON, DC	Cloudy	21 -6	15-May	14	NNW	30.39	41
Fri Jan 29 11:57:00 2010	AUSTIN, TX	Cloudy	49 9	40 4	14	NW	29.94	89
Fri Jan 29 11:57:01 2010	SAN FRANCISCO, CA	Cloudy	46 8	46 8	3	SSW	30.04	95
Fri Jan 29 11:57:02 2010	OKLAHOMA CITY, OK	Freezing Rain	26 -3	14 -10	10	NNE	30.15	84
Fri Jan 29 11:57:03 2010	NASHVILLE, TN	Cloudy	28 -2	20 -7	8	N	30.35	58
Fri Jan 29 11:57:04 2010	FORT WORTH, TX	Showers	39 4	24 -4	15	NW	29.99	92
Fri Jan 29 11:57:05 2010	PHOENIX, AZ	Mostly Cloudy	53 12	50 10	7	E	30.02	82
Fri Jan 29 11:57:06 2010	PORTLAND, OR	Cloudy	47 8	44 7	6	NE	29.95	65
Fri Jan 29 11:57:08 2010	CHICAGO, IL	Intermittent Clouds	15-May	-4 -20	7	N	30.54	57
Fri Jan 29 11:57:09 2010	SAN ANTONIO, TX	Cloudy	49 9	40 4	14	NNW	29.87	89
Fri Jan 29 11:57:10 2010	INDIANAPOLIS, IN	Cloudy	12-Nov	13-Sep	5	N	30.48	70
Fri Jan 29 11:57:11 2010	BOSTON, MA	Clear	14 -10	-14 -26	28	W	29.97	40
Fri Jan 29 11:57:12 2010	JACKSONVILLE, FL	Cloudy	39 4	43 6	0	CLM	30.17	100
Fri Jan 29 11:57:13 2010	COLUMBUS, OH	Intermittent Clouds	12-Oct	15-May	6	NNW	30.49	61
Fri Jan 29 11:57:14 2010	DALLAS, TX	Showers	41 5	36 2	5	NNE	30.01	93
Fri Jan 29 11:57:15 2010	HOUSTON, TX	Cloudy	66 19	63 17	13	S	29.80	93
Fri Jan 29 11:57:16 2010	SEATTLE, WA	Cloudy	50 10	46 8	7	ESE	29.98	46
Fri Jan 29 11:57:18 2010	MILWAUKEE, WI	Mostly Clear	16-Apr	-7 -22	8	NW	30.55	54
Fri Jan 29 11:57:19 2010	DETROIT, MI	Mostly Clear	14-Jul	-1 -18	7	W	30.49	69
Fri Jan 29 11:57:20 2010	PHILADELPHIA, PA	Mostly Clear	18 -8	0 -18	15	NW	30.33	39
Fri Jan 29 12:41:27 2010	SAN JOSE, CA	Clear	46 8	49 9	0	CLM	30.02	88
Fri Jan 29 12:41:29 2010	CHARLOTTE, NC	Cloudy	40 4	34 1	8	NE	30.21	41
Fri Jan 29 12:41:30 2010	SAN DIEGO, CA	Intermittent Clouds	54 12	56 13	0	CLM	30.05	77
Fri Jan 29 12:41:31 2010	DENVER, CO	Cloudy	25 -4	29 -2	2	N	30.14	86
Fri Jan 29 12:41:32 2010	MEMPHIS, TN	Cloudy	32 0	16 -9	18	ENE	30.21	63
Fri Jan 29 12:41:34 2010	LOS ANGELES, CA	Clear	52 11	55 13	0	CLM	30.04	76
Fri Jan 29 12:41:35 2010	EL PASO, TX	Cloudy	30 -1	20 -7	10	N	30.11	85
Fri Jan 29 12:41:36 2010	NEW YORK, NY	Clear	17 -8	16-Apr	10	W	30.25	45
Fri Jan 29 12:41:37 2010	BALTIMORE, MD	Mostly Cloudy	18 -8	13-Sep	8	NNW	30.38	45
Fri Jan 29 12:41:38 2010	LAS VEGAS, NV	Intermittent Clouds	42 6	46 8	0	CLM	30.06	70
Fri Jan 29 12:41:39 2010	WASHINGTON, DC	Intermittent Clouds	20 -7	16-Apr	14	NNW	30.40	41
Fri Jan 29 12:41:41 2010	AUSTIN, TX	Rain	45 7	28 -2	20	NNW	29.94	93
Fri Jan 29 12:41:42 2010	SAN FRANCISCO, CA	Intermittent Clouds	49 9	52 11	0	CLM	30.04	89
Fri Jan 29 12:41:43 2010	OKLAHOMA CITY, OK	Freezing Rain	25 -4	13-Aug	15	NNE	30.15	88
Fri Jan 29 12:41:45 2010	NASHVILLE, TN	Cloudy	28 -2	16 -9	12	N	30.35	58
Fri Jan 29 12:41:46 2010	FORT WORTH, TX	Rain	38 3	24 -4	12	NW	30.02	89
Fri Jan 29 12:41:47 2010	PHOENIX, AZ	Mostly Cloudy	53 12	52 11	5	E	30.01	82
Fri Jan 29 12:41:48 2010	PORTLAND, OR	Cloudy	49 9	42 6	12	ESE	29.96	58
Fri Jan 29 12:41:49 2010	CHICAGO, IL	Intermittent Clouds	15-May	16-Mar	5	N	30.55	57
Fri Jan 29 12:41:51 2010	SAN ANTONIO, TX	Rain	46 8	31 -1	18	NNW	29.90	88
Fri Jan 29 12:41:52 2010	INDIANAPOLIS, IN	Cloudy	11-Dec	14-Jul	6	NNE	30.49	67
Fri Jan 29 12:41:53 2010	BOSTON, MA	Clear	14 -10	-11 -24	22	W	29.99	40
Fri Jan 29 12:41:54 2010	JACKSONVILLE, FL	Cloudy	41 5	45 7	0	CLM	30.17	100
Fri Jan 29 12:41:55 2010	COLUMBUS, OH	Cloudy	12-Oct	15-May	6	NNW	30.49	61
Fri Jan 29 12:41:57 2010	DALLAS, TX	Showers	41 5	31 -1	9	NE	29.99	88
Fri Jan 29 12:41:58 2010	HOUSTON, TX	T-Storms	66 19	66 19	0	CLM	29.78	100
Fri Jan 29 12:41:59 2010	SEATTLE, WA	Cloudy	49 9	43 6	9	E	29.97	47
Fri Jan 29 12:42:00 2010	MILWAUKEE, WI	Clear	16-Mar	-6 -21	7	WNW	30.56	57
Fri Jan 29 12:42:01 2010	DETROIT, MI	Partly Cloudy	14-Jul	17-Jan	6	WNW	30.50	69
Fri Jan 29 12:42:03 2010	PHILADELPHIA, PA	Clear	18 -8	17-Jan	14	WNW	30.34	39
Fri Jan 29 13:28:01 2010	SAN JOSE, CA	Clear	46 8	49 9	0	CLM	30.02	88
Fri Jan 29 13:28:16 2010	CHARLOTTE, NC	Partly Cloudy	38 3	33 1	7	ENE	30.24	40
Fri Jan 29 13:28:24 2010	SAN DIEGO, CA	Intermittent Clouds	53 12	56 13	0	CLM	30.04	76
Fri Jan 29 13:28:29 2010	DENVER, CO	Cloudy	23 -5	27 -3	3	N	30.14	87
Fri Jan 29 13:28:33 2010	MEMPHIS, TN	Cloudy	32 0	20 -7	13	ENE	30.24	63
Fri Jan 29 13:28:36 2010	LOS ANGELES, CA	Clear	52 11	55 13	0	CLM	30.04	71
Fri Jan 29 13:28:39 2010	EL PASO, TX	Cloudy	30 -1	21 -6	9	N	30.12	85
Fri Jan 29 13:28:41 2010	NEW YORK, NY	Clear	16 -9	-4 -20	16	WNW	30.25	44
Fri Jan 29 13:28:44 2010	BALTIMORE, MD	Intermittent Clouds	18 -8	14-Jul	9	NW	30.40	47
Fri Jan 29 13:28:45 2010	LAS VEGAS, NV	Intermittent Clouds	42 6	42 6	3	SSW	30.06	70
Fri Jan 29 13:28:51 2010	WASHINGTON, DC	Intermittent Clouds	20 -7	17-Jan	16	NNW	30.43	41
Fri Jan 29 13:29:03 2010	AUSTIN, TX	Showers	44 7	29 -2	17	NNW	29.96	95
Fri Jan 29 13:29:09 2010	SAN FRANCISCO, CA	Cloudy	48 9	51 11	0	CLM	30.03	92
Fri Jan 29 13:29:11 2010	OKLAHOMA CITY, OK	Freezing Rain	25 -4	13 -11	10	N	30.14	84
Fri Jan 29 13:29:13 2010	NASHVILLE, TN	Cloudy	28 -2	17 -8	10	NNE	30.32	58
Fri Jan 29 13:29:15 2010	FORT WORTH, TX	Showers	37 3	21 -6	16	NW	30.01	88
Fri Jan 29 13:29:17 2010	PHOENIX, AZ	Mostly Cloudy	53 12	49 9	8	E	30.01	82
Fri Jan 29 13:29:18 2010	PORTLAND, OR	Cloudy	48 9	39 4	14	E	29.98	60
Fri Jan 29 13:29:20 2010	CHICAGO, IL	Cloudy	15-May	-1 -18	6	NNW	30.56	57
Fri Jan 29 13:29:21 2010	SAN ANTONIO, TX	Showers	45 7	32 0	14	NNW	29.95	89
Fri Jan 29 13:29:24 2010	INDIANAPOLIS, IN	Cloudy	13 -11	15-May	7	NNE	30.50	64
Fri Jan 29 13:29:27 2010	BOSTON, MA	Clear	13 -11	-15 -26	26	W	30.01	42
Fri Jan 29 13:29:30 2010	JACKSONVILLE, FL	Mostly Cloudy	43 6	47 8	0	CLM	30.16	100
Fri Jan 29 13:29:33 2010	COLUMBUS, OH	Cloudy	12-Oct	15-May	6	N	30.51	61
Fri Jan 29 13:29:35 2010	DALLAS, TX	Rain	39 4	26 -3	10	N	29.99	92
Fri Jan 29 13:29:37 2010	HOUSTON, TX	T-Storms	61 16	57 14	7	NW	29.81	96
Fri Jan 29 13:29:39 2010	SEATTLE, WA	Intermittent Clouds	49 9	52 11	0	CLM	29.98	47
Fri Jan 29 13:29:40 2010	MILWAUKEE, WI	Mostly Clear	16-Mar	-6 -21	7	WNW	30.58	57
Fri Jan 29 13:29:41 2010	DETROIT, MI	Cloudy	13-Sep	14-Jul	5	W	30.50	66
Fri Jan 29 13:29:46 2010	PHILADELPHIA, PA	Partly Cloudy	17 -8	17-Feb	12	NW	30.35	42
Fri Jan 29 14:16:55 2010	SAN JOSE, CA	Clear	45 7	48 9	0	CLM	30.02	92
Fri Jan 29 14:16:57 2010	CHARLOTTE, NC	Cloudy	38 3	35 2	6	NNE	30.27	44
Fri Jan 29 14:16:59 2010	SAN DIEGO, CA	Intermittent Clouds	52 11	55 13	0	CLM	30.05	80
Fri Jan 29 14:17:00 2010	DENVER, CO	Mostly Cloudy	23 -5	27 -3	3	N	30.15	87
Fri Jan 29 14:17:01 2010	MEMPHIS, TN	Showers	32 0	15 -9	15	NE	30.25	63
Fri Jan 29 14:17:03 2010	LOS ANGELES, CA	Clear	50 10	53 12	0	CLM	30.04	76
Fri Jan 29 14:17:04 2010	EL PASO, TX	Cloudy	30 -1	20 -7	10	NNE	30.11	81
Fri Jan 29 14:17:05 2010	NEW YORK, NY	Sunny	16 -9	-2 -19	15	WNW	30.28	44
Fri Jan 29 14:17:07 2010	BALTIMORE, MD	Mostly Cloudy	18 -8	14-Jul	9	WNW	30.41	51
Fri Jan 29 14:17:08 2010	LAS VEGAS, NV	Intermittent Clouds	42 6	46 8	0	CLM	30.06	70
Fri Jan 29 14:17:10 2010	WASHINGTON, DC	Mostly Cloudy	20 -7	17-Jan	17	NNW	30.43	41
Fri Jan 29 14:17:11 2010	AUSTIN, TX	Showers	43 6	27 -3	20	NW	30.00	96
Fri Jan 29 14:17:12 2010	SAN FRANCISCO, CA	Cloudy	48 9	48 9	3	S	30.03	92
Fri Jan 29 14:17:13 2010	OKLAHOMA CITY, OK	Freezing Rain	25 -4	14 -10	9	NNE	30.17	84
Fri Jan 29 14:17:15 2010	NASHVILLE, TN	Cloudy	28 -2	18 -8	10	NNE	30.32	58
Fri Jan 29 14:17:16 2010	FORT WORTH, TX	Showers	36 2	18 -8	18	NW	30.04	89
Fri Jan 29 14:17:18 2010	PHOENIX, AZ	Partly Cloudy	51 11	50 10	5	E	30.01	89
Fri Jan 29 14:17:19 2010	PORTLAND, OR	Cloudy	47 8	39 4	12	ESE	29.99	65
Fri Jan 29 14:17:22 2010	CHICAGO, IL	Intermittent Clouds	15-May	14-Jun	3	NNW	30.56	57
Fri Jan 29 14:17:24 2010	SAN ANTONIO, TX	Showers	43 6	26 -3	21	NNW	29.98	92
Fri Jan 29 14:17:26 2010	INDIANAPOLIS, IN	Cloudy	13 -11	16-Mar	8	NNE	30.51	67
Fri Jan 29 14:17:27 2010	BOSTON, MA	Sunny	13 -11	-13 -25	24	W	30.01	42
Fri Jan 29 14:17:29 2010	JACKSONVILLE, FL	Mostly Cloudy	45 7	49 9	0	CLM	30.17	100
Fri Jan 29 14:17:30 2010	COLUMBUS, OH	Cloudy	12-Nov	17-Jan	8	NNE	30.52	55
Fri Jan 29 14:17:31 2010	DALLAS, TX	Showers	39 4	26 -3	12	N	30.01	88
Fri Jan 29 14:17:32 2010	HOUSTON, TX	Showers	58 14	48 9	16	NNW	29.83	93
Fri Jan 29 14:17:34 2010	SEATTLE, WA	Cloudy	45 7	45 7	3	NE	29.98	62
Fri Jan 29 14:17:35 2010	MILWAUKEE, WI	Partly Cloudy	16-Mar	-6 -21	7	WNW	30.57	60
Fri Jan 29 14:17:36 2010	DETROIT, MI	Cloudy	12-Oct	17-Feb	7	WNW	30.52	63
Fri Jan 29 14:17:38 2010	PHILADELPHIA, PA	Mostly Sunny	18 -8	16-Apr	12	NW	30.37	43
Fri Jan 29 15:01:28 2010	SAN JOSE, CA	Cloudy	45 7	48 9	0	CLM	30.02	92
Fri Jan 29 15:01:31 2010	CHARLOTTE, NC	Cloudy	38 3	35 2	6	NNE	30.27	44
Fri Jan 29 15:01:32 2010	SAN DIEGO, CA	Intermittent Clouds	52 11	55 13	0	CLM	30.05	80
Fri Jan 29 15:01:33 2010	DENVER, CO	Partly Cloudy	23 -5	29 -2	0	CLM	30.04	92
Fri Jan 29 15:01:35 2010	MEMPHIS, TN	Freezing Rain	32 0	15 -9	15	NE	30.24	64
Fri Jan 29 15:01:37 2010	LOS ANGELES, CA	Mostly Clear	50 10	53 12	0	CLM	30.04	76
Fri Jan 29 15:01:39 2010	EL PASO, TX	Cloudy	30 -1	20 -7	10	NNE	30.11	81
Fri Jan 29 15:01:41 2010	NEW YORK, NY	Sunny	16 -9	-2 -19	15	WNW	30.28	44
Fri Jan 29 15:01:42 2010	BALTIMORE, MD	Mostly Cloudy	18 -8	14-Jul	9	WNW	30.41	51
Fri Jan 29 15:01:45 2010	LAS VEGAS, NV	Intermittent Clouds	42 6	46 8	0	CLM	30.06	70
Fri Jan 29 15:01:47 2010	WASHINGTON, DC	Mostly Cloudy	20 -7	17-Jan	17	NNW	30.43	41
Fri Jan 29 15:01:48 2010	AUSTIN, TX	T-Storms	43 6	29 -2	16	NW	30.01	93
Fri Jan 29 15:01:50 2010	SAN FRANCISCO, CA	Cloudy	48 9	48 9	3	S	30.03	92
Fri Jan 29 15:01:51 2010	OKLAHOMA CITY, OK	Freezing Rain	25 -4	13 -11	9	NNE	30.12	86
Fri Jan 29 15:01:53 2010	NASHVILLE, TN	Cloudy	28 -2	18 -8	10	NNE	30.32	58
Fri Jan 29 15:01:55 2010	FORT WORTH, TX	Showers	36 2	18 -8	18	NW	30.04	89
Fri Jan 29 15:01:56 2010	PHOENIX, AZ	Partly Cloudy	51 11	50 10	5	E	30.01	89
Fri Jan 29 15:01:58 2010	PORTLAND, OR	Cloudy	47 8	39 4	12	ESE	29.99	65
Fri Jan 29 15:02:00 2010	CHICAGO, IL	Intermittent Clouds	15-May	14-Jun	3	NNW	30.56	57
Fri Jan 29 15:02:02 2010	SAN ANTONIO, TX	Rain	41 5	25 -4	14	NNW	30.04	86
Fri Jan 29 15:02:05 2010	INDIANAPOLIS, IN	Cloudy	13 -11	16-Mar	8	NNE	30.51	67
Fri Jan 29 15:02:06 2010	BOSTON, MA	Sunny	13 -11	-13 -25	24	W	30.01	42
Fri Jan 29 15:02:09 2010	JACKSONVILLE, FL	Mostly Cloudy	45 7	49 9	0	CLM	30.17	100
Fri Jan 29 15:02:11 2010	COLUMBUS, OH	Cloudy	12-Nov	17-Jan	8	NNE	30.52	55
Fri Jan 29 15:02:12 2010	DALLAS, TX	Showers	39 4	26 -3	12	N	30.01	88
Fri Jan 29 15:02:15 2010	HOUSTON, TX	Showers	58 14	48 9	16	NNW	29.83	93
Fri Jan 29 15:02:17 2010	SEATTLE, WA	Cloudy	45 7	45 7	3	NE	29.98	62
Fri Jan 29 15:02:18 2010	MILWAUKEE, WI	Partly Cloudy	16-Mar	-6 -21	7	WNW	30.57	60
Fri Jan 29 15:02:21 2010	DETROIT, MI	Cloudy	12-Oct	17-Feb	7	WNW	30.52	63
Fri Jan 29 15:02:23 2010	PHILADELPHIA, PA	Mostly Sunny	18 -8	16-Apr	12	NW	30.37	43
Fri Jan 29 15:47:17 2010	SAN JOSE, CA	Mostly Cloudy	44 7	48 9	0	CLM	30.01	92
Fri Jan 29 15:47:18 2010	CHARLOTTE, NC	Cloudy	39 4	31 -1	12	ENE	30.28	40
Fri Jan 29 15:47:20 2010	SAN DIEGO, CA	Intermittent Clouds	51 11	54 12	0	CLM	30.05	79
Fri Jan 29 15:47:21 2010	DENVER, CO	Intermittent Clouds	23 -5	29 -2	2	W	30.16	86
Fri Jan 29 15:47:22 2010	MEMPHIS, TN	Sleet	30 -1	13 -11	15	ENE	30.24	80
Fri Jan 29 15:47:24 2010	LOS ANGELES, CA	Clear	50 10	53 12	0	CLM	30.04	76
Fri Jan 29 15:47:25 2010	EL PASO, TX	Mostly Cloudy	30 -1	24 -4	7	N	30.14	80
Fri Jan 29 15:47:27 2010	NEW YORK, NY	Sunny	16 -9	-3 -19	17	WNW	30.29	44
Fri Jan 29 15:47:28 2010	BALTIMORE, MD	Cloudy	19 -7	12-Nov	8	NW	30.42	47
Fri Jan 29 15:47:30 2010	LAS VEGAS, NV	Intermittent Clouds	41 5	41 5	3	WSW	30.06	73
Fri Jan 29 15:47:31 2010	WASHINGTON, DC	Cloudy	21 -6	16-Mar	16	NNW	30.45	41
Fri Jan 29 15:47:32 2010	AUSTIN, TX	T-Storms	42 6	30 -1	14	NNW	30.02	91
Fri Jan 29 15:47:34 2010	SAN FRANCISCO, CA	Cloudy	48 9	51 11	0	CLM	30.01	96
Fri Jan 29 15:47:35 2010	OKLAHOMA CITY, OK	Flurries	25 -4	13-Aug	14	NNE	30.14	84
Fri Jan 29 15:47:36 2010	NASHVILLE, TN	Flurries	28 -2	16 -9	10	NE	30.35	55
Fri Jan 29 15:47:37 2010	FORT WORTH, TX	Showers	36 2	20 -7	15	NW	30.05	89
Fri Jan 29 15:47:39 2010	PHOENIX, AZ	Partly Cloudy	51 11	51 11	3	ESE	30.02	89
Fri Jan 29 15:47:40 2010	PORTLAND, OR	Mostly Cloudy	47 8	41 5	9	ESE	29.98	65
Fri Jan 29 15:47:41 2010	CHICAGO, IL	Intermittent Clouds	15-May	17-Jan	6	NNW	30.56	57
Fri Jan 29 15:47:42 2010	SAN ANTONIO, TX	Rain	41 5	27 -3	14	NNW	30.02	92
Fri Jan 29 15:47:43 2010	INDIANAPOLIS, IN	Cloudy	13 -11	16-Apr	8	NE	30.49	67
Fri Jan 29 15:47:45 2010	BOSTON, MA	Sunny	14 -10	-11 -24	25	W	30.03	38
Fri Jan 29 15:47:46 2010	JACKSONVILLE, FL	Mostly Cloudy	48 9	55 13	0	CLM	30.19	93
Fri Jan 29 15:47:48 2010	COLUMBUS, OH	Cloudy	12-Nov	16-Apr	7	N	30.51	53
Fri Jan 29 15:47:49 2010	DALLAS, TX	Showers	37 3	26 -3	10	N	30.05	93
Fri Jan 29 15:47:50 2010	HOUSTON, TX	Cloudy	55 13	50 10	10	NNW	29.86	93
Fri Jan 29 15:47:52 2010	SEATTLE, WA	Cloudy	49 9	43 6	9	SE	29.99	49
Fri Jan 29 15:47:53 2010	MILWAUKEE, WI	Partly Sunny	16-Apr	-3 -19	7	NW	30.57	57
Fri Jan 29 15:47:55 2010	DETROIT, MI	Cloudy	11-Dec	-3 -19	12	NNW	30.52	61
Fri Jan 29 15:47:56 2010	PHILADELPHIA, PA	Cloudy	18 -8	17-Jan	15	NW	30.39	43
Fri Jan 29 16:34:47 2010	SAN JOSE, CA	Cloudy	45 7	48 9	0	CLM	30.02	92
Fri Jan 29 16:34:49 2010	CHARLOTTE, NC	Cloudy	40 4	34 1	10	E	30.28	36
Fri Jan 29 16:34:50 2010	SAN DIEGO, CA	Intermittent Clouds	51 11	55 13	0	CLM	30.06	76
Fri Jan 29 16:34:52 2010	DENVER, CO	Fog	23 -5	29 -2	0	CLM	30.04	92
