2	weather.cnn.com										
(Timestamp)	(Location)	Current Conditions  updated 	(Temperature) (°)	Hi (°)	Lo (°)	(Conditions)	Barometer (" Hg)	Feels like (°)	Humidity (%)	Wind	(Wind Speed) (mph)
Fri Jan 29 09:28:23 2010	Phoenix, AZ 	2:25 AM ET	55	64	47	Cloudy 	30.02	61	79	ESE	7
Fri Jan 29 09:28:24 2010	Portland, OR 	2:25 AM ET	48	50	39	Cloudy 	30	50	60	ESE	13
Fri Jan 29 09:28:26 2010	Chicago, IL 	2:25 AM ET	6	14	7	 Mostly Clear 	30.58	6	57	NNW	6
Fri Jan 29 09:28:29 2010	San Antonio, TX 	2:25 AM ET	57	68	41	Showers 	29.9	63	87	N	21
Fri Jan 29 09:28:31 2010	Indianapolis, IN 	2:25 AM ET	10	22	11	 Mostly Clear 	30.51	10	66	N	3
Fri Jan 29 09:28:33 2010	Boston, MA 	2:25 AM ET	18	40	15	 Clear 	29.95	18	35	WNW	33
Fri Jan 29 09:28:34 2010	Jacksonville, FL 	2:25 AM ET	36	70	37	 Clear 	30.18	36	100	CLM	0
Fri Jan 29 09:28:36 2010	Columbus, OH 	2:25 AM ET	10	33	13	 Clear 	30.49	10	70	N	8
Fri Jan 29 09:28:38 2010	Dallas, TX 	2:25 AM ET	45	56	34	Rain 	30.03	48	87	NE	7
Fri Jan 29 09:28:41 2010	Houston, TX 	2:25 AM ET	64	70	57	Showers 	29.88	67	93	SE	12
Fri Jan 29 09:28:42 2010	Seattle, WA 	2:25 AM ET	50	53	40	 Clear 	30.02	52	49	SE	5
Fri Jan 29 09:28:45 2010	Milwaukee, WI 	2:25 AM ET	5	13	4	 Mostly Clear 	30.58	5	47	NW	6
Fri Jan 29 09:28:46 2010	Detroit, MI 	2:25 AM ET	8	23	11	 Clear 	30.46	8	63	WNW	5
Fri Jan 29 09:28:48 2010	Philadelphia, PA 	2:25 AM ET	18	48	17	 Clear 	30.3	18	41	WNW	15
Fri Jan 29 11:59:49 2010	San Jose, CA 	5:29 AM ET	46	60	43	 Clear 	30.03	49	92	CLM	0
Fri Jan 29 11:59:51 2010	Charlotte, NC 	5:29 AM ET	41	62	32	Cloudy 	30.21	42	42	NE	8
Fri Jan 29 11:59:53 2010	San Diego, CA 	5:29 AM ET	54	65	51	 Intermittent Clouds 	30.07	59	82	CLM	0
Fri Jan 29 11:59:55 2010	Denver, CO 	5:29 AM ET	25	33	14	Fog 	30.08	25	92	WNW	5
Fri Jan 29 11:59:57 2010	Memphis, TN 	5:29 AM ET	32	51	31	Cloudy 	30.25	32	63	ENE	18
Fri Jan 29 11:59:59 2010	Los Angeles, CA 	5:29 AM ET	54	68	50	 Clear 	30.05	58	71	CLM	0
Fri Jan 29 12:00:01 2010	El Paso, TX 	5:29 AM ET	30	52	37	Flurries 	30.12	30	80	N	13
Fri Jan 29 12:00:02 2010	New York, NY 	5:29 AM ET	17	40	19	 Clear 	30.26	17	42	WNW	8
Fri Jan 29 12:00:04 2010	Baltimore, MD 	5:29 AM ET	19	47	22	 Intermittent Clouds 	30.38	19	43	NW	6
Fri Jan 29 12:00:06 2010	Las Vegas, NV 	5:29 AM ET	45	60	39	 Mostly Clear 	30.06	47	62	ESE	3
Fri Jan 29 12:00:08 2010	Washington, DC 	5:29 AM ET	21	54	22	Cloudy 	30.4	21	41	NNW	14
Fri Jan 29 12:00:10 2010	Austin, TX 	5:29 AM ET	49	68	42	Cloudy 	29.94	52	89	NW	14
Fri Jan 29 12:00:12 2010	San Francisco, CA 	5:29 AM ET	46	57	47	Cloudy 	30.04	49	95	SSW	3
Fri Jan 29 12:00:14 2010	Oklahoma City, OK 	5:29 AM ET	26	33	20	Freezing Rain 	30.16	26	84	NNE	10
Fri Jan 29 12:00:16 2010	Nashville, TN 	5:29 AM ET	28	45	25	Cloudy 	30.36	28	58	N	8
Fri Jan 29 12:00:18 2010	Fort Worth, TX 	5:29 AM ET	39	57	33	Showers 	30	39	92	NW	15
Fri Jan 29 12:00:20 2010	Phoenix, AZ 	5:29 AM ET	53	64	47	 Mostly Cloudy 	30.03	58	82	E	7
Fri Jan 29 12:00:22 2010	Portland, OR 	5:29 AM ET	47	50	39	Cloudy 	29.96	49	65	NE	6
Fri Jan 29 12:00:24 2010	Chicago, IL 	5:29 AM ET	5	14	7	 Intermittent Clouds 	30.55	5	57	N	7
Fri Jan 29 12:00:26 2010	San Antonio, TX 	5:29 AM ET	9	20	5	Cloudy 	29.88	11	89	NNW	14
Fri Jan 29 12:00:28 2010	Indianapolis, IN 	5:29 AM ET	11	22	11	Cloudy 	30.49	11	70	N	5
Fri Jan 29 12:00:30 2010	Boston, MA 	5:29 AM ET	14	40	15	 Clear 	29.97	14	40	W	28
Fri Jan 29 12:00:32 2010	Jacksonville, FL 	5:29 AM ET	39	70	37	Cloudy 	30.19	39	100	CLM	0
Fri Jan 29 12:00:34 2010	Columbus, OH 	5:29 AM ET	8	33	13	 Clear 	30.51	8	66	NNW	6
Fri Jan 29 12:00:36 2010	Dallas, TX 	5:29 AM ET	41	56	34	Showers 	29.98	44	92	NE	12
Fri Jan 29 12:00:38 2010	Houston, TX 	5:29 AM ET	66	70	57	Cloudy 	29.8	69	93	S	14
Fri Jan 29 12:00:40 2010	Seattle, WA 	5:29 AM ET	44	53	40	 Clear 	29.97	46	67	CLM	0
Fri Jan 29 12:00:42 2010	Milwaukee, WI 	5:29 AM ET	4	13	4	 Mostly Clear 	30.56	4	54	NW	8
Fri Jan 29 12:00:43 2010	Detroit, MI 	5:29 AM ET	7	23	11	 Clear 	30.48	7	69	W	6
Fri Jan 29 12:00:45 2010	Philadelphia, PA 	5:29 AM ET	17	48	17	 Clear 	30.34	17	42	NW	12
Fri Jan 29 12:44:34 2010	San Jose, CA 	5:29 AM ET	46	60	43	 Clear 	30.03	49	92	CLM	0
Fri Jan 29 12:44:36 2010	Charlotte, NC 	5:29 AM ET	41	62	32	Cloudy 	30.21	42	42	NE	8
Fri Jan 29 12:44:38 2010	San Diego, CA 	5:29 AM ET	54	65	51	 Intermittent Clouds 	30.07	59	82	CLM	0
Fri Jan 29 12:44:40 2010	Denver, CO 	5:29 AM ET	25	33	14	Fog 	30.08	25	92	WNW	5
Fri Jan 29 12:44:42 2010	Memphis, TN 	5:29 AM ET	32	51	31	Cloudy 	30.25	32	63	ENE	18
Fri Jan 29 12:44:44 2010	Los Angeles, CA 	5:29 AM ET	54	68	50	 Clear 	30.05	58	71	CLM	0
Fri Jan 29 12:44:46 2010	El Paso, TX 	5:29 AM ET	30	52	37	Flurries 	30.12	30	80	N	13
Fri Jan 29 12:44:48 2010	New York, NY 	5:29 AM ET	17	40	19	 Clear 	30.26	17	42	WNW	8
Fri Jan 29 12:44:49 2010	Baltimore, MD 	5:29 AM ET	19	47	22	 Intermittent Clouds 	30.38	19	43	NW	6
Fri Jan 29 12:44:51 2010	Las Vegas, NV 	5:29 AM ET	45	60	39	 Mostly Clear 	30.06	47	62	ESE	3
Fri Jan 29 12:44:53 2010	Washington, DC 	5:29 AM ET	21	54	22	Cloudy 	30.4	21	41	NNW	14
Fri Jan 29 12:44:55 2010	Austin, TX 	5:29 AM ET	49	68	42	Cloudy 	29.94	52	89	NW	14
Fri Jan 29 12:44:57 2010	San Francisco, CA 	5:29 AM ET	46	57	47	Cloudy 	30.04	49	95	SSW	3
Fri Jan 29 12:44:59 2010	Oklahoma City, OK 	5:29 AM ET	26	33	20	Freezing Rain 	30.16	26	84	NNE	10
Fri Jan 29 12:45:01 2010	Nashville, TN 	5:29 AM ET	28	45	25	Cloudy 	30.36	28	58	N	8
Fri Jan 29 12:45:02 2010	Fort Worth, TX 	5:29 AM ET	39	57	33	Showers 	30	39	92	NW	15
Fri Jan 29 12:45:04 2010	Phoenix, AZ 	5:29 AM ET	53	64	47	 Mostly Cloudy 	30.03	58	82	E	7
Fri Jan 29 12:45:06 2010	Portland, OR 	5:29 AM ET	47	50	39	Cloudy 	29.96	49	65	NE	6
Fri Jan 29 12:45:08 2010	Chicago, IL 	5:29 AM ET	5	14	7	 Intermittent Clouds 	30.55	5	57	N	7
Fri Jan 29 12:45:10 2010	San Antonio, TX 	5:29 AM ET	49	68	41	Cloudy 	29.88	52	89	NNW	14
Fri Jan 29 12:45:12 2010	Indianapolis, IN 	5:29 AM ET	11	22	11	Cloudy 	30.49	11	70	N	5
Fri Jan 29 12:45:14 2010	Boston, MA 	5:29 AM ET	14	40	15	 Clear 	29.97	14	40	W	28
Fri Jan 29 12:45:16 2010	Jacksonville, FL 	5:29 AM ET	39	70	37	Cloudy 	30.19	39	100	CLM	0
Fri Jan 29 12:45:18 2010	Columbus, OH 	5:29 AM ET	8	33	13	 Clear 	30.51	8	66	NNW	6
Fri Jan 29 12:45:20 2010	Dallas, TX 	5:29 AM ET	41	56	34	Showers 	29.98	44	92	NE	12
Fri Jan 29 12:45:22 2010	Houston, TX 	6:39 AM ET	66	70	57	Showers 	29.8	69	93	S	15
Fri Jan 29 12:45:24 2010	Seattle, WA 	6:39 AM ET	45	53	40	 Mostly Cloudy 	29.96	48	68	CLM	0
Fri Jan 29 12:45:26 2010	Milwaukee, WI 	5:29 AM ET	4	13	4	 Mostly Clear 	30.56	4	54	NW	8
Fri Jan 29 12:45:27 2010	Detroit, MI 	6:39 AM ET	7	23	11	 Partly Cloudy 	30.5	7	69	W	6
Fri Jan 29 12:45:30 2010	Philadelphia, PA 	5:29 AM ET	17	48	17	 Clear 	30.34	17	42	NW	12
Fri Jan 29 13:32:19 2010	San Jose, CA 	6:39 AM ET	46	60	43	 Clear 	30.03	49	88	CLM	0
Fri Jan 29 13:32:21 2010	Charlotte, NC 	6:39 AM ET	40	62	32	Cloudy 	30.22	41	41	NE	8
Fri Jan 29 13:32:22 2010	San Diego, CA 	6:39 AM ET	54	65	51	 Intermittent Clouds 	30.06	59	77	CLM	0
Fri Jan 29 13:32:24 2010	Denver, CO 	6:39 AM ET	23	33	14	Fog 	30.13	23	95	W	6
Fri Jan 29 13:32:26 2010	Memphis, TN 	7:29 AM ET	32	51	31	Cloudy 	30.24	32	63	ENE	13
Fri Jan 29 13:32:28 2010	Los Angeles, CA 	6:39 AM ET	52	68	50	 Clear 	30.04	57	76	CLM	0
Fri Jan 29 13:32:30 2010	El Paso, TX 	6:39 AM ET	30	52	37	Cloudy 	30.12	30	85	N	10
Fri Jan 29 13:32:32 2010	New York, NY 	7:29 AM ET	16	40	19	 Clear 	30.26	16	44	WNW	16
Fri Jan 29 13:32:34 2010	Baltimore, MD 	6:39 AM ET	18	47	22	 Mostly Cloudy 	30.39	18	45	NNW	8
Fri Jan 29 13:32:36 2010	Las Vegas, NV 	7:29 AM ET	42	60	39	 Intermittent Clouds 	30.06	45	70	SSW	3
Fri Jan 29 13:32:38 2010	Washington, DC 	7:29 AM ET	20	54	22	 Intermittent Clouds 	30.44	20	41	NNW	16
Fri Jan 29 13:32:40 2010	Austin, TX 	6:39 AM ET	45	68	42	Rain 	29.95	48	93	NNW	20
Fri Jan 29 13:32:41 2010	San Francisco, CA 	6:39 AM ET	49	57	47	 Intermittent Clouds 	30.04	52	89	CLM	0
Fri Jan 29 13:32:43 2010	Oklahoma City, OK 	6:39 AM ET	25	33	20	Freezing Rain 	30.16	25	88	NNE	15
Fri Jan 29 13:32:45 2010	Nashville, TN 	6:39 AM ET	28	45	25	Cloudy 	30.36	28	58	N	12
Fri Jan 29 13:32:47 2010	Fort Worth, TX 	7:29 AM ET	37	57	33	Showers 	30.02	37	88	NW	16
Fri Jan 29 13:32:49 2010	Phoenix, AZ 	6:39 AM ET	53	64	47	 Mostly Cloudy 	30.02	58	82	E	5
Fri Jan 29 13:32:51 2010	Portland, OR 	6:39 AM ET	49	50	39	Cloudy 	29.97	51	58	ESE	12
Fri Jan 29 13:32:53 2010	Chicago, IL 	7:29 AM ET	5	14	7	Cloudy 	30.58	5	57	NNW	6
Fri Jan 29 13:32:56 2010	San Antonio, TX 	6:39 AM ET	46	68	41	Rain 	29.91	49	88	NNW	18
Fri Jan 29 13:32:57 2010	Indianapolis, IN 	7:29 AM ET	13	22	11	Cloudy 	30.51	13	64	NNE	7
Fri Jan 29 13:32:59 2010	Boston, MA 	7:29 AM ET	13	40	15	 Clear 	30.01	13	42	W	26
Fri Jan 29 13:33:01 2010	Jacksonville, FL 	6:39 AM ET	41	70	37	Cloudy 	30.18	45	100	CLM	0
Fri Jan 29 13:33:03 2010	Columbus, OH 	6:39 AM ET	9	33	13	Cloudy 	30.51	9	66	NNW	6
Fri Jan 29 13:33:05 2010	Dallas, TX 	7:29 AM ET	39	56	34	Rain 	30	39	92	N	10
Fri Jan 29 13:33:07 2010	Houston, TX 	6:39 AM ET	66	70	57	Showers 	29.8	69	93	S	15
Fri Jan 29 13:33:09 2010	Seattle, WA 	6:39 AM ET	45	53	40	 Mostly Cloudy 	29.96	48	68	CLM	0
Fri Jan 29 13:33:11 2010	Milwaukee, WI 	7:29 AM ET	3	13	4	 Mostly Clear 	30.59	3	57	WNW	7
Fri Jan 29 13:33:13 2010	Detroit, MI 	6:39 AM ET	7	23	11	 Partly Cloudy 	30.5	7	69	W	6
Fri Jan 29 13:33:15 2010	Philadelphia, PA 	6:39 AM ET	17	48	17	 Clear 	30.35	17	45	WNW	7
Fri Jan 29 14:20:05 2010	San Jose, CA 	7:29 AM ET	46	60	43	 Clear 	30.03	49	88	CLM	0
Fri Jan 29 14:20:07 2010	Charlotte, NC 	7:29 AM ET	38	62	32	 Partly Cloudy 	30.25	38	40	ENE	7
Fri Jan 29 14:20:09 2010	San Diego, CA 	7:29 AM ET	53	65	51	 Intermittent Clouds 	30.05	58	76	CLM	0
Fri Jan 29 14:20:11 2010	Denver, CO 	7:29 AM ET	19	33	14	Fog 	30.06	19	92	CLM	0
Fri Jan 29 14:20:13 2010	Memphis, TN 	7:29 AM ET	32	51	31	Cloudy 	30.24	32	63	ENE	13
Fri Jan 29 14:20:15 2010	Los Angeles, CA 	7:29 AM ET	52	68	50	 Clear 	30.04	56	71	CLM	0
Fri Jan 29 14:20:18 2010	El Paso, TX 	7:29 AM ET	30	52	37	Cloudy 	30.13	30	85	N	9
Fri Jan 29 14:20:20 2010	New York, NY 	7:29 AM ET	16	40	19	 Clear 	30.26	16	44	WNW	16
Fri Jan 29 14:20:22 2010	Baltimore, MD 	7:29 AM ET	18	47	22	 Intermittent Clouds 	30.41	18	47	NW	9
Fri Jan 29 14:20:24 2010	Las Vegas, NV 	7:29 AM ET	42	60	39	 Intermittent Clouds 	30.06	45	70	SSW	3
Fri Jan 29 14:20:26 2010	Washington, DC 	7:29 AM ET	20	54	22	 Intermittent Clouds 	30.44	20	41	NNW	16
Fri Jan 29 14:20:27 2010	Austin, TX 	7:29 AM ET	44	68	42	Showers 	29.96	47	95	NNW	17
Fri Jan 29 14:20:29 2010	San Francisco, CA 	7:29 AM ET	48	57	47	Cloudy 	30.03	51	92	CLM	0
Fri Jan 29 14:20:31 2010	Oklahoma City, OK 	7:29 AM ET	25	33	20	Freezing Rain 	30.14	25	84	N	10
Fri Jan 29 14:20:33 2010	Nashville, TN 	7:29 AM ET	28	45	25	Cloudy 	30.33	28	58	NNE	10
Fri Jan 29 14:20:35 2010	Fort Worth, TX 	7:29 AM ET	37	57	33	Showers 	30.02	37	88	NW	16
Fri Jan 29 14:20:37 2010	Phoenix, AZ 	7:29 AM ET	53	64	47	 Mostly Cloudy 	30.01	58	82	E	8
Fri Jan 29 14:20:39 2010	Portland, OR 	7:29 AM ET	48	50	39	Cloudy 	29.98	50	60	E	14
Fri Jan 29 14:20:41 2010	Chicago, IL 	7:29 AM ET	5	14	7	Cloudy 	30.58	5	57	NNW	6
Fri Jan 29 14:20:43 2010	San Antonio, TX 	7:29 AM ET	45	68	41	Showers 	29.95	48	89	NNW	14
Fri Jan 29 14:20:45 2010	Indianapolis, IN 	7:29 AM ET	13	22	11	Cloudy 	30.51	13	64	NNE	7
Fri Jan 29 14:20:47 2010	Boston, MA 	7:29 AM ET	13	40	15	 Clear 	30.01	13	42	W	26
Fri Jan 29 14:20:49 2010	Jacksonville, FL 	7:29 AM ET	43	70	37	 Mostly Cloudy 	30.17	47	100	CLM	0
Fri Jan 29 14:20:51 2010	Columbus, OH 	7:29 AM ET	9	33	13	 Clear 	30.53	9	66	NNW	5
Fri Jan 29 14:20:53 2010	Dallas, TX 	7:29 AM ET	39	56	34	Rain 	30	39	92	N	10
Fri Jan 29 14:20:55 2010	Houston, TX 	7:29 AM ET	67	70	57	Thunderstorms 	29.79	69	93	S	8
Fri Jan 29 14:20:57 2010	Seattle, WA 	7:29 AM ET	44	53	40	 Mostly Cloudy 	29.97	47	73	CLM	0
Fri Jan 29 14:20:59 2010	Milwaukee, WI 	7:29 AM ET	3	13	4	 Mostly Clear 	30.59	3	57	WNW	7
Fri Jan 29 14:21:01 2010	Detroit, MI 	7:29 AM ET	8	23	11	 Clear 	30.5	8	66	WNW	5
Fri Jan 29 14:21:03 2010	Philadelphia, PA 	7:29 AM ET	16	48	17	 Clear 	30.36	16	49	WNW	10
Fri Jan 29 15:04:57 2010	San Jose, CA 	8:24 AM ET	45	60	43	 Clear 	30.03	48	92	CLM	0
Fri Jan 29 15:04:59 2010	Charlotte, NC 	8:24 AM ET	38	46	30	Cloudy 	30.28	38	44	NNE	6
Fri Jan 29 15:05:01 2010	San Diego, CA 	8:24 AM ET	52	65	51	 Intermittent Clouds 	30.06	57	80	CLM	0
Fri Jan 29 15:05:03 2010	Denver, CO 	8:24 AM ET	20	40	19	Fog 	30.14	20	91	WSW	5
Fri Jan 29 15:05:05 2010	Memphis, TN 	8:24 AM ET	32	51	31	Freezing Rain 	30.25	32	64	NE	15
Fri Jan 29 15:05:08 2010	Los Angeles, CA 	8:24 AM ET	50	68	50	 Clear 	30.04	55	76	CLM	0
Fri Jan 29 15:05:10 2010	El Paso, TX 	8:24 AM ET	30	52	37	Cloudy 	30.11	30	81	NNE	10
Fri Jan 29 15:05:12 2010	New York, NY 	8:24 AM ET	16	26	14	 Sunny 	30.29	16	44	WNW	15
Fri Jan 29 15:05:14 2010	Baltimore, MD 	8:24 AM ET	18	29	18	 Mostly Cloudy 	30.42	18	51	WNW	9
Fri Jan 29 15:05:16 2010	Las Vegas, NV 	8:24 AM ET	42	61	41	 Intermittent Clouds 	30.06	45	70	CLM	0
Fri Jan 29 15:05:18 2010	Washington, DC 	8:24 AM ET	20	29	22	 Mostly Cloudy 	30.45	20	41	NNW	17
Fri Jan 29 15:05:20 2010	Austin, TX 	8:24 AM ET	43	51	34	Showers 	30	46	96	NW	20
Fri Jan 29 15:05:22 2010	San Francisco, CA 	8:24 AM ET	48	57	47	Cloudy 	30.03	51	92	S	3
Fri Jan 29 15:05:24 2010	Oklahoma City, OK 	8:24 AM ET	25	33	20	Freezing Rain 	30.13	25	86	NNE	9
Fri Jan 29 15:05:26 2010	Nashville, TN 	8:24 AM ET	28	33	27	Cloudy 	30.33	28	58	NNE	10
Fri Jan 29 15:05:28 2010	Fort Worth, TX 	8:24 AM ET	36	38	25	Showers 	30.04	36	89	NW	18
Fri Jan 29 15:05:30 2010	Phoenix, AZ 	8:24 AM ET	51	64	47	 Partly Cloudy 	30.02	57	89	E	5
Fri Jan 29 15:05:32 2010	Portland, OR 	8:24 AM ET	47	50	39	Cloudy 	30	49	65	ESE	12
Fri Jan 29 15:05:34 2010	Chicago, IL 	8:24 AM ET	5	16	10	 Intermittent Clouds 	30.57	5	57	NNW	3
Fri Jan 29 15:05:36 2010	San Antonio, TX 	8:24 AM ET	43	68	41	Showers 	29.98	46	92	NNW	21
Fri Jan 29 15:05:38 2010	Indianapolis, IN 	8:24 AM ET	13	22	14	Cloudy 	30.52	13	67	NNE	8
Fri Jan 29 15:05:40 2010	Boston, MA 	8:24 AM ET	13	19	10	 Sunny 	30.02	13	42	W	24
Fri Jan 29 15:05:42 2010	Jacksonville, FL 	8:24 AM ET	45	70	37	 Mostly Cloudy 	30.18	49	100	CLM	0
Fri Jan 29 15:05:44 2010	Columbus, OH 	8:24 AM ET	9	33	13	 Sunny 	30.53	9	64	N	7
Fri Jan 29 15:05:47 2010	Dallas, TX 	8:24 AM ET	39	40	26	Showers 	30.01	39	88	N	12
Fri Jan 29 15:05:49 2010	Houston, TX 	8:24 AM ET	61	70	57	Thunderstorms 	29.82	66	87	NNW	15
Fri Jan 29 15:05:51 2010	Seattle, WA 	8:24 AM ET	45	53	40	 Mostly Cloudy 	29.96	48	76	CLM	0
Fri Jan 29 15:05:53 2010	Milwaukee, WI 	8:24 AM ET	3	13	4	 Partly Cloudy 	30.59	3	60	WNW	7
Fri Jan 29 15:05:54 2010	Detroit, MI 	8:24 AM ET	8	23	11	 Sunny 	30.53	8	66	WNW	5
Fri Jan 29 15:05:56 2010	Philadelphia, PA 	8:24 AM ET	17	48	17	 Sunny 	30.38	17	49	WNW	9
Fri Jan 29 15:50:31 2010	San Jose, CA 	9:24 AM ET	44	58	46	 Mostly Cloudy 	30.02	47	92	CLM	0
Fri Jan 29 15:50:32 2010	Charlotte, NC 	9:24 AM ET	39	46	30	Cloudy 	30.29	39	40	ENE	12
Fri Jan 29 15:50:34 2010	San Diego, CA 	9:24 AM ET	51	65	53	 Intermittent Clouds 	30.06	56	79	CLM	0
Fri Jan 29 15:50:36 2010	Denver, CO 	9:24 AM ET	17	40	19	Fog 	30.16	17	87	NW	5
Fri Jan 29 15:50:38 2010	Memphis, TN 	9:24 AM ET	30	33	25	Sleet 	30.25	30	80	ENE	15
Fri Jan 29 15:50:40 2010	Los Angeles, CA 	9:24 AM ET	50	68	50	 Clear 	30.04	55	76	CLM	0
Fri Jan 29 15:50:42 2010	El Paso, TX 	9:24 AM ET	30	48	35	Cloudy 	30.13	30	81	N	7
