18	igoogle.wunderground.com										
(Timestamp)	(Location)	(Temperature) (°F)	(Conditions)	Humidity (%)	(Wind Speed)	Wind (variable)	Visibility (miles)	Dew Point (°F)	Precipitation (% Chance of Rain)	Air quality	Pressure (in)
Fri Jan 29 13:27:39 2010	Fort Worth, Texas (76101) 	37.3	Light Rain	94	7.0	NW	10.0	36	70	Good 	30.02
Fri Jan 29 13:27:40 2010	Phoenix, Arizona (85001) 	52.9	Mostly Cloudy	81	1.0	SE	10.0	47	0	Good 	30.01
Fri Jan 29 13:27:42 2010	Portland, Oregon (97201) 	44.3	Overcast	68	3.0	NNE	10.0	34	77	Good 	29.94
Fri Jan 29 13:27:43 2010	Chicago, Illinois (60290) 	8.4	Overcast	52	Calm		10.0	-6	0	Good 	30.53
Fri Jan 29 13:27:44 2010	San Antonio, Texas (78201) 	45.6	Light Rain	79	10.3	NNW	10.0	40	60	Good 	29.89
Fri Jan 29 13:27:45 2010	Indianapolis, Indiana (46201) 	12.8	Overcast	69	1.0	NE	10.0	5	6	Good 	30.51
Fri Jan 29 13:27:47 2010	Boston, Massachusetts (02101) 	12.0	Clear	44	23.0	West	10.0	-6	0	Good 	30.00
Fri Jan 29 13:27:48 2010	Jacksonville, Florida (32099) 	46.8	Overcast	91	Calm		10.0	44	7	Good 	30.16
Fri Jan 29 13:27:49 2010	Columbus, Ohio (43085) 	9.4	Clear	69	1.0	NW	10.0	1	0	Good 	30.55
Fri Jan 29 13:27:51 2010	Dallas, Texas (75201) 	39.3	Light Rain Mist	89	6.0	NNE	6.0	36	70	Good 	30.08
Fri Jan 29 13:27:52 2010	Houston, Texas (77001) 	63.6	Heavy Rain Mist	95	6.0	NW	0.8	62	90	Good 	29.74
Fri Jan 29 13:27:53 2010	Seattle, Washington (98101) 	45.2	Mostly Cloudy	70	3.0	NNW	10.0	36	34	Unhealthy for Sensitive Groups 	29.94
Fri Jan 29 13:27:55 2010	Milwaukee, Wisconsin (53201) 	2.6	Partly Cloudy	59	1.0	NW	10.0	-8	1	Good 	30.67
Fri Jan 29 13:27:56 2010	Detroit, Michigan (48201) 	9.3	Clear	71	2.0	West	10.0	2	10	Good 	30.48
Fri Jan 29 13:27:57 2010	Philadelphia, Pennsylvania (19019) 	16.3	Clear	58	1.0	SW	10.0	4	0	Good 	30.35
Fri Jan 29 14:16:07 2010	San Jose, California (95101) 	44.0	Clear	100	Calm		9.0	44	35		30.03
Fri Jan 29 14:16:14 2010	Charlotte, North Carolina (28201) 	36.5	Mostly Cloudy	54	Calm		10.0	22	26	Good 	30.29
Fri Jan 29 14:16:15 2010	San Diego, California (92101) 	49.6	Mostly Cloudy	87	Calm		9.0	46	0	Moderate 	30.22
Fri Jan 29 14:16:19 2010	Denver, Colorado (80002) 	22.2	Scattered Clouds	89	Calm		4.0	20	0	Moderate 	30.20
Fri Jan 29 14:16:21 2010	Memphis, Tennessee (37501) 	31.5	Light Freezing Rain	36	Calm		9.0	8	100	Good 	30.47
Fri Jan 29 14:16:22 2010	Los Angeles, California (90001) 	50.6	Clear	77	Calm		10.0	44	0		30.03
Fri Jan 29 14:16:23 2010	El Paso, Texas (79821) 	34.5	Overcast	81	2.3	SSE	10.0	29	10	Good 	30.27
Fri Jan 29 14:16:25 2010	New York, New York (10001) 	17.1	Clear	52	5.0	WNW	10.0	2	0	Good 	30.32
Fri Jan 29 14:16:26 2010	Baltimore, Maryland (21201) 	19.7	Mostly Cloudy	52	4.0	SW	10.0	5	5		30.43
Fri Jan 29 14:16:27 2010	Las Vegas, Nevada (89044) 	39.8	Mostly Cloudy	72	Calm		10.0	32	0	Good 	29.97
Fri Jan 29 14:16:28 2010	Washington, District of Columbia (20001) 	20.2	Mostly Cloudy	49	7.0	North	10.0	4	7	Good 	30.42
Fri Jan 29 14:16:29 2010	Austin, Texas (78701) 	45.3	Heavy Rain Mist	81	Calm		2.5	40	80	Good 	29.44
Fri Jan 29 14:16:31 2010	San Francisco, California (94101) 	49.4	Overcast	86	Calm		7.0	45	51		30.02
Fri Jan 29 14:16:32 2010	Oklahoma City, Oklahoma (73101) 	24.1	Light Freezing Rain Mist	72	5.0	NNE	5.0	16	70	Good 	28.76
Fri Jan 29 14:16:33 2010	Nashville, Tennessee (37201) 	28.4	Overcast	59	5.0	West	10.0	16	100	Good 	30.29
Fri Jan 29 14:16:34 2010	Fort Worth, Texas (76101) 	36.8	Light Rain	94	6.0	NNW	10.0	35	70	Good 	30.04
Fri Jan 29 14:16:36 2010	Phoenix, Arizona (85001) 	51.7	Scattered Clouds	83	Calm		10.0	47	0	Good 	30.01
Fri Jan 29 14:16:37 2010	Portland, Oregon (97201) 	43.5	Overcast	70	4.0	NE	10.0	34	77	Good 	29.93
Fri Jan 29 14:16:40 2010	Chicago, Illinois (60290) 	8.3	Mostly Cloudy	56	1.0	West	10.0	-4	0	Good 	30.53
Fri Jan 29 14:16:41 2010	San Antonio, Texas (78201) 	43.6	Light Rain	79	7.2	NNW	10.0	38	60	Good 	29.92
Fri Jan 29 14:16:42 2010	Indianapolis, Indiana (46201) 	13.1	Overcast	67	1.0	NE	10.0	4	6	Good 	30.51
Fri Jan 29 14:16:44 2010	Boston, Massachusetts (02101) 	12.0	Clear	44	24.0	West	10.0	-6	0	Good 	30.01
Fri Jan 29 14:16:45 2010	Jacksonville, Florida (32099) 	47.4	Overcast	88	Calm		9.0	44	7	Good 	30.16
Fri Jan 29 14:16:46 2010	Columbus, Ohio (43085) 	9.6	Clear	69	Calm		10.0	2	0	Good 	30.56
Fri Jan 29 14:16:47 2010	Dallas, Texas (75201) 	38.7	Light Rain Mist	90	10.0	North	6.0	36	70	Good 	30.08
Fri Jan 29 14:16:49 2010	Houston, Texas (77001) 	59.0	Thunderstorm Rain Mist	95	6.0	WNW	5.0	58	90	Good 	29.78
Fri Jan 29 14:16:50 2010	Seattle, Washington (98101) 	45.8	Mostly Cloudy	66	1.0	WNW	10.0	35	34	Unhealthy for Sensitive Groups 	29.95
Fri Jan 29 14:16:51 2010	Milwaukee, Wisconsin (53201) 	2.6	Partly Cloudy	60	Calm		10.0	-8	1	Good 	30.64
Fri Jan 29 14:16:53 2010	Detroit, Michigan (48201) 	10.0	Clear	73	1.0	WNW	10.0	3	10	Good 	30.48
Fri Jan 29 14:16:54 2010	Philadelphia, Pennsylvania (19019) 	17.2	Clear	57	1.0	WSW	10.0	5	0	Good 	30.37
Fri Jan 29 15:00:46 2010	San Jose, California (95101) 	44.0	Clear	100	Calm		9.0	44	35	Moderate 	30.01
Fri Jan 29 15:00:47 2010	Charlotte, North Carolina (28201) 	38.4	Mostly Cloudy	50	1.0	SE	10.0	21	26	Good 	30.30
Fri Jan 29 15:00:49 2010	San Diego, California (92101) 	50.2	Mostly Cloudy	82	2.3	NE	9.0	45	0	Moderate 	30.21
Fri Jan 29 15:00:50 2010	Denver, Colorado (80002) 	19.6	Scattered Clouds	88	Calm		4.0	17	0	Moderate 	30.22
Fri Jan 29 15:00:51 2010	Memphis, Tennessee (37501) 	31.1	Light Freezing Rain	42	Calm		9.0	11	100	Good 	30.47
Fri Jan 29 15:00:53 2010	Los Angeles, California (90001) 	50.7	Clear	74	5.0	North	10.0	43	0		30.04
Fri Jan 29 15:00:54 2010	El Paso, Texas (79821) 	34.3	Overcast	80	2.0	WNW	10.0	29	10	Good 	30.30
Fri Jan 29 15:00:55 2010	New York, New York (10001) 	17.9	Clear	48	7.0	North	10.0	2	0	Good 	30.33
Fri Jan 29 15:00:56 2010	Baltimore, Maryland (21201) 	20.3	Mostly Cloudy	52	3.0	South	10.0	6	5	Good 	30.44
Fri Jan 29 15:00:58 2010	Las Vegas, Nevada (89044) 	38.6	Mostly Cloudy	71	Calm		10.0	30	0	Good 	29.97
Fri Jan 29 15:00:59 2010	Washington, District of Columbia (20001) 	20.7	Mostly Cloudy	47	8.0	NW	10.0	4	7	Good 	30.42
Fri Jan 29 15:01:01 2010	Austin, Texas (78701) 	44.2	Light Rain	82	Calm		10.0	39	80	Good 	29.44
Fri Jan 29 15:01:05 2010	San Francisco, California (94101) 	49.5	Overcast	86	Calm		7.0	46	51	Moderate 	30.00
Fri Jan 29 15:01:06 2010	Oklahoma City, Oklahoma (73101) 	24.8	Light Snow Mist	73	4.0	North	1.2	17	70	Good 	28.73
Fri Jan 29 15:01:08 2010	Nashville, Tennessee (37201) 	28.5	Overcast	59	7.0	NW	10.0	16	100	Good 	30.30
Fri Jan 29 15:01:09 2010	Fort Worth, Texas (76101) 	36.6	Light Rain	94	8.0	NW	10.0	35	70	Good 	30.06
Fri Jan 29 15:01:10 2010	Phoenix, Arizona (85001) 	51.1	Scattered Clouds	85	Calm		10.0	47	0	Good 	30.02
Fri Jan 29 15:01:12 2010	Portland, Oregon (97201) 	43.5	Overcast	70	5.0	ENE	10.0	34	77	Good 	29.92
Fri Jan 29 15:01:13 2010	Chicago, Illinois (60290) 	8.6	Mostly Cloudy	56	1.0	NW	10.0	-4	0	Good 	30.54
Fri Jan 29 15:01:14 2010	San Antonio, Texas (78201) 	42.8	Heavy Rain Mist	80	4.3	North	4.0	37	60	Good 	29.93
Fri Jan 29 15:01:16 2010	Indianapolis, Indiana (46201) 	13.8	Overcast	66	Calm		10.0	5	6	Good 	30.50
