1	www.uswx.com													
(Timestamp)	(Location)	(City & Timestamp)	Temperature (°F °C)	Dew Point (°F °C)	Humidity (%)	Pressure (in mb)	Wind Speed (MPH kts) 	Wind Dir	Ceiling (ft m)	Visibility (mi km)	Wind Chill (°F °C)	Conditions	Remarks	TypeIssue TimeExpire TimeExpires  
Fri Jan 29 08:46:00 2010	Indianapolis (46201)	Indianapolis, (KIND) as of 1:54am EST (52 mago)	12-Oct	17-Jan	67	30.49 1032.6 	3 3 	N360	 Unlimited Unlimited	10 16.1	16-Apr	Mostly Clear	No  this hour.1" inches of snow on ground at 12:54am EST .	
Fri Jan 29 08:46:02 2010	Boston (02101)	Boston, MA (KBOS) as of 1:54am EST (52 mago)	18 -8 	-5 -21 	35	29.94 1013.9 	33 G 4729 G 41	WNW290	 Unlimited Unlimited	10 16.1	-2 -19 	Clear	Peak Wind: 45 kts from 290 (0	High Wind Statement Thu, Jan 28, 10:40pm EST Fri, Jan 29, 5:00am EST 2 hrs, 13 mins  Special Weather Statement Thu, Jan 28, 11:41pm EST Fri, Jan 29, 8:00am EST 5 hrs, 13 minsNational Weather Service 
Fri Jan 29 08:46:04 2010	Jacksonville (32099)	Jacksonville, FL (KNIP) as of 1:53am EST (53 mago)	49 9 	41 5 	74	30.16 1021.5 	Calm Calm	--	 Unlimited Unlimited	10 16.1	--	Mostly Clear	No  this hour.	
Fri Jan 29 08:46:06 2010	Coluus (43085)	Coluus, OH (KOSU) as of 1:53am EST (53 mago)	12-Oct	17-Jan	69	30.47 1031.9 	8 7 	N350	 Unlimited Unlimited	10 16.1	-2 -19 	Clear	No  this hour.	
Fri Jan 29 08:46:08 2010	Dallas (75201)	Dallas, TX (KDAL) as of 1:41am CST (5 mago)	43 6 	41 5 	93	30.03 1017 	6 5 	N10	 1400 427	6 9.7	--	Light Rain, Mist	No  this hour.	Flood Warning Thu, Jan 28, 9:49pm CST Fri, Jan 29, 9:49am CST 8 hrs, 2 mins  Flood Warning Thu, Jan 28, 10:00pm CST Fri, Jan 29, 10:00am CST 8 hrs, 13 minsNational Weather Service Forecast 
Fri Jan 29 08:46:11 2010	Houston (77001)	Houston, TX (KHOU) as of 12:53am CST (53 mago)	64 18 	62 17 	93	29.87 1011.5 	12 G 2110 G 18	SE140	 600 183	9 14.5	--	Light Rain	0.04" of precipitation last hour.	
Fri Jan 29 08:46:15 2010	Seattle (98101)	Seattle, WA (KBFI) as of 10:53pm PST (53 mago)	47 8 	33 1 	58	29.99 1015.7 	3 3 	SE140	 Unlimited Unlimited	10 16.1	--	Clear	No  this hour.	
Fri Jan 29 08:46:18 2010	Milwaukee (53201)	Milwaukee, WI (KMKE) as of 12:52am CST (54 mago)	15-May	-11 -24 	47	30.56 1035 	6 5 	NW310	 Unlimited Unlimited	10 16.1	-6 -21 	Few Clouds	No  this hour.	
Fri Jan 29 08:46:20 2010	Detroit (48201)	Detroit, MI (KDET) as of 1:53am EST (53 mago)	13-Aug	-2 -19 	63	30.45 1031 	5 4 	WNW290	 Unlimited Unlimited	10 16.1	0 -18 	Clear	Lightning detector not working.	
Fri Jan 29 08:46:22 2010	Philadelphia (19019)	Philadelphia, PA (KPHL) as of 1:54am EST (52 mago)	20 -7 	-2 -19 	36	30.30 1026 	9 8 	WNW290	 Unlimited Unlimited	10 16.1	13-Sep	Clear	No  this hour.	
Fri Jan 29 09:29:12 2010	San Jose (95101)	San Jose, CA (KSJC) as of 11:53pm PST (36 mago)	47 8 	44 7 	90	30.03 1016.9 	5 4 	S180	 18000 5486	10 16.1	--	Mostly Cloudy	No  this hour.	
Fri Jan 29 09:29:17 2010	Charlotte (28201)	Charlotte, NC (KCLT) as of 2:52am EST (37 mago)	41 5 	25 -4 	52	30.19 1022.2 	5 4 	NE40	 Unlimited Unlimited	10 16.1	--	Clear	No  this hour.	Winter Storm Warning Thu, Jan 28, 10:16pm EST Fri, Jan 29, 7:00am EST 3 hrs, 30 mins  Winter Storm Warning Fri, Jan 29, 3:28am EST Fri, Jan 29, 12:00pm EST 8 hrs, 30 minsNational Weather Service 
Fri Jan 29 09:29:19 2010	San Diego (92101)	San Diego, CA (KSAN) as of 11:51pm PST (38 mago)	53 12 	48 9 	86	30.08 1018.5 	5 4 	NW310	 25000 7620	5 8.0	--	 Mist	No  this hour.	
Fri Jan 29 09:29:21 2010	Denver (80214)	Aurora, CO (KBKF) as of 12:55am MST (34 mago)	27 -3 	26 -3 	100	30.16 1021.4 	3 3 	NNE20	 2000 610	7 11.3	23 -5 	Mostly Cloudy	No  this hour.	
Fri Jan 29 09:29:23 2010	Memphis (37501)	Memphis, TN (KMEM) as of 1:53am CST (36 mago)	32 0 	21 -6 	66	30.29 1025.8 	14 12 	ENE60	 10000 3048	10 16.1	22 -6 	Cloudy	No  this hour.	Winter Storm Warning Thu, Jan 28, 8:42pm CST Fri, Jan 29, 6:00am CST 3 hrs, 30 minsNational Weather Service Forecast 
Fri Jan 29 09:29:24 2010	Los Angeles (90001)	Hawthorne, CA (KHHR) as of 11:53pm PST (36 mago)	55 13 	48 9 	80	30.05 1017.5 	3 3 	E80	 Unlimited Unlimited	10 16.1	--	Clear	No  this hour.	
Fri Jan 29 09:29:26 2010	El Paso (79901)	El Paso, TX (KELP) as of 12:51am MST (38 mago)	30 -1 	28 -2 	92	30.09 1019.1 	10 9 	N360	 3000 914	4 6.4	21 -6 	Light Snow, Mist	Trace precipitation last hour.	Winter Weather Advisory Thu, Jan 28, 2:56pm MST Fri, Jan 29, 5:00am MST 3 hrs, 30 minsNational Weather Service 
Fri Jan 29 09:29:28 2010	New York (10001)	New York City, NY (KNYC) as of 2:51am EST (38 mago)	18 -8 	0 -18 	43	30.19 1022.4 	14 G 2112 G 18	W270	 Unlimited Unlimited	10 16.1	16-Apr	Clear	Lightning detector not working.	Special Weather Statement Thu, Jan 28, 10:14pm EST Fri, Jan 29, 4:15am EST 45 mins  Special Weather Statement Fri, Jan 29, 2:38am EST Fri, Jan 29, 9:00am EST 5 hrs, 30 minsNational Weather Service 
Fri Jan 29 09:29:30 2010	Baltimore (21201)	Baltimore, MD (KBWI) as of 2:54am EST (35 mago)	20 -7 	0 -18 	41	30.35 1027.6 	10 9 	NW310	 Unlimited Unlimited	10 16.1	13-Sep	Mostly Clear	No  this hour.	
Fri Jan 29 09:29:32 2010	Las Vegas (89101)	Las Vegas, NV (KVGT) as of 11:53pm PST (36 mago)	46 8 	32 0 	58	30.07 1018.2 	6 5 	SSE150	 Unlimited Unlimited	10 16.1	--	Clear	Lightning detector not working.	
Fri Jan 29 09:29:33 2010	Washington (20001)	Washington DC, VA (KDCA) as of 2:52am EST (37 mago)	22 -6 	16-Mar	46	30.35 1027.9 	17 G 2515 G 22	NNW340	 Unlimited Unlimited	10 16.1	13-Aug	Mostly Clear	No  this hour.	
Fri Jan 29 09:29:35 2010	Aust(73301)	AustCity, TX (KATT) as of 1:51am CST (38 mago)	55 13 	53 12 	93	29.90 1012.4 	6 5 	NNE20	 9000 2743	5 8.0	--	 Rain, Mist	0.48" of precipitation last hour.	Flood Statement Thu, Jan 28, 11:53pm CST Fri, Jan 29, 2:45am CST 15 minsNational Weather Service Forecast 
Fri Jan 29 09:29:37 2010	San Francisco (94101)	San Francisco, CA (KSFO) as of 11:56pm PST (33 mago)	49 9 	46 8 	93	30.04 1017.2 	Calm Calm	--	 18000 5486	7 11.3	--	Mostly Cloudy	No  this hour.	
Fri Jan 29 09:29:39 2010	Oklahoma City (73101)	Oklahoma City, OK (KOKC) as of 1:52am CST (37 mago)	28 -2 	24 -4 	85	30.16 1021.5 	16 G 2414 G 21	N10	 700 213	7 11.3	16 -9 	Light Freezing Drizzle, Mist	0.03" of precipitation last hour.	Winter Storm Warning Thu, Jan 28, 8:26pm CST Fri, Jan 29, 5:00am CST 2 hrs, 30 minsNational Weather Service 
Fri Jan 29 09:29:41 2010	Nashville (37201)	Nashville, TN (KBNA) as of 1:53am CST (36 mago)	29 -2 	15 -9 	56	30.37 1028.6 	10 9 	NNE20	 12000 3658	10 16.1	20 -7 	Mostly Cloudy	No  this hour.	Winter Storm Warning Thu, Jan 28, 3:36pm CST Fri, Jan 29, 4:00am CST 1 hr, 30 minsNational Weather Service Forecast 
Fri Jan 29 09:29:42 2010	Fort Worth (76101)	Fort Worth, TX (KFTW) as of 2:00am CST (29 mago)	43 6 	39 4 	87	30.00 1016 	9 8 	NW320	 500 152	7 11.3	--	Light Rain	0.01" of precipitation last hour.	
Fri Jan 29 09:29:44 2010	Phoenix (85001)	Phoenix, AZ (KPHX) as of 12:51am MST (38 mago)	53 12 	48 9 	83	30.01 1016.2 	8 7 	ESE110	 Unlimited Unlimited	10 16.1	--	Mostly Clear	No  this hour.	
Fri Jan 29 09:29:46 2010	Portland (97201)	Portland, OR (KPDX) as of 11:53pm PST (36 mago)	47 8 	36 2 	65	29.98 1015.4 	9 8 	E90	 12000 3658	10 16.1	--	Cloudy	No  this hour.	
Fri Jan 29 09:29:47 2010	Chicago (60601)	Chicago, IL (KMDW) as of 1:51am CST (38 mago)	14-Jul	-8 -22 	50	30.58 1035.4 	10 9 	NNW340	 Unlimited Unlimited	10 16.1	-8 -22 	Mostly Clear	No  this hour.	
Fri Jan 29 09:29:49 2010	San Antonio (78201)	San Antonio, TX (KSAT) as of 1:53am CST (36 mago)	56 13 	53 12 	90	29.85 1011 	13 G 2011 G 17	N350	 2700 823	5 8.0	--	Light Rain, Mist	0.08" of precipitation last hour.	Flood Statement Thu, Jan 28, 11:53pm CST Fri, Jan 29, 2:45am CST 15 minsNational Weather Service Forecast 
Fri Jan 29 09:29:51 2010	Indianapolis (46201)	Indianapolis, (KIND) as of 2:54am EST (35 mago)	12-Oct	17-Jan	67	30.50 1033 	3 3 	N350	 Unlimited Unlimited	10 16.1	16-Apr	Mostly Clear	No  this hour.1" inches of snow on ground at 12:54am EST .	
Fri Jan 29 09:29:53 2010	Boston (02101)	Boston, MA (KBOS) as of 2:54am EST (35 mago)	16 -9 	-6 -21 	37	29.96 1014.4 	26 G 3523 G 30	WNW290	 Unlimited Unlimited	10 16.1	-3 -19 	Clear	Peak Wind: 41 kts from 290 (0	High Wind Statement Thu, Jan 28, 10:40pm EST Fri, Jan 29, 5:00am EST 1 hr, 30 mins  Special Weather Statement Thu, Jan 28, 11:41pm EST Fri, Jan 29, 8:00am EST 4 hrs, 30 minsNational Weather Service 
Fri Jan 29 09:29:55 2010	Jacksonville (32099)	Jacksonville, FL (KNIP) as of 2:53am EST (36 mago)	49 9 	42 6 	77	30.16 1021.4 	5 4 	N350	 Unlimited Unlimited	10 16.1	--	Mostly Clear	No  this hour.	
Fri Jan 29 09:29:57 2010	Coluus (43085)	Coluus, OH (KOSU) as of 2:53am EST (36 mago)	13-Aug	17-Jan	73	30.48 1032.2 	5 4 	N360	 Unlimited Unlimited	10 16.1	0 -18 	Clear	No  this hour.	
Fri Jan 29 09:29:58 2010	Dallas (75201)	Dallas, TX (KDAL) as of 2:03am CST (27 mago)	43 6 	39 4 	87	30.03 1017 	5 4 	NNE20	 1600 488	6 9.7	--	Light Rain, Mist	0.01" of precipitation last hour.	Flood Warning Thu, Jan 28, 9:49pm CST Fri, Jan 29, 9:49am CST 7 hrs, 19 mins  Flood Warning Thu, Jan 28, 10:00pm CST Fri, Jan 29, 10:00am CST 7 hrs, 30 mins  Flood Statement Fri, Jan 29, 2:28am CST Fri, Jan 29, 2:58am CST 28 minsNational Weather Service Forecast 
Fri Jan 29 09:30:01 2010	Houston (77001)	Houston, TX (KHOU) as of 1:53am CST (37 mago)	65 18 	62 17 	90	29.84 1010.6 	15 G 2513 G 22	SSE150	 800 244	9 14.5	--	Cloudy	No  this hour.	
Fri Jan 29 09:30:02 2010	Seattle (98101)	Seattle, WA (KBFI) as of 11:53pm PST (37 mago)	46 8 	34 1 	62	30.00 1015.9 	Calm Calm	--	 Unlimited Unlimited	10 16.1	--	Clear	No  this hour.	
Fri Jan 29 09:30:04 2010	Milwaukee (53201)	Milwaukee, WI (KMKE) as of 1:52am CST (38 mago)	16-Apr	-9 -23 	52	30.57 1035.2 	7 6 	NW320	 Unlimited Unlimited	10 16.1	-8 -22 	Few Clouds	No  this hour.	
Fri Jan 29 09:30:06 2010	Detroit (48201)	Detroit, MI (KDET) as of 2:53am EST (37 mago)	13-Aug	-2 -19 	63	30.45 1031 	6 5 	WNW290	 Unlimited Unlimited	10 16.1	-2 -19 	Clear	Lightning detector not working.	
Fri Jan 29 09:30:08 2010	Philadelphia (19019)	Philadelphia, PA (KPHL) as of 2:54am EST (36 mago)	19 -7 	-5 -21 	34	30.31 1026.4 	18 G 3616 G 31	NW320	 Unlimited Unlimited	10 16.1	16-Apr	Clear	Peak Wind: 31 kts from 310 (07:4	
Fri Jan 29 12:01:07 2010	San Jose (95101)	San Jose, CA (KSJC) as of 2:53am PST (8 mago)	46 8 	43 6 	89	30.02 1016.5 	Calm Calm	--	 Unlimited Unlimited	8 12.9	--	Clear	No  this hour.	
Fri Jan 29 12:01:09 2010	Charlotte (28201)	Charlotte, NC (KCLT) as of 5:52am EST (9 mago)	40 4 	18 -8 	41	30.21 1023 	8 7 	NE50	 Unlimited Unlimited	10 16.1	34 1 	Clear	No  this hour.	Winter Storm Warning Thu, Jan 28, 10:16pm EST Fri, Jan 29, 7:00am EST 58 mins  Winter Storm Warning Fri, Jan 29, 3:28am EST Fri, Jan 29, 12:00pm EST 5 hrs, 58 minsNational Weather Service 
Fri Jan 29 12:01:11 2010	San Diego (92101)	San Diego, CA (KSAN) as of 2:51am PST (10 mago)	54 12 	46 8 	77	30.05 1017.6 	Calm Calm	--	 25000 7620	8 12.9	--	Mostly Cloudy	No  this hour.	
Fri Jan 29 12:01:13 2010	Denver (80214)	Aurora, CO (KBKF) as of 3:55am MST (6 mago)	25 -4 	24 -4 	100	30.14 1020.7 	2 2 	WSW250	 1600 488	7 11.3	--	Mostly Cloudy	No  this hour.	
Fri Jan 29 12:01:15 2010	Memphis (37501)	Memphis, TN (KMEM) as of 4:53am CST (8 mago)	32 0 	21 -6 	64	30.21 1022.9 	18 16 	ENE60	 9000 2743	10 16.1	20 -7 	Cloudy	No  this hour.	Winter Storm Warning Thu, Jan 28, 8:42pm CST Fri, Jan 29, 6:00am CST 58 mins  Winter Storm Warning Fri, Jan 29, 4:24am CST Fri, Jan 29, 12:30pm CST 7 hrs, 28 minsNational Weather Service Forecast 
Fri Jan 29 12:01:17 2010	Los Angeles (90001)	Hawthorne, CA (KHHR) as of 2:53am PST (8 mago)	51 11 	44 7 	77	30.04 1017.4 	Calm Calm	--	 Unlimited Unlimited	10 16.1	--	Clear	No  this hour.	
Fri Jan 29 12:01:19 2010	El Paso (79901)	El Paso, TX (KELP) as of 3:51am MST (10 mago)	30 -1 	26 -3 	85	30.11 1019.6 	10 9 	N350	 4000 1219	7 11.3	21 -6 	Cloudy	Trace precipitation last hour.	Winter Weather Advisory Thu, Jan 28, 2:56pm MST Fri, Jan 29, 5:00am MST 58 minsNational Weather Service 
Fri Jan 29 12:01:21 2010	New York (10001)	New York City, NY (KNYC) as of 5:51am EST (10 mago)	17 -8 	0 -18 	45	30.24 1024.1 	10 G 169 G 14	W280	 Unlimited Unlimited	10 16.1	15-May	Clear	Lightning detector not working.	Special Weather Statement Fri, Jan 29, 2:38am EST Fri, Jan 29, 9:00am EST 2 hrs, 58 minsNational Weather Service 
Fri Jan 29 12:01:23 2010	Baltimore (21201)	Baltimore, MD (KBWI) as of 5:54am EST (7 mago)	18 -8 	0 -18 	45	30.37 1028.5 	8 7 	NNW330	 20000 6096	10 16.1	13-Aug	Mostly Cloudy	No  this hour.	
Fri Jan 29 12:01:24 2010	Las Vegas (89101)	Las Vegas, NV (KVGT) as of 2:53am PST (8 mago)	42 6 	32 0 	67	30.06 1018.1 	7 6 	NW310	 Unlimited Unlimited	10 16.1	--	Clear	Lightning detector not working.	
Fri Jan 29 12:01:26 2010	Washington (20001)	Washington DC, VA (KDCA) as of 5:52am EST (9 mago)	20 -7 	0 -18 	41	30.40 1029.3 	14 12 	NNW340	 18000 5486	10 16.1	14-Jul	Mostly Cloudy	No  this hour.	
Fri Jan 29 12:01:28 2010	Aust(73301)	AustCity, TX (KATT) as of 4:51am CST (10 mago)	44 7 	42 6 	93	29.96 1014.6 	6 G 185 G 16	NW310	 8000 2438	4 6.4	--	 Rain, Mist	0.07" of precipitation last hour.	
Fri Jan 29 12:01:30 2010	San Francisco (94101)	San Francisco, CA (KSFO) as of 2:56am PST (5 mago)	49 9 	46 8 	90	30.03 1017 	Calm Calm	--	 18000 5486	7 11.3	--	Mostly Cloudy	No  this hour.	
Fri Jan 29 12:01:32 2010	Oklahoma City (73101)	Oklahoma City, OK (KOKC) as of 4:53am CST (8 mago)	25 -4 	21 -6 	88	30.15 1020.9 	15 G 2313 G 20	NNE20	 2000 610	4 6.4	13 -11 	Light Freezing Drizzle, Mist	0.05" of precipitation last hour.	Winter Storm Warning Thu, Jan 28, 8:26pm CST Fri, Jan 29, 5:00am CST EXPIRED  Winter Storm Warning Fri, Jan 29, 3:47am CST Fri, Jan 29, 12:00pm CST 6 hrs, 58 minsNational Weather Service 
Fri Jan 29 12:01:34 2010	Nashville (37201)	Nashville, TN (KBNA) as of 4:53am CST (8 mago)	28 -2 	15 -9 	58	30.35 1027.6 	12 10 	N10	 9000 2743	10 16.1	18 -8 	Cloudy	No  this hour.	Winter Storm Warning Fri, Jan 29, 4:18am CST Fri, Jan 29, 4:00pm CST 10 hrs, 58 minsNational Weather Service 
Fri Jan 29 12:01:36 2010	Fort Worth (76101)	Fort Worth, TX (KFTW) as of 4:53am CST (8 mago)	38 3 	35 2 	89	30.01 1016.4 	12 10 	NW310	 500 152	8 12.9	30 -1 	 Rain	0.05" of precipitation last hour.	
Fri Jan 29 12:01:38 2010	Phoenix (85001)	Phoenix, AZ (KPHX) as of 3:51am MST (10 mago)	53 12 	48 9 	83	30.01 1016.3 	5 4 	E100	 6000 1829	10 16.1	--	Mostly Cloudy	No  this hour.	
Fri Jan 29 12:01:40 2010	Portland (97201)	Portland, OR (KPDX) as of 2:53am PST (8 mago)	49 9 	35 2 	58	29.96 1014.5 	12 10 	ESE120	 12000 3658	10 16.1	--	Cloudy	No  this hour.	
Fri Jan 29 12:01:42 2010	Chicago (60601)	Chicago, IL (KMDW) as of 4:51am CST (10 mago)	14-Jun	-7 -22 	54	30.58 1035.5 	7 6 	NW320	 25000 7620	10 16.1	-6 -21 	Mostly Cloudy	No  this hour.	
Fri Jan 29 12:01:43 2010	San Antonio (78201)	San Antonio, TX (KSAT) as of 4:53am CST (8 mago)	46 8 	43 6 	89	29.90 1012.5 	18 G 2516 G 22	NNW340	 4200 1280	5 8.0	--	Light Rain, Mist	0.15" of precipitation last hour.	
Fri Jan 29 12:01:47 2010	Indianapolis (46201)	Indianapolis, (KIND) as of 5:54am EST (7 mago)	11-Dec	16-Mar	67	30.49 1032.4 	6 5 	NNE30	 18000 5486	10 16.1	16-Mar	Cloudy	No  this hour.	
Fri Jan 29 12:01:49 2010	Boston (02101)	Boston, MA (KBOS) as of 5:54am EST (7 mago)	14 -10 	-6 -21 	40	29.99 1015.5 	22 G 3619 G 31	W280	 Unlimited Unlimited	10 16.1	-4 -20 	Clear	Peak Wind: 35 kts from 280 (10:40 GMT).	High Wind Statement Fri, Jan 29, 4:21am EST Fri, Jan 29, 12:30pm EST 6 hrs, 28 mins  Special Weather Statement Thu, Jan 28, 11:41pm EST Fri, Jan 29, 8:00am EST 1 hr, 58 minsNational Weather Service 
Fri Jan 29 12:01:52 2010	Jacksonville (32099)	Jacksonville, FL (KNIP) as of 5:53am EST (8 mago)	49 9 	42 6 	77	30.16 1021.5 	Calm Calm	--	 25000 7620	10 16.1	--	Cloudy	No  this hour.	
Fri Jan 29 12:01:54 2010	Coluus (43085)	Coluus, OH (KOSU) as of 5:53am EST (8 mago)	13-Sep	0 -18 	67	30.49 1032.5 	6 5 	NNW340	 Unlimited Unlimited	10 16.1	-1 -18 	Clear	No  this hour.	
Fri Jan 29 12:01:56 2010	Dallas (75201)	Dallas, TX (KDAL) as of 4:53am CST (8 mago)	41 5 	39 4 	93	30.01 1016.1 	9 8 	NE50	 2100 640	6 9.7	--	Light Rain, Mist	0.03" of precipitation last hour.	Flood Warning Thu, Jan 28, 9:49pm CST Fri, Jan 29, 9:49am CST 4 hrs, 47 mins  Flood Warning Thu, Jan 28, 10:00pm CST Fri, Jan 29, 10:00am CST 4 hrs, 58 mins  Flood Statement Fri, Jan 29, 3:29am CST Fri, Jan 29, 3:29pm CST 10 hrs, 27 minsNational Weather Service Forecast 
Fri Jan 29 12:02:00 2010	Houston (77001)	Houston, TX (KHOU) as of 4:53am CST (9 mago)	66 19 	64 18 	93	29.80 1009 	15 G 2113 G 18	S170	 1200 366	8 12.9	--	Light Rain	0.01" of precipitation last hour.	Special Weather Statement Fri, Jan 29, 4:11am CST Fri, Jan 29, 7:15am CST 2 hrs, 12 minsNational Weather Service Forecast 
Fri Jan 29 12:02:02 2010	Seattle (98101)	Seattle, WA (KBFI) as of 2:53am PST (9 mago)	45 7 	35 2 	68	29.95 1014.3 	Calm Calm	--	 11000 3353	10 16.1	--	Mostly Cloudy	No  this hour.	
