#foreign_key_ltable=ltable.Sno
#foreign_key_rtable=rtable.Sno
#key=_id
#ltable=POINTER
#rtable=POINTER
Unnamed: 0,_id,ltable.Sno,rtable.Sno,ltable.Album_Name,ltable.Artist_Name,ltable.CopyRight,ltable.Released,ltable.Song_Name,ltable.Time,rtable.Album_Name,rtable.Artist_Name,rtable.CopyRight,rtable.Released,rtable.Song_Name,rtable.Time,label
1908,1908,255,49141,the reason - ep,x ambassadors, 2015 kidinakorner/interscope records,10-Aug-15,shining,3:40,the reason ep,x ambassadors, (c) 2015 kidinakorner/interscope records," August 10, 2015",shining,3:37,1
2130,2130,262,53045,vhs,x ambassadors, 2015 kidinakorner/interscope records,30-Jun-15,vhs outro (interlude),1:25,vhs [explicit],x ambassadors, (c) 2015 kidinakorner/interscope records," June 30, 2015",y2k time capsule (interlude),0:32,0
2182,2182,263,53053,vhs,x ambassadors, 2015 kidinakorner/interscope records,30-Jun-15,vhs outro (interlude),1:25,vhs [explicit],x ambassadors, (c) 2015 kidinakorner/interscope records," June 30, 2015",smoke (interlude) [explicit],0:24,0
2292,2292,265,53087,vhs,x ambassadors, 2015 kidinakorner/interscope records,30-Jun-15,vhs outro (interlude),1:25,vhs [explicit],x ambassadors, (c) 2015 kidinakorner/interscope records," June 30, 2015",moving day (interlude),0:19,0
2313,2313,266,53007,vhs,x ambassadors, 2015 kidinakorner/interscope records,30-Jun-15,vhs outro (interlude),1:25,vhs [clean],x ambassadors, (c) 2015 kidinakorner/interscope records," June 30, 2015",moving day (interlude),0:19,0
2628,2628,272,53067,vhs,x ambassadors, 2015 kidinakorner/interscope records,30-Jun-15,vhs outro (interlude),1:25,vhs [explicit],x ambassadors, (c) 2015 kidinakorner/interscope records," June 30, 2015",moving day (interlude),0:19,0
2799,2799,276,52996,vhs,x ambassadors, 2015 kidinakorner/interscope records,30-Jun-15,vhs outro (interlude),1:25,vhs [clean],x ambassadors, (c) 2015 kidinakorner/interscope records," June 30, 2015",adam & noah's priorities (interlude),0:27,0
2869,2869,277,53056,vhs,x ambassadors, 2015 kidinakorner/interscope records,30-Jun-15,vhs outro (interlude),1:25,vhs [explicit],x ambassadors, (c) 2015 kidinakorner/interscope records," June 30, 2015",adam & noah's priorities (interlude),0:27,0
2921,2921,283,53027,vhs,x ambassadors, 2015 kidinakorner/interscope records,30-Jun-15,vhs outro (interlude),1:25,vhs [explicit],x ambassadors, (c) 2015 kidinakorner/interscope records," June 30, 2015",moving day (interlude),0:19,0
3240,3240,290,22340,hotel cabana,naughty boy, 2014 naughty boy recordings ltd under exclusive licence to virgin records ltd,6-May-14,epilogue (feat. george the poet),1:28,hotel cabana [explicit],naughty boy, (c) 2014 naughty boy recordings ltd under exclusive licence to virgin records ltd," May 6, 2014",no one's here to sleep [feat. bastille] [explicit],4:32,0
3282,3282,292,22310,hotel cabana,naughty boy, 2014 naughty boy recordings ltd under exclusive licence to virgin records ltd,6-May-14,epilogue (feat. george the poet),1:28,hotel cabana (deluxe version) [explicit],naughty boy, (c) 2014 naughty boy recordings ltd under exclusive licence to virgin records ltd," May 6, 2014",wonder [feat. emeli sandÍ©],3:27,0
3494,3494,303,22342,hotel cabana (deluxe version),naughty boy, 2013 naughty boy recordings ltd under exclusive licence to virgin records ltd,6-May-14,lifted (feat. emeli sandê© & professor green),4:15,hotel cabana [explicit],naughty boy, (c) 2014 naughty boy recordings ltd under exclusive licence to virgin records ltd," May 6, 2014",top floor (cabana) [feat. ed sheeran],2:09,0
3504,3504,304,22316,hotel cabana (deluxe version),naughty boy, 2013 naughty boy recordings ltd under exclusive licence to virgin records ltd,6-May-14,lifted (feat. emeli sandê© & professor green),4:15,hotel cabana (deluxe version) [explicit],naughty boy, (c) 2014 naughty boy recordings ltd under exclusive licence to virgin records ltd," May 6, 2014",pardon me [feat. tanika],2:50,0
3505,3505,304,22317,hotel cabana (deluxe version),naughty boy, 2013 naughty boy recordings ltd under exclusive licence to virgin records ltd,6-May-14,lifted (feat. emeli sandê© & professor green),4:15,hotel cabana (deluxe version) [explicit],naughty boy, (c) 2014 naughty boy recordings ltd under exclusive licence to virgin records ltd," May 6, 2014",one way [feat. mic righteous],3:26,0
3626,3626,307,22330,hotel cabana (deluxe version),naughty boy, 2013 naughty boy recordings ltd under exclusive licence to virgin records ltd,6-May-14,lifted (feat. emeli sandê© & professor green),4:15,hotel cabana [explicit],naughty boy, (c) 2014 naughty boy recordings ltd under exclusive licence to virgin records ltd," May 6, 2014",wonder [feat. emeli sandê©],3:27,0
3771,3771,311,22331,hotel cabana (deluxe version),naughty boy, 2013 naughty boy recordings ltd under exclusive licence to virgin records ltd,6-May-14,lifted (feat. emeli sandê© & professor green),4:15,hotel cabana [explicit],naughty boy, (c) 2014 naughty boy recordings ltd under exclusive licence to virgin records ltd," May 6, 2014",think about it [feat. wiz khalifa] [explicit],3:05,0
3811,3811,312,22335,hotel cabana (deluxe version),naughty boy, 2013 naughty boy recordings ltd under exclusive licence to virgin records ltd,6-May-14,lifted (feat. emeli sandê© & professor green),4:15,hotel cabana [explicit],naughty boy, (c) 2014 naughty boy recordings ltd under exclusive licence to virgin records ltd," May 6, 2014",la la la [feat. sam smith],3:42,0
3861,3861,314,22313,hotel cabana,naughty boy, 2014 naughty boy recordings ltd under exclusive licence to virgin records ltd,6-May-14,epilogue (feat. george the poet),1:28,hotel cabana (deluxe version) [explicit],naughty boy, (c) 2014 naughty boy recordings ltd under exclusive licence to virgin records ltd," May 6, 2014",hollywood [feat. gabrielle],4:05,0
3889,3889,314,22341,hotel cabana,naughty boy, 2014 naughty boy recordings ltd under exclusive licence to virgin records ltd,6-May-14,epilogue (feat. george the poet),1:28,hotel cabana [explicit],naughty boy, (c) 2014 naughty boy recordings ltd under exclusive licence to virgin records ltd," May 6, 2014",lifted [feat. emeli sandê©],3:17,0
4002,4002,318,22310,hotel cabana,naughty boy, 2014 naughty boy recordings ltd under exclusive licence to virgin records ltd,6-May-14,epilogue (feat. george the poet),1:28,hotel cabana (deluxe version) [explicit],naughty boy, (c) 2014 naughty boy recordings ltd under exclusive licence to virgin records ltd," May 6, 2014",wonder [feat. emeli sandÍ©],3:27,0
4191,4191,323,22319,hotel cabana,naughty boy, 2014 naughty boy recordings ltd under exclusive licence to virgin records ltd,6-May-14,epilogue (feat. george the poet),1:28,hotel cabana (deluxe version) [explicit],naughty boy, (c) 2014 naughty boy recordings ltd under exclusive licence to virgin records ltd," May 6, 2014",so strong [feat. chasing grace],3:36,0
4282,4282,326,22338,hotel cabana (deluxe version),naughty boy, 2013 naughty boy recordings ltd under exclusive licence to virgin records ltd,6-May-14,lifted (feat. emeli sandê© & professor green),4:15,hotel cabana [explicit],naughty boy, (c) 2014 naughty boy recordings ltd under exclusive licence to virgin records ltd," May 6, 2014",pluto [feat. wretch 32],3:58,0
4407,4407,331,22312,hotel cabana (deluxe version),naughty boy, 2013 naughty boy recordings ltd under exclusive licence to virgin records ltd,6-May-14,lifted (feat. emeli sandê© & professor green),4:15,hotel cabana (deluxe version) [explicit],naughty boy, (c) 2014 naughty boy recordings ltd under exclusive licence to virgin records ltd," May 6, 2014",never been the same [feat. thabo],3:29,0
4599,4599,338,26133,get free - single,major lazer, 2013 secretly canadian / mad decent,27-Feb-13,get free (andy c remix),5:31,keep it goin' louder (maxi single) [explicit],major lazer," (c) 2009 downtown music, llc. downtown records is a trademark of downtown music, llc."," December 21, 2009",keep it goin' louder (savage skulls remix) [explicit],5:03,0
4686,4686,342,27520,original don (feat. the partysquad) [remixes] - ep,major lazer, 2011 downtown records unders exclusive license to interscope records in the u.s.a.,1-Nov-11,original don (feat. the partysquad) [the partysquad & punish smash em remix],3:38,lean on (remixes),major lazer, 2015 mad decent," July 10, 2015",lean on (fono remix) [feat. mêÛ & dj snake],5:09,0
4818,4818,348,35917,peace is the mission,major lazer, 2015 mad decent,1-Jun-15,all my love (feat. ariana grande & machel montano) [remix],3:49,peace is the mission [explicit],major lazer, 2015 mad decent," June 1, 2015",be together (feat. wild belle),3:53,0
5055,5055,362,37115,original don (feat. the partysquad) [remixes] - ep,major lazer, 2011 downtown records unders exclusive license to interscope records in the u.s.a.,1-Nov-11,original don (feat. the partysquad) [the partysquad & punish smash em remix],3:38,powerful (remixes),major lazer," (c) 2015 third pardee records, llc under exclusive license to interscope records in the united states"," September 11, 2015",powerful (michael calfan remix) [feat. ellie goulding],5:27,0
5101,5101,369,19188,get free - single,major lazer, 2013 secretly canadian / mad decent,27-Feb-13,get free (andy c remix),5:31,get it: hip-hop & pop for now [explicit],major lazer, 2013 secretly canadian / mad decent,,break free [feat. zedd],3:34,0
5309,5309,381,33322,nick jonas (deluxe version),nick jonas," 2014 island records, a division of umg recordings, inc. / safehouse records, llc",10-Nov-14,closer (feat. mike posner),3:48,nick jonas (deluxe) [clean],nick jonas," (c) 2014 island records/safehouse records llc, a division of umg recordings, inc."," November 10, 2014",numb [feat. angel haze] [clean],3:57,0
5695,5695,417,33355,nick jonas,nick jonas," 2014 island records, a division of umg recordings, inc. / safehouse records, llc",10-Nov-14,nothing would be better,4:34,nick jonas (deluxe) [explicit],nick jonas," (c) 2014 island records/safehouse records llc, a division of umg recordings, inc."," November 10, 2014",nothing would be better,4:34,1
5831,5831,427,33316,nick jonas (deluxe),nick jonas," 2014 island records, a division of umg recordings, inc. / safehouse records, llc",10-Nov-14,closer (feat. mike posner),3:48,nick jonas (deluxe) [clean],nick jonas," (c) 2014 island records/safehouse records llc, a division of umg recordings, inc."," November 10, 2014",closer [feat. mike posner] [clean],3:48,1
5934,5934,432,33330,nick jonas (deluxe),nick jonas," 2014 island records, a division of umg recordings, inc. / safehouse records, llc",10-Nov-14,closer (feat. mike posner),3:48,nick jonas (deluxe) ,nick jonas," (c) 2014 island records/safehouse records llc, a division of umg recordings, inc."," November 10, 2014",closer [feat. mike posner] ,3:48,1
5959,5959,434,33341,nick jonas,nick jonas," 2014 island records, a division of umg recordings, inc. / safehouse records, llc",10-Nov-14,nothing would be better,4:34,nick jonas ,nick jonas," (c) 2014 island records/safehouse records llc, a division of umg recordings, inc."," November 10, 2014",nothing would be better,4:34,1
6204,6204,468,363,#NAME?,ed sheeran, 2011 warner music uk limited,9-Sep-11,sunburn,4:35,#NAME?,ed sheeran, doll records," September 9, 2011",sunburn ,4:35,1
6215,6215,471,1873,5,ed sheeran, 2014 warner music uk limited,23-Jun-14,goodbye to you (feat. dot rotten),5:30,5,ed sheeran, dub police records," June 23, 2014",you (+wiley),3:21,0
6298,6298,499,29315,loose change,ed sheeran, 2010 all tracks (p) 2010 paw print records under exclusive license to warner music uk limited except for track 1 (p) 2011paw print records under exclusive license to warner music uk limited,9-Dec-11,firefly (bravado dubstep remix),4:29,loose change,ed sheeran, (c) 2007 geffen records/mosley music group llc," December 9, 2011",firefly (bravado dubstep remix),4:29,1
6349,6349,509,55936,x,ed sheeran," 2014 asylum records uk, a warner music uk company",20-Jun-14,afire love,5:14,x,ed sheeran, (c) 2014 mau5trap recordings ltd," June 20, 2014",afire love,5:14,1
6420,6420,530,44913,itunes festival: london 2012 - ep,ed sheeran, 2012 warner music uk limited,3-Sep-12,the a team (live),5:01,the a team (ep),ed sheeran, sam hunt & david kilgour / bandit king records," December 6, 2011",the a team,4:18,0
6456,6456,538,1879,5,ed sheeran, 2014 warner music uk limited,23-Jun-14,goodbye to you (feat. dot rotten),5:30,5,ed sheeran, dub police records," June 23, 2014",goodbye to you (+ dot rotten),5:30,1
6626,6626,583,379,#NAME?,ed sheeran, 2011 warner music uk limited,9-Sep-11,sunburn (bonus track),4:35,#NAME?,ed sheeran, doll records," September 9, 2011",sunburn (deluxe edition),4:35,1
6649,6649,589,55936,x,ed sheeran," 2014 asylum records uk, a warner music uk company",20-Jun-14,afire love,5:14,x,ed sheeran, (c) 2014 mau5trap recordings ltd," June 20, 2014",afire love,5:14,1
6654,6654,593,43724,take it to the bank - ep,chris janson, 2014 sony music entertainment,24-Feb-14,i ain't livin' long like this,4:13,take it to the bank (ep),chris janson, (c) 2012 cash money records inc.," February 24, 2014",i ain't livin' long like this,4:13,1
6666,6666,599,43724,take it to the bank - ep,chris janson, 2014 sony music entertainment,24-Feb-14,i ain't livin' long like this,4:13,take it to the bank (ep),chris janson, (c) 2012 cash money records inc.," February 24, 2014",i ain't livin' long like this,4:13,1
6710,6710,625,8817,centuries (gazzo remix) - single,fall out boy," 2014 island records, a division of umg recordings, inc.",22-Dec-14,centuries (gazzo remix),4:19,busy (n3mrod remix) [feat. kevin lyttle] [explicit],boy face, 2015 perpetual motions ent./f pac records/frogg life," April 10, 2015",busy (n3mrod remix) [feat. kevin lyttle] [explicit],2:32,0
6792,6792,643,24664,infinity on high,fall out boy, 2007 the island def jam music group,6-Feb-07,i've got all this ringing in my ears and none on my fingers,4:06,infinity on high,fall out boy, (c) 2007 the island def jam music group," February 6, 2007",i've got all this ringing in my ears and none on my fingers,4:06,1
6880,6880,668,24649,infinity on high (deluxe edition),fall out boy, 2007 the island def jam music group,20-Nov-07,thriller (live from hammersmith palais),3:32,infinity on high - deluxe bonus ep,fall out boy, (c) 2007 the island def jam music group," November 20, 2007","this ain't a scene, it's an arms race (live from hammersmith palais)",3:23,0
6889,6889,669,24650,infinity on high (deluxe edition),fall out boy, 2007 the island def jam music group,20-Nov-07,thriller (live from hammersmith palais),3:32,infinity on high - deluxe bonus ep,fall out boy, (c) 2007 the island def jam music group," November 20, 2007",thriller (live from hammersmith palais),3:32,1
7186,7186,797,33147,as long as you love me (remixes) [feat. big sean],justin bieber, 2012 the island def jam music group,11-Sep-12,as long as you love me (feat. big sean) [audien luvstep mix],4:40,never say never - the remixes,justin bieber, (c) 2011 the island def jam music group," February 14, 2011",never say never [feat. jaden smith],3:48,0
7230,7230,802,29575,as long as you love me (remixes) [feat. big sean],justin bieber, 2012 the island def jam music group,11-Sep-12,as long as you love me (feat. big sean) [audien luvstep mix],4:40,love me like you do - made popular by ellie goulding,justin ward, (c) 2015 covered records,,love me like you do (sax instrumental version),3:16,0
7247,7247,810,29575,turn to you (mother's day dedication) - single,justin bieber, 2012 the island def jam music group,11-May-12,turn to you (mother's day dedication),3:39,love me like you do - made popular by ellie goulding,justin ward, (c) 2015 covered records,,love me like you do (sax instrumental version),3:16,0
7356,7356,837,23733,if you're reading this it's too late,drake, 2015 cash money records inc.,13-Feb-15,6pm in new york,4:43,if you're reading this it's too late [explicit],drake, (c) 2015 cash money records inc.," February 13, 2015",6pm in new york [explicit],4:43,1
7516,7516,897,44728,thank me later,drake, 2010 young money entertainment/cash money records/universal motown,16-Jun-10,thank me now,5:28,thank me later (explicit version) [explicit],drake, (c) 2010 young money entertainment/cash money records," June 15, 2010",show me a good time (explicit),3:30,0
7811,7811,957,44116,taylor swift (bonus track version),taylor swift," 2008 big machine records, llc all rights reserved under license to umgd",24-Oct-06,teardrops on my guitar (pop version),2:59,taylor swift,taylor swift," (c) 2008 big machine records, llc all rights reserved under license to umgd"," March 18, 2008",teardrops on my guitar (radio single remix),3:23,0
7951,7951,970,42014,speak now - world tour live,taylor swift," 2011 big machine records, llc.",21-Nov-11,speak now - world tour live concert (live 2011),2:09:26,speak now,taylor swift," (c) 2010 big machine records, llc."," October 25, 2010",long live,5:17,0
8095,8095,1023,9529,caracal,disclosure," 2015 island records, a division of universal music operations limited",,masterpiece (feat. jordan rakei),4:01,caracal,disclosure," (c) 2015 island records, a division of universal music operations limited"," September 25, 2015",magnets [feat. lorde],3:19,0
8211,8211,1070,11280,control,disclosure, 2013 greco-roman ltd,2-Apr-13,boiling (medlar remix),5:52,control,disclosure, 2013 greco-roman ltd," April 2, 2013",boiling (medlar remix),5:52,1
8250,8250,1080,9503,caracal,disclosure," 2015 island records, a division of universal music operations limited",,masterpiece (feat. jordan rakei),4:01,caracal (deluxe),disclosure," (c) 2015 island records, a division of universal music operations limited"," September 25, 2015",willing & able [feat. kwabs],4:52,0
8457,8457,1085,9526,caracal,disclosure," 2015 island records, a division of universal music operations limited",,masterpiece (feat. jordan rakei),4:01,caracal,disclosure," (c) 2015 island records, a division of universal music operations limited"," September 25, 2015",holding on [feat. gregory porter],5:15,0
8670,8670,1149,7760,blurryface,twenty one pilots, 2015 fueled by ramen llc for the united states and wea international inc. for the world outside of the united states. a warner music group company,15-May-15,goner,3:56,blurryface,twenty one pilots, 2015 fueled by ramen llc for the united states and wea international inc. for the world outside of the united states. a warner music group company," May 15, 2015",goner,3:56,1
8679,8679,1152,53319,vessel,twenty one pilots, 2012 fueled by ramen llc for the united states and wea international inc. for the world outside of the united states.,4-Jan-13,truce,2:22,vessel,twenty one pilots," (c) 2000 columbia pictures industries, inc."," January 4, 2013",truce,2:22,1
8711,8711,1156,9944,listen (deluxe version),david guetta," 2014 what a music ltd. under exclusive license to parlophone/warner music france, under exclusive license to atlantic recording corporation for the united states. all rights reserved.",24-Nov-14,dangerous (feat. sam martin) [robin schulz remix] [radio edit],3:20,certified (edited version),david banner," (c) 2014 island records, a division of umg recordings, inc."," September 20, 2005",bloody war (album version (edited)) [feat. bg] [clean],4:27,0
8792,8792,1156,28098,listen (deluxe version),david guetta," 2014 what a music ltd. under exclusive license to parlophone/warner music france, under exclusive license to atlantic recording corporation for the united states. all rights reserved.",24-Nov-14,dangerous (feat. sam martin) [robin schulz remix] [radio edit],3:20,listen,david guetta, 2015 if moving your mine," November 24, 2014",i'll keep loving you (feat. birdy & jaymes young),3:08,0
8797,8797,1156,31315,listen (deluxe version),david guetta," 2014 what a music ltd. under exclusive license to parlophone/warner music france, under exclusive license to atlantic recording corporation for the united states. all rights reserved.",24-Nov-14,dangerous (feat. sam martin) [robin schulz remix] [radio edit],3:20,mississippi-the album (explicit version),david banner," (c) 2003 universal records, a division of umg recordings, inc."," May 20, 2003",fast life (album version (explicit)) [feat. ax] [explicit],4:52,0
8798,8798,1156,31316,listen (deluxe version),david guetta," 2014 what a music ltd. under exclusive license to parlophone/warner music france, under exclusive license to atlantic recording corporation for the united states. all rights reserved.",24-Nov-14,dangerous (feat. sam martin) [robin schulz remix] [radio edit],3:20,mississippi-the album (explicit version),david banner," (c) 2003 universal records, a division of umg recordings, inc."," May 20, 2003",choose me (album version (edited)) [feat. sky] [clean],4:24,0
8910,8910,1157,28043,listen (deluxe version),david guetta," 2014 what a music ltd. under exclusive license to parlophone/warner music france, under exclusive license to atlantic recording corporation for the united states. all rights reserved.",24-Nov-14,dangerous (feat. sam martin) [robin schulz remix] [radio edit],3:20,listen (deluxe),david guetta, 2015 if moving your mine," November 24, 2014",what i did for love (feat. emeli sandê©),3:27,0
8949,8949,1157,28097,listen (deluxe version),david guetta," 2014 what a music ltd. under exclusive license to parlophone/warner music france, under exclusive license to atlantic recording corporation for the united states. all rights reserved.",24-Nov-14,dangerous (feat. sam martin) [robin schulz remix] [radio edit],3:20,listen,david guetta, 2015 if moving your mine," November 24, 2014",s.t.o.p (feat. ryan tedder),3:34,0
8974,8974,1157,34920,listen (deluxe version),david guetta," 2014 what a music ltd. under exclusive license to parlophone/warner music france, under exclusive license to atlantic recording corporation for the united states. all rights reserved.",24-Nov-14,dangerous (feat. sam martin) [robin schulz remix] [radio edit],3:20,one love (deluxe version),david guetta, (c) 2014 swedish house mafia holdings ltd (bvi) under exclusive license to virgin records ltd," August 21, 2009",when love takes over (feat. kelly rowland;electro extended;continuous mix version),4:23,0
9008,9008,1157,34955,listen (deluxe version),david guetta," 2014 what a music ltd. under exclusive license to parlophone/warner music france, under exclusive license to atlantic recording corporation for the united states. all rights reserved.",24-Nov-14,dangerous (feat. sam martin) [robin schulz remix] [radio edit],3:20,one love (deluxe version),david guetta, (c) 2014 swedish house mafia holdings ltd (bvi) under exclusive license to virgin records ltd," August 21, 2009",it's the way you love me (feat. kelly rowland;continuous mix version),4:11,0
9044,9044,1158,28018,listen (deluxe version),david guetta," 2014 what a music ltd. under exclusive license to parlophone/warner music france, under exclusive license to atlantic recording corporation for the united states. all rights reserved.",24-Nov-14,dangerous (feat. sam martin) [robin schulz remix] [radio edit],3:20,listen (deluxe),david guetta, 2015 if moving your mine," November 24, 2014",i'll keep loving you (feat. birdy & jaymes young),3:08,0
9196,9196,1159,21600,"hey mama (feat. nicki minaj, bebe rexha & afrojack) [remixes] - ep",david guetta," 2015 what a music ltd. under exclusive license to parlophone/warner music france, under exclusive license to atlantic recording corporation for the united states",12-May-15,"hey mama (feat. nicki minaj, bebe rexha & afrojack) [extended]",4:42,hey mama,"zia moz feat. david guetta, bebe rexha, nicki minaj and afrojack"," 2015 zia moz, david guetta, onika maraj, giorgio tuinfort, nick van de wall, ester dean, bebe rexha, sean douglas"," June 1, 2015",hey mama (zia moz remix),3:12,0
9276,9276,1160,28053,one love (deluxe version),david guetta, 2010 gum prod licence exclusive parlophone music france,21-Aug-09,toyfriend (feat. wynter gordon) [continuous mix version],2:51,listen (deluxe),david guetta, 2015 if moving your mine," November 24, 2014",s.t.o.p (feat. ryan tedder),3:34,0
9360,9360,1160,36950,one love (deluxe version),david guetta, 2010 gum prod licence exclusive parlophone music france,21-Aug-09,toyfriend (feat. wynter gordon) [continuous mix version],2:51,pop love,david guetta, 2012 blue drum records,,nothin' on you [feat. bruno mars],3:25,0
9386,9386,1162,28019,listen,david guetta," 2014 what a music ltd. under exclusive license to parlophone/warner music france, under exclusive license to atlantic recording corporation for the united states. all rights reserved",24-Nov-14,the whisperer (feat. sia),3:54,listen (deluxe),david guetta, 2015 if moving your mine," November 24, 2014",the whisperer (feat. sia),3:54,1
9618,9618,1165,9946,listen (deluxe version),david guetta," 2014 what a music ltd. under exclusive license to parlophone/warner music france, under exclusive license to atlantic recording corporation for the united states. all rights reserved.",24-Nov-14,dangerous (feat. sam martin) [robin schulz remix] [radio edit],3:20,certified (edited version),david banner," (c) 2014 island records, a division of umg recordings, inc."," September 20, 2005",take your (album version (edited)) [feat. bun b] [clean],4:42,0
9634,9634,1165,28018,listen (deluxe version),david guetta," 2014 what a music ltd. under exclusive license to parlophone/warner music france, under exclusive license to atlantic recording corporation for the united states. all rights reserved.",24-Nov-14,dangerous (feat. sam martin) [robin schulz remix] [radio edit],3:20,listen (deluxe),david guetta, 2015 if moving your mine," November 24, 2014",i'll keep loving you (feat. birdy & jaymes young),3:08,0
9639,9639,1165,28023,listen (deluxe version),david guetta," 2014 what a music ltd. under exclusive license to parlophone/warner music france, under exclusive license to atlantic recording corporation for the united states. all rights reserved.",24-Nov-14,dangerous (feat. sam martin) [robin schulz remix] [radio edit],3:20,listen (deluxe),david guetta, 2015 if moving your mine," November 24, 2014",dangerous (feat. sam martin) [robin schulz remix] [radio edit],3:20,1
9646,9646,1165,28030,listen (deluxe version),david guetta," 2014 what a music ltd. under exclusive license to parlophone/warner music france, under exclusive license to atlantic recording corporation for the united states. all rights reserved.",24-Nov-14,dangerous (feat. sam martin) [robin schulz remix] [radio edit],3:20,listen (deluxe),david guetta, 2015 if moving your mine," November 24, 2014",listen (feat. john legend),3:46,0
9789,9789,1166,28015,listen (deluxe version),david guetta," 2014 what a music ltd. under exclusive license to parlophone/warner music france, under exclusive license to atlantic recording corporation for the united states. all rights reserved.",24-Nov-14,dangerous (feat. sam martin) [robin schulz remix] [radio edit],3:20,listen (deluxe),david guetta, 2015 if moving your mine," November 24, 2014","hey mama (feat. nicki minaj, bebe rexha & afrojack)",3:12,0
9935,9935,1167,21591,"hey mama (feat. nicki minaj, bebe rexha & afrojack) [remixes] - ep",david guetta," 2015 what a music ltd. under exclusive license to parlophone/warner music france, under exclusive license to atlantic recording corporation for the united states",12-May-15,"hey mama (feat. nicki minaj, bebe rexha & afrojack) [extended]",4:42,"hey mama (feat. nicki minaj, bebe rexha & afrojack) [remixes ep]",david guetta, 2015 michelle kelly," May 12, 2015","hey mama (feat. nicki minaj, bebe rexha & afrojack) [club killers remix]",4:01,0
10105,10105,1169,34928,one love (deluxe version),david guetta, 2010 gum prod licence exclusive parlophone music france,21-Aug-09,toyfriend (feat. wynter gordon) [continuous mix version],2:51,one love (deluxe version),david guetta, (c) 2014 swedish house mafia holdings ltd (bvi) under exclusive license to virgin records ltd," August 21, 2009",gettin' over (feat. chris willis;continuous mix version),3:31,0
