category,sub_category,href,items,price
Electronics,Kitchen Appliances,https://www.jiomart.com/c/electronics/kitchen-appliances/juicer-mixer-grinders/728,"Lee Star Nutri-Mix LE-821 2 Jars 400 W Juicer Mixer Grinder, Black",2149.0
Electronics,Computers,https://www.jiomart.com/c/electronics/computers/computer-accessories/734,"Urbn UPC200 USB-A to Type-C Cable, Black",699.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/silver-jewellery/1911,Reliance Jewels Ag 99.9 5.85 gm Ganesha Silver Idol,1761.0
Electronics,Cameras,https://www.jiomart.com/c/electronics/cameras/digital-camera-accessories/770,Hiffin Black Magic Arm Clamp (Pack Of 2),824.0
Electronics,Home Appliances,https://www.jiomart.com/c/electronics/home-appliances/fans/1347,Candes Coffee Brown Amaze Ultra High Speed 3 Blade Ceiling Fan 900 mm 74 Watts,1300.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/silver-jewellery/1911,Reliance Jewels Ag 99.9 32.14 gm Lakshmi Ganesh Silver Idol,5284.0
Beauty,Make-Up,https://www.jiomart.com/c/beauty/make-up/lips/3103,"Fashion Colour Kiss Lip No Transfer Lipstick, 83 Conch Shell 2.6 gm",284.0
Fashion,Boys,https://www.jiomart.com/c/fashion/boys/watches/4118,Time Up Digital Led Black Watches For Kids (Pack Of 2),445.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/gold-coin/1532,Reliance Jewels Bal Gopal Round Gold 24 KT (999) 4 GM Coin,21554.0
Fashion,Women,https://www.jiomart.com/c/fashion/women/fashion-jewellery/2285,Memoir Women Brass Waist Hip Kamarband,599.0
Beauty,Make-Up,https://www.jiomart.com/c/beauty/make-up/lips/3103,Flormar Waterproof Lipliner 231 Berry Stain 1.14 gm,261.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/gold-coin/1532,Reliance Jewels OM Round Gold 24 KT 999 2 GM Coin,11038.0
Fashion,Men,https://www.jiomart.com/c/fashion/men/western-wear/504,HPS Sports Men Multicolor Polyester Solid Tracksuit (S),1199.0
Electronics,Accessories,https://www.jiomart.com/c/electronics/accessories/tripods-monopods/803,"Unmukt Black Mobile Holder, Tripod (Pack Of 2)",3999.0
Electronics,Office Products,https://www.jiomart.com/c/electronics/office-products/office-electronics/6206,"Teleport Laser Barcode Scanner, TP-2000 Handheld 1 D USB Wired 2M Straight Cable, 32-Bit Barcode Reader",1348.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/silver-coin/1534,Reliance Jewels Laxmi-Ganesh Silver (999) 5 GM Coin,577.0
Beauty,Fragrances,https://www.jiomart.com/c/beauty/fragrances/women/3192,Ajmal Ascend & Neea EDP & Aretha EDP Pack of 3 20 ml,1044.0
Electronics,Mobiles & Tablets,https://www.jiomart.com/c/electronics/mobiles-tablets/smartphones/777,"Redmi 10 128 GB, 6 GB RAM, Pacific Blue, Mobile Phone",12499.0
Fashion,Men,https://www.jiomart.com/c/fashion/men/watches/4120,Sylvi Analogue Stylish Watch White Dial Brown Leather Strap Latest Wrist Watch for Men and Boys- SYCC,800.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/silver-jewellery/1911,Reliance Jewels Ag 99.9 2.9 gm Balaji Silver Idol,834.0
Fashion,Women,https://www.jiomart.com/c/fashion/women/western-wear/510,THE BLAZZE Women's Dark Grey Solid Cotton T-Shirt,299.0
Electronics,Computers,https://www.jiomart.com/c/electronics/computers/computer-monitors/851,"Acer Predator XB323U GP Predator 81.28 cm (32 inch) WQHD IPS Monitor, UM.JX3SI.P01",53699.0
Fashion,Men,https://www.jiomart.com/c/fashion/men/bags-belts-wallets/528,Wildhorn Men Tan Sling Bag,1799.0
Fashion,Men,https://www.jiomart.com/c/fashion/men/inner-wear/523,Lux Cozi White Solid Pure Cotton Pack of 3 Vest,588.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/gold-coin/1532,Reliance Jewels Ganesh Gold 24 KT (999) 10 GM Coin,55185.0
Beauty,Fragrances,https://www.jiomart.com/c/beauty/fragrances/unisex/3176,Ajmal Classic Oud Concentrated Perfume Oil Woody Oudh Attar And Colaba Mukhallat Concentrated Perfume Oil Floral Oriental Attar 24 ml,1625.0
Jewellery,Fine Jewellery,https://www.jiomart.com/c/jewellery/fine-jewellery/silver-jewellery/1911,Reliance Jewels Ag 99.9 18.88 gm Ganesha Silver Idol,4172.0
Fashion,Boys,https://www.jiomart.com/c/fashion/boys/eyewear/4104,Elligator Night Vision Aviator And Wayfarer Sunglasses for Men and Women UV Lens Protection,299.0
Fashion,Men,https://www.jiomart.com/c/fashion/men/bags-belts-wallets/528,MarkQues Men's Watch and Wallet Combo Gift Set (BON-770109 EGO-4402),649.0
Electronics,Personal Care & Grooming,https://www.jiomart.com/c/electronics/personal-care-grooming/shavers-trimmers/798,Skmei 1014white rechargeable round angle hair trimmer,359.0
Beauty,Personal Care,https://www.jiomart.com/c/beauty/personal-care/bath-shower/3196,Gemblue Biocare Vitamin C Scrub 500 ml,209.0
Fashion,Boys,https://www.jiomart.com/c/fashion/boys/ethnic-wear/598,Fourfolds Boys Black Solid Cotton Blend Suit Set,881.0
Electronics,Accessories,https://www.jiomart.com/c/electronics/accessories/screen-guards-protectors/786,Black Product,399.0
Beauty,Make-Up,https://www.jiomart.com/c/beauty/make-up/lips/3103,Beauty People Matte Lucious Liquid Lip Colorpretty - In - Carnation - L32 ,189.0
Electronics,Accessories,https://www.jiomart.com/c/electronics/accessories/routers/753,TP-Link Archer AX90 AX6600 Tri-Band Gigabit Wi-Fi 6 Router black,29999.0
Beauty,Personal Care,https://www.jiomart.com/c/beauty/personal-care/bath-shower/3196,Mirah Belle Organic Coconut Milk Mogra Moisturising Soap 125 gm,157.0
